Uniprot_L,Uniprot_R,Gene_L,Gene_R,Kd_nM,Method,Confidence,log10_Kd_nM,Ref_csv,protein_identifier_1,transmembrane_1,peripheral_1,secreted_1,receptor_1,protein_identifier_2,transmembrane_2,peripheral_2,secreted_2,receptor_2,pair_label
P41217,Q8TD46,CD200,CD200R1,2500,"SPR,Cell",5,3.398113692,https://www.ncbi.nlm.nih.gov/m/pubmed/10981966/,OX2G_HUMAN,TRUE,FALSE,FALSE,FALSE,MO2R1_HUMAN,TRUE,FALSE,TRUE,TRUE,CD200 + CD200R1
P16284,P16284,PECAM1,PECAM1,12000,"PDB,AUC,MS",5,4.079217436,"https://www.ncbi.nlm.nih.gov/pubmed/10425179,https://www.ncbi.nlm.nih.gov/pubmed/26702061",PECA1_HUMAN,TRUE,FALSE,FALSE,TRUE,PECA1_HUMAN,TRUE,FALSE,FALSE,TRUE,PECAM1 + PECAM1
P14151,Q14242,SELL,SELPLG,47000,NA,NA,4.672107098,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2431087/,https://www.ncbi.nlm.nih.gov/pubmed/8892633,https://www.ncbi.nlm.nih.gov/pubmed/8896607",LYAM1_HUMAN,TRUE,FALSE,FALSE,FALSE,SELPL_HUMAN,TRUE,FALSE,FALSE,TRUE,SELL + SELPLG
P14151,O00592,SELL,PODXL,NA,"IP,Roll",1.5,#VALUE!,"https://www.ncbi.nlm.nih.gov/pubmed/19118161/,https://www.ncbi.nlm.nih.gov/pubmed/22814396",LYAM1_HUMAN,TRUE,FALSE,FALSE,FALSE,PODXL_HUMAN,TRUE,FALSE,FALSE,FALSE,PODXL + SELL
P16109,Q14242,SELP,SELPLG,224,NA,NA,2.352182518,"https://www.ncbi.nlm.nih.gov/pubmed/19118202,https://www.ncbi.nlm.nih.gov/pubmed/9829984,https://www.ncbi.nlm.nih.gov/pubmed/12393589",LYAM3_HUMAN,TRUE,FALSE,FALSE,FALSE,SELPL_HUMAN,TRUE,FALSE,FALSE,TRUE,SELP + SELPLG
P06729,P19256,CD2,CD58,10000,NA,NA,4.000043427,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1779959/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2196039/",CD2_HUMAN,TRUE,FALSE,FALSE,TRUE,LFA3_HUMAN,TRUE,FALSE,FALSE,FALSE,CD2 + CD58
P29965,P25942,CD40LG,CD40,7,"PDB,SPR,Radio",5,0.903089987,"https://www.ncbi.nlm.nih.gov/pubmed/9030600,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3567247/,https://www.ncbi.nlm.nih.gov/pubmed/26721880",CD40L_HUMAN,TRUE,FALSE,TRUE,FALSE,TNR5_HUMAN,TRUE,FALSE,TRUE,TRUE,CD40 + CD40LG
Q92692,Q15762,PVRL2,CD226,310,NA,NA,2.492760389,"https://www.ncbi.nlm.nih.gov/pubmed/15039383,https://www.ncbi.nlm.nih.gov/pubmed/22547693",PVRL2_HUMAN,TRUE,FALSE,FALSE,TRUE,CD226_HUMAN,TRUE,FALSE,FALSE,TRUE,CD226 + PVRL2
P15151,Q15762,PVR,CD226,230,NA,NA,2.36361198,https://www.ncbi.nlm.nih.gov/pubmed/15039383,PVR_HUMAN,TRUE,FALSE,TRUE,TRUE,CD226_HUMAN,TRUE,FALSE,FALSE,TRUE,CD226 + PVR
P15151,Q495A1,PVR,TIGIT,3,NA,NA,0.602059991,"https://www.ncbi.nlm.nih.gov/pubmed/19011627/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3325733/,https://www.ncbi.nlm.nih.gov/pubmed/28515320,https://www.ncbi.nlm.nih.gov/pubmed/27978489",PVR_HUMAN,TRUE,FALSE,TRUE,TRUE,TIGIT_HUMAN,TRUE,FALSE,FALSE,FALSE,PVR + TIGIT
