Gene.names,B.memory_activated,B.memory_steady.state,B.naive_activated,B.naive_steady.state,B.plasma_steady.state,Basophil_steady.state,Eosinophil_steady.state,mDC_activated,mDC_steady.state,MO.classical_activated,MO.classical_steady.state,MO.intermediate_steady.state,MO.nonclassical_steady.state,mTregs_activated,mTregs_steady.state,Neutrophil_steady.state,NK.bright_activated,NK.bright_steady.state,NK.dim_activated,NK.dim_steady.state,nTregs_activated,nTregs_steady.state,pDC_activated,pDC_steady.state,T4.CM_activated,T4.CM_steady.state,T4.EM_activated,T4.EM_steady.state,T4.EMRA_activated,T4.EMRA_steady.state,T4.naive_activated,T4.naive_steady.state,T8.CM_activated,T8.CM_steady.state,T8.EM_activated,T8.EM_steady.state,T8.EMRA_activated,T8.EMRA_steady.state,T8.naive_activated,T8.naive_steady.state,Th1_steady.state,Th17_steady.state,Th2_steady.state,Majority.protein.IDs,Uniprot,Symbol,hclust_order
B2M,14129240.75,7664771.5,14223834.25,3030342.5,7592413.75,5049142.5,2887311.25,22519449.75,4567366,13146806.67,5143921.75,6607996.5,3428296.5,5117067.667,1848349,2338827.75,3243207.333,2428491.25,4845390.667,2472040.75,8031382.667,3371749.75,14092129,2833543.25,9226588.25,1119467.5,10723129,1581777,7895000.5,4106918.25,2866931.5,1171028.25,7452246.25,2022773.25,5560310.5,1648246.25,6635532.75,2389035.75,4825903,1055044,3075672.5,1711201.25,2953949.25,H0YLF3;F5H6I0;P61769;H0YL18,P61769,B2M,1
FCGR3B,156,67.75,98,58,0,393.25,31885.25,242.25,50.5,2193,0,116373.75,290813.25,283.3333333,16,22252561.5,13888.66667,49013.25,103420.3333,319510.5,0,23.5,13.25,468.25,691.25,0,30.5,20.25,28.75,18281.75,54,184.25,213.5,143.75,334.75,1502.25,1696.5,22609.25,53.5,0,77.5,8,7,A0A087WZR4;O75015;H0Y4U3;M9MML6,O75015,FCGR3B,2
ITGB2,368638.75,180312.25,432965.5,119552.25,63444.25,1113104.25,2948456,807969.25,2535977.25,1918219,6416925.25,7307504.5,6073013.25,207837.6667,538581.5,29466518.75,1956261.333,2500196.5,2208626.333,2363878.5,819120,354733,217785.5,697535,710061,568729.75,865225,844616.75,854796.75,817744,911490,372258.5,796976.5,649521.5,978731,1214296.25,842121.25,1652456,787415.75,361680.25,506189.25,491317.75,468609.5,D3DSM0;A0A087WX36;P05107,P05107,ITGB2,3
CD74,2283845.25,3173465.25,3098420.75,2437983.5,958891.5,177844,395267.75,1584822.75,2014386.75,284903,661592.5,951928.75,763843,289588.3333,196773.25,121507.75,323596.6667,285938.5,1235675,139180.25,475391.6667,300270,2091532.75,3049926.25,723352.5,102363.25,823575,143690.5,808831.5,236703.75,257406,68908.25,561468,194026.5,720367,252417,819331.75,274848.75,240576,111811.75,146053.5,95379.5,102030.5,P04233;H0YBZ2;H0YBZ8;E7ESL3;P04233-3;E7EQJ3;P04233-2,P04233,CD74,4
CD3E,2649,0,999.5,0,0,11312,22582.25,3133,733,0,3830,0,5629.5,128858,1076304.5,0,236886.6667,44176.75,52925.66667,18832.5,1423033.667,778971.5,0,0,715617.5,869302.5,805198.5,878027.25,805278,559513.25,730775.5,1197721.75,647853,623249.5,716304.75,746704.75,460585.75,877406,707667.25,875256.25,475470.5,810388,870100.5,P07766;E9PSH8,P07766,CD3E,5
PTPRCAP,526489.25,593640.25,885513,493106,76567.5,38852.5,19872.75,22622.75,21450.75,0,12066,19954.5,7965,106031.6667,1020528,2527.75,403712.3333,431041.75,422510.3333,859952.5,835376.6667,687488.25,82061.75,404728.25,589409.25,796099,324249.25,893232.75,363741.5,555331,425337.5,608841.25,334397.25,982350.75,316068,1376981.5,294473,1961376.5,607151.25,1019716.75,899157.5,721629.75,688153.75,Q14761,Q14761,PTPRCAP,6
CD38,72711.75,84149.75,80025.75,55688.5,643947.5,649786,15718.25,327770.5,178237.75,97875.66667,143969.5,140844.75,31934.75,10814,47240.25,134697.75,22544.33333,329572.25,112732,280048.5,379445.3333,46921,985862.75,190644,258786.75,15502.25,196131.25,4930.25,491971.75,34795,391164.75,62643.25,108616,3147.5,110419.5,7280.75,102929.25,15093.75,548367.75,17353.25,25538,12930.5,9562.5,P28907,P28907,CD38,7
LMAN1,236631.5,74591.25,156032,53202.25,508180,126717.25,126807,168635.25,221134.5,260450,230087,383189.75,292927,127030.3333,164348,291392.25,197794.3333,163820,311230.3333,133959.5,685764,108581.75,442651.25,610782,568914.25,132129.25,764455.5,137817.75,610298,144676.25,343353.75,83569.25,571502.5,152813,468057.5,211742.75,280579,176068.25,368629,124572.25,94858.75,124844.5,126733.5,P49257,P49257,LMAN1,8
STIM1,61339.25,92561.5,77695,120047.5,33741.5,171510,182150.75,84447.25,156774.75,177671,304429.75,503978.25,421626.25,50019.33333,213031.75,1154117.25,157724.3333,232483.25,143513.3333,234939.75,207610.3333,152561.5,114762.75,254830.25,143161.5,152556.25,173792.25,149124.25,182009.5,153717.25,125115.75,161960.5,114242.5,178247.5,124399,208829.5,119629,248097.75,126515.25,123669.25,130757.25,158381.75,146458.5,Q13586;G0XQ39;E9PNJ4;Q13586-2;H0YDB2,Q13586,STIM1,9
EVI2B,28526.75,31120,45127.25,21065.25,29519,229631,109624,66416.25,160507.25,197410.6667,336783.75,496690,601858.75,7071.666667,35789.75,1058958.75,29248.66667,29978,30051.66667,41377,17243.33333,33184,49334.5,132758.75,22247.5,56654.5,31979,54089,22602.5,27392.5,18665.5,39965.25,14807.25,31520.75,32302.5,43596.5,26297.25,31612.5,22878.75,46498.75,28396,64832.25,54835.75,P34910;P34910-2,P34910,EVI2B,10
ADAM10,51370.25,31951.25,47817,24559.75,10505,63385.75,45338.5,25413.75,74495,89590,227306,202415.75,264048,32054.33333,51138.5,948222.25,80085,77856.5,79030.33333,101348.75,87064.33333,46225.5,10106,52137.25,65514.5,43127.25,47536.25,58876,59719.5,50078.5,60672.25,37207.5,46764.75,36971.5,58323,70338.5,50175.5,71208.25,57230.75,32129.25,31363,44625.25,27996.75,O14672;O14672-2,O14672,ADAM10,11
ITGB5,29306,13477.5,35867.5,5249.25,14485.5,65050,209473,59923.75,145565.25,126309.3333,264706.75,388981.75,383301.25,4492,36278.25,1196443.25,126353.6667,145440,126952,167893.75,48991,18681.75,9020.5,44172,70917.75,35180.5,59047.25,32170.75,54658.75,21491,62549.5,22556.75,63470,38815.75,63760,93432.25,43357.25,100051,47652,31511,34687,19350.5,32000.75,P18084,P18084,ITGB5,12
CCDC47,276728.25,67915.25,274304,55599.5,82725.25,65395.25,41814,210488.25,320660.25,274949.3333,239146.5,342760,303060.5,23175.33333,84597.75,122350.75,172260,98124.75,236772.6667,86527.25,250776,62237,267967,358549.5,325453,93275.75,424807.75,100071.5,333396.5,65828,187474,77455,230255.5,95991.75,222476.75,83066.25,176902.75,92718.25,187202.5,88423.75,67990.5,89898.75,89180.75,Q96A33;Q96A33-2;A0A087WYW6,Q96A33,CCDC47,13
HLA-G;HLA-G2.2,119019.25,124262.25,238156.75,52894.25,79761.75,101883,36444.75,203831.25,106880.75,137622.6667,222931,368635.75,237754.5,39320.33333,167069.25,308143,36611.33333,111862.75,257977.6667,111056,314056,67389.25,182690.25,61652.75,183758.5,209198.25,364018.75,230228.25,357396.75,138893.5,161649,113555,326746.25,191675,332238.75,221968.5,358015.75,214493.25,318672,136163,118675.25,182172,103138.5,P17693;Q5RJ85;Q31611,P17693,HLA-G,14
MAGT1,55875.5,31434.25,61220,15687.5,214992.75,119944.5,58998.75,99543.75,159606.5,159753.3333,276167.75,257317,216643.75,27756,71326.25,331880.25,111994,134457.5,121849.3333,55855.75,92759.66667,52056.25,194271.75,367364,120351.5,92399.25,123413.25,88487.25,110965.5,44346.75,82079.75,74677.5,109354.25,92209,95775,64526.5,54740,46122.5,77270.25,53349.5,60267.5,79702.5,102466,Q9H0U3;A0A087WU53,Q9H0U3,MAGT1,15
NCLN,102567.5,40181.75,94822,18581.5,47683.5,20690.25,52872.5,99167.75,130542.5,179032,255738.75,264791.25,284478.5,7241,60954,124649.25,98433.33333,78872.5,102797.3333,53285.5,119477,49773.25,188817.25,297870.75,172900.25,66326,195495,57430.25,159222,41037,74270.25,38182.75,142244.75,59335.25,105861.75,65322.5,76424.25,65337.5,87489,50977,30698,56505.5,44836,Q969V3;Q969V3-2;K7EMW4;A0A0C4DGP7;K7ELZ9;K7ENM2,Q969V3,NCLN,16
NOMO2;NOMO3,74164.5,43199,86859.75,24304.5,34703.75,26892.75,30461,110931.75,113938.75,122538,174660,257460.75,235559.25,5275,45518,51266.25,94017,57903.75,92674.66667,44423,84584.66667,40318,163063.25,247742.5,109993.75,54786,136276,55629.25,110789.25,32583.25,75000.25,36678.5,126386,52337,115438.75,57169,62848,55501.25,82884.75,40708.5,35598.25,48156.5,43835.5,Q5JPE7;Q5JPE7-2;P69849;J3KN36;Q5JPE7-3,Q5JPE7,NOMO2,17
EMC1,59803,19948,52461.75,14547,24375.75,23584.25,13389.5,36309,92112.25,68955.66667,153367,178321.5,222791,7366.666667,53125.25,15090.25,68581,49370,112679,34631,70549.33333,24928.5,76338,144748.75,108063,33714.75,119912.25,40109,106962.5,18595.5,55471.25,22507.25,86071.25,36004.5,90191.25,36028.75,59837.75,43484.75,60416.5,26570.5,24967.5,34632.25,26584,Q8N766;Q8N766-2;Q8N766-3;Q8N766-4,Q8N766,EMC1,18
