Interaction,B + B,B + M14,B + M16,B + DC,B + T4,B + T8,B + NK,M14 + B,M14 + M14,M14 + M16,M14 + DC,M14 + T4,M14 + T8,M14 + NK,M16 + B,M16 + M14,M16 + M16,M16 + DC,M16 + T4,M16 + T8,M16 + NK,DC + B,DC + M14,DC + M16,DC + DC,DC + T4,DC + T8,DC + NK,T4 + B,T4 + M14,T4 + M16,T4 + DC,T4 + T4,T4 + T8,T4 + NK,T8 + B,T8 + M14,T8 + M16,T8 + DC,T8 + T4,T8 + T8,T8 + NK,NK + B,NK + M14,NK + M16,NK + DC,NK + T4,NK + T8,NK + NK,Pair_label
P17693 + Q8NHL6,53.78526507110587,115.41724536281669,443.13767037903233,111.38818774679862,0.4989349834631298,15.95084467264246,14.97311928971908,51.81410563297345,109.41725538873558,270.772444327505,105.73889139498391,0.4848386280961563,15.466556279512844,14.520617447579212,51.870020565635,109.61119786833962,274.58134044392216,105.91982885447366,0.4852025695708164,15.479383234773394,14.532582650951554,51.79752571316365,109.35947884504338,269.6635736058712,105.68500673914912,0.4847310594821579,15.462761821787552,14.517078110820137,53.92017188117569,115.76743227998895,449.1229435283365,111.72178450643253,0.5000107203863422,15.98673691122707,15.006719610696166,54.12726186009911,116.29107710588937,456.08147600756394,112.22154213900461,0.5016948440642182,16.042622754797037,15.059055185706768,53.461686919088834,114.54732276136198,422.3012819756314,110.56154717681213,0.49642005216315965,15.866340904376386,14.894047476551236,HLAG + LILRB1
P17693 + Q8N423,19.867537307191355,460.48130299862055,664.9527005571247,69.03749320897793,1.650737677646589,5.234488496492304,0.7164538644362892,18.851370264478334,263.8435783595948,285.7479040289138,64.57232971743889,1.5728811018498448,4.983696507630583,0.68279998821086,18.877844944683176,267.54183637449137,290.1430707843705,64.69791171525608,1.5748566651043632,4.990092767396845,0.6836528056017528,18.843543310461314,262.7673093004479,284.4730093313433,64.53511180745053,1.5722975396320464,4.981806807924897,0.6825480848133054,19.944146852082838,471.56563157335785,736.9777417144613,69.34400085747359,1.6567933474220808,5.253878463775322,0.7190755210634734,20.06376748032858,485.0464068879687,885.5324803081745,69.81416808515814,1.6663067835036713,5.284304039142626,0.723195398039536,19.687849671659194,426.64336385472427,540.2662706172049,68.30195854046752,1.636644090255686,5.189293690336399,0.7103547591465826,HLAG + LILRB2
P13747 + Q9H7M9,43.58947023063027,27.538158790981583,40.243735329288285,41.4727195900859,46.64177043740642,47.076035328729915,47.93195996995897,206.21426637242615,66.92416784456344,153.55785410310574,169.90939779062109,289.99552923446333,306.68047700958266,344.1413775018791,218.0320332226117,69.20906519349103,160.66935493907613,178.2945765180487,314.81202108729633,335.4530267746632,384.62938594873174,143.06462072491445,57.14097208778537,117.27165358805209,126.19585260222652,168.99089536815677,172.57210044584772,179.3764440761171,51.69090878059758,31.477814392257677,47.43330523873877,48.99907647131968,55.54545016132852,56.089915962742,57.159431849288495,74.78021608000255,40.807816720509976,67.22183070876432,69.99988369857586,81.52850800997606,82.46344019324934,84.28197972930738,147.2489315492798,57.82852577724266,119.87362818962413,129.27898428988277,175.32990052807205,179.2365757455047,186.65954263251788,HLAE + VISTA
P30511 + Q9H7M9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HLAF + VISTA
P08514 + P29965,10.135071743670487,2.6384808680209204,0.0,0.0,16.219606919697483,6.4539350277050715,0.0,10.156741905064678,2.643575789245517,0.0,0.0,16.257541183162687,6.467046629460924,0.0,10.156341495818026,2.6434735583573,0.0,0.0,16.25689007591751,6.466794083564423,0.0,10.079264126896058,2.628469474933855,0.0,0.0,16.088584053875522,6.424649529891045,0.0,1.7765533869084429,1.5563552650025516,0.0,0.0,1.792461442069058,1.7479451090906677,0.0,5.751022483627164,2.5134001702592537,0.0,0.0,5.884289095595196,5.226459085337025,0.0,0.3541834846642322,0.3345408330710036,0.0,0.0,0.3566583300642314,0.35036362883612027,0.0,CD40LG + ITGA2BB3
P08174 + P48960,11.710137924534251,8.100239564653577,6.514774405590401,1.5768539283909604,4.279401276819442,6.001235385560619,2.184417258294161,102.57368508203297,66.13403323555843,51.60350764384697,11.406256130163001,32.50929306525683,47.076911018793055,15.973555787657858,152.33678097660163,95.18472461877127,73.41178844643639,15.750568817635212,45.5788250997532,66.73628920962119,22.128382756362157,131.92526128603993,83.42562419336866,64.62233685619401,14.016173855365082,40.33728080245521,58.82276260445599,19.668940524512323,62.76474396753633,41.67510017213078,32.90715939635487,7.517373884115727,21.05816110182559,30.132166116805195,10.48822273408598,78.97925565030789,51.79835530184192,40.692122182152275,9.161600118992396,25.862336975706285,37.20068184523615,12.803668715315894,99.21268135469302,64.11810144007654,50.076331845582956,11.095713623294614,31.584339440307872,45.69657157861991,15.534480588966801,CD55 + CD97
P17693 + Q8NHL6,53.78526507110587,51.81410563297345,51.870020565635,51.79752571316365,53.920171881175634,54.12726186009911,53.461686919088834,115.41724536281669,109.41725538873558,109.61119786833962,109.35947884504338,115.76743227998895,116.29107710588937,114.54732276136198,443.13767037903233,270.772444327505,274.58134044392216,269.6635736058712,449.1229435283369,456.08147600756394,422.30128197563187,111.38818774679868,105.73889139498391,105.91982885447366,105.68500673914912,111.72178450643258,112.22154213900461,110.56154717681216,0.4989349834631298,0.4848386280961563,0.4852025695708164,0.4847310594821579,0.5000107203863422,0.5016948440642182,0.49642005216315965,15.95084467264246,15.466556279512844,15.479383234773394,15.462761821787552,15.986736911227013,16.04262275479698,15.866340904376386,14.97311928971908,14.520617447579212,14.532582650951554,14.517078110820137,15.006719610696166,15.059055185706768,14.894047476551236,HLAG + LILRB1
P15260 + Q9NPY3,0.05868888299857922,0.05754732852117339,0.06021588324691507,0.06024645419507557,0.04754039208339811,0.054283041760773365,0.05845772923553394,12.057556688410983,8.532115504579252,25.678332363258903,26.258284712265095,2.075592971181834,4.495702727018539,11.138793787759937,11.70762349253145,8.323667994882905,23.657100774057465,24.067807399760518,2.0366735955047695,4.403212071914554,10.83042659630588,11.85029328439948,8.401532809463351,24.887248720835288,25.42332310285537,2.0492960390028507,4.434756778078562,10.953221129791789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6749954414085515,1.6300507088339096,1.728553263904283,1.7295523555140875,1.0981680893056747,1.4778832385546372,1.6662419410011662,8.708510299672716,7.159942022857337,9.887149618956755,9.899707390643972,1.939419617531394,4.103542687107378,8.416542306553215,CD93 + IFNGR1
P13747 + Q9H7M9,43.58947023063027,206.21426637242615,218.0320332226117,143.06462072491445,51.69090878059758,74.78021608000255,147.2489315492798,27.538158790981583,66.92416784456344,69.20906519349103,57.14097208778537,31.477814392257677,40.807816720509976,57.828525777242675,40.243735329288285,153.55785410310574,160.66935493907613,117.27165358805209,47.43330523873877,67.22183070876432,119.87362818962413,41.4727195900859,169.90939779062109,178.2945765180487,126.19585260222652,48.99907647131968,69.9998836985759,129.2789842898828,46.64177043740642,289.99552923446333,314.81202108729633,168.99089536815677,55.54545016132852,81.52850800997606,175.3299005280722,47.076035328729915,306.68047700958266,335.4530267746632,172.57210044584772,56.089915962742,82.46344019324934,179.2365757455047,47.93195996995897,344.1413775018791,384.62938594873174,179.3764440761171,57.159431849288495,84.28197972930738,186.65954263251797,HLAE + VISTA
P13747 + P26715,0.0,6.067950537728706,0.0,0.6939889912132742,1.9286673794119622,2.89659561378258,138.8895487356883,0.0,4.769102569916583,0.0,0.5538275492931319,1.533912511319258,2.297490496108857,58.79135098760548,0.0,5.812062276487282,0.0,0.6660336436812457,1.8501599037656717,2.7777141466587665,117.26385230757792,0.0,5.905980075918137,0.0,0.6762661937242456,1.878914066764267,2.821276984905353,125.08453797999451,0.0,6.304876699007707,0.0,0.7201097366239253,2.001869934024967,3.0072625448422627,157.45736473406643,0.0,6.339168363894487,0.0,0.7239117355192093,2.012511214055735,3.0233336463356295,159.79571953505388,0.0,6.407340027995588,0.0,0.7314874073114481,2.0337034347138,3.055326272091719,164.12124496694068,HLAE + KLRC1D1
