"","FCGR2B","EPHA4","C2CD2L","FCER2","MPZL1","LAIR1","APLP2","KIR3DL1","CD1D-B2M","HLA-G-B2M","CD86","CEACAM6","KI3L3","SLAMF8","FCRL1","CHL1","ESAM","IFNGR1","SORT1","OSCAR","PTGFRN","TNFSF10","JAM3","HLA-F-B2M","GPC4","PEAR1","PD1L2","ATP1B1","APP","TNFRSF17","TNFRSF13B","CNTP1","PTPRF","PI16","CD177","KIT","TNR16","CD27","TMED2","TNFRSF10A","AMIGO3","CD80","LILRA4","ITM2A","CD96","IGSF8","CD28","KLRC2-KLRD1","CD248","CD244","CD33","PIGR","CEACAM1","IGFLR1","IGF2R","CCDC47","CD40LG","DDR2","HFE-B2M","MRC1","SEMA4C","PVRL2","NCAM1","CRTAM","EPHB2","TR10B","SLAMF1","CD47","CDCP1","NCR1","LILRB1","C10orf54","JAG2","PLX4","TMEM132A","SLAMF6","LSR","SUSD3","TMEM2","CTLA4","DLL1","CDH2","KLRC1-KLRD1","LILRB4","CD93","PECAM1","PVRL1","NCR3","CADM1","RNF130","HLA-E-B2M","rCD4","TMED1","GLG1","TGFBR3","TMEM106B","KIAA1324","CD1B-B2M","TMEM9","CD300LF","CD44","IL1RAP","TNFSF13","CNTP2","CD40","SIRPB1","CD55","TNR12","EPHA2","FCAR","FGFR4","PVR","SEMA7A","MCAM","TREML2","CDH1","NOMO2","NECT3","PLXNB3","LDLR","NRP1","LIFR","IL2RA","TNFSF12","LILRB3","SDC2","VASN","DDR1","CD226","EFNB1","ALCAM","CD8A-CD8A","AGRE2","SELP","CEACAM8","LRIG1","JAM2","IL7R","SLITRK4","GFRA2","ICOSLG","PLXNC1","TFRC","ICOS","OLR1","BST1","PLAUR","IL6R","LILRB2","CD320","ITGAV-ITGB3","JAG1","CEACAM3","SEMA4A","CD70","SEMA4B","CNTN1","LYAM2","SLC3A2","FLT3LG","FLT3","F11R","CD48","EPHB1","KIR2DL5A","TLR10","TNFRSF21","SEMA4D","KLRG1","PILRA","L1CAM","MILR1","NRCAM","FGFR2","TNFSF13B","TNFRSF10C","GP6","TIGIT","CD274","ITGA2-ITGB1","BST2","PLXNB2","CD74","AMICA1","CEACAM4","LRRC15","FCER1A","IL6ST"
"FCGR2B",0.00292187500000001,0,0,0,0,0,0,0.1625265625,0,0,0,0,0,0,0,0,0.008178125,0.0051234375,0,0.00435156250000001,0.000304687500000007,0.00532031250000001,0,0.000490625000000003,0,0,0,0.00163125000000001,0,0.00401875,0,0.002703125,0,0.0022671875,0,0.00182656250000001,0,0,0.000776562500000003,0.000496875000000008,0,0.0037765625,0,0,0,0.01765625,0.00393906250000001,0.019609375,0.0044109375,0.016796875,0,0.1130671875,0,0.001053125,0.00510781250000001,0.00272187500000001,0.0032046875,0.000696875000000004,0,0,0,0.0068515625,0.089553125,0,0,0,0.00604375,0,0,0.01564375,0.000229687499999999,0,0.00720468750000001,0.000107812500000013,0,0.00155,0,0,0.000321875000000003,0,0,0,0.007496875,0,0,0.044709375,0.00426093750000001,2.38524477946811e-18,0.0834468750000001,0.002259375,0.0130921875,0.000579687500000004,0.0088890625,0,0,0.00095156250000001,0,0.000140625000000008,0,0.0756859375,0.000901562500000003,0,0.00830000000000001,0,0.00304531250000001,0,0.00391406250000001,0,0,0,0.00128906250000001,0,0.0037859375,0,0.1737484375,0.00215312500000001,0.000690624999999995,0,0.000504687500000003,0.0707453124999999,0.0258828125,0.007859375,0,0,0.000768750000000004,0,0.00279687499999999,0,0.00451562500000001,0,0.00274375000000001,0.0250625,0,0.0517234375,0.000495312500000011,0,0,0,0,0,0,0,0,0,0.0583765624999999,0.00779218750000001,0,0.000374999999999993,0.0590703124999999,0.0143859375,0.007821875,0.00201093750000001,0.0042015625,0.00066093750000001,0,0,0,0,0.00189375000000001,0.00693125,0.000551562500000003,0,0.0038203125,0,0.008846875,0,0.000565625,0.002134375,0,0.0201046875,0.0152984375,0,0.0049640625,0,0.00319218750000001,0,0.37040625,0,0.000876562500000011,0,0.0038984375,0,0,0,0.0027578125,0,1.56250000000373e-06,0.0010078125
"FCER2",0.011884375,0.003615625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00265468750000001,0,0.0022859375,0.00315625000000001,0.00541406250000001,0.00106718750000001,0.00288281250000001,0.001928125,0,0.002246875,0,0,0.00359375000000001,0.00145625000000001,0.00308125,0.0031890625,0.004565625,0.0019234375,0.0029296875,0.00385937500000001,0.0029890625,0.00213125000000001,0.002075,0.00773906250000001,0.008859375,0,0.0031390625,0.00277187500000001,0,0,0,0,0,0,0,0,0.0226296875,0.00205468750000001,0.001715625,0.000470312500000004,0.00168437500000001,0,0.001259375,0.001940625,0,0.000345312500000004,0,0,0,0.00189218750000001,0.00172968750000001,0,0,0.00495625,0,0,0.000750000000000008,6.71875000000024e-05,0.00357031250000001,0.000442187500000008,0,0.00135625000000001,0.0056546875,0.00338437500000001,0,0,0.9324640625,0,0,0,0,0,0.000562500000000003,0,0.002621875,0,0,0,0.00974062500000001,0.00237031250000001,0,0.001584375,0.00110312500000001,3.12500000000204e-06,0,0.00966406250000001,9.53125000000025e-05,0,0.00284843750000001,0.0078078125,0.000729687500000003,0.0025765625,0.00069843750000001,0,0,0.00255156250000001,0,0,0.0015640625,0.2233109375,0.015315625,0.000253124999999995,0.000184375000000006,0,0,0,0,0.00237500000000001,0,0,0.0021046875,0.001359375,0,0,0.000581250000000005,0,0,0,0,0.00135781250000001,0.082715625,0.00513593750000001,0.0026734375,0.000179687500000007,0,0,0.000343750000000004,0,0,0.0224390624999999,0,0,0,0,0,0.005584375,0,0,0.00072343750000001,0,0.0017234375,0,0.06878125,0.00225625000000001,0,0.0016140625,0,0.000782812500000006,0.029775,0.000709375000000001,0.00173593750000001,0,0,0,0.3569671875,0,0.0905953125,0.00192656249999999,1.0162984375,0.0021546875,3.28125000000009e-05,0,0,0.00203906250000001,0,0,0,0,0,0,0.000406250000000008,0.000664062500000007,0.0045703125
"EPHA4",0.016315625,0.001846875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000885937500000005,0,0.0028171875,0,0.0016453125,0.0013984375,0.0041140625,0.000359374999999998,0,0.00107812499999999,0,0,0.002525,0.0015875,0.0025125,0.0010203125,0.002696875,0.0010546875,0.00196093749999999,0.005290625,0.0024203125,0.0032625,0.00420624999999999,0.0053703125,0.002190625,0,0.0027703125,0.002903125,0,0,0.00495000000000001,0,0,0,0,0,0.00116093749999999,0.000685937500000001,0.000646874999999996,0.0011015625,0.000915625000000001,0,0.002290625,0.001071875,0,0.0011765625,0,0,0.000146874999999993,0.0030234375,6.09375000000004e-05,0,0.000220312499999996,0,0,0.0019234375,0.00148125,0.0013984375,0.00170156250000001,0,0.000943749999999999,0.0013875,0.000185937499999996,0.000215624999999998,0,0,0,0,0,0,0,0,9.3749999999996e-05,0,0,0,0.000973437499999999,0.000382812500000009,0.000471874999999993,0.0015015625,0,0.000415624999999998,0.002934375,0,0,0,0,0,0,0.000439062499999999,0.000960937500000002,0.0014078125,0.000429687500000002,0,0,0,0,0,0.000395312500000002,0.0125421875,0.000946875000000006,0,0.004715625,0,0,0,0,0.00220625,0,0,0.0016359375,0,0.0031125,0,1.5676125,0,0,0.0008671875,0,0.0038890625,0.000446874999999997,0.00146718750000001,0.000504687499999994,0.00191093750000001,0.000710937499999998,0,0.002575,0,0.00264375,0.1064703125,0,0,0,0.0294640625000001,0,0,0.0012046875,0.000595312499999996,0.000554687500000004,0,0.0026546875,0.000403124999999996,0.00281249999999999,0.00118750000000001,0,0.000645312500000003,0,0.000914062500000002,0,0,0,0,0.004028125,0,0,0,0,0.000657812499999999,0,0,0.000864062499999997,0.0403,0,0.0021703125,0,0,0.000200000000000006,0,0.000975000000000005,0,0,0.0119953125,0.0053015625
"MPZL1",0.00825,0.000381250000000006,0,0,0.6550875,0,0,0,0,0,0,0,0,0,0,0.000720312500000005,0.00220625,0.000551562500000004,0,0.0021796875,0.0011328125,0.000448437500000003,0.00029375,0,0.0022125,0.0640734375000001,0,0.00155937500000001,0.000321875000000007,0.001146875,0.000854687500000003,0.000731250000000003,0,0.000595312499999998,0.001225,0.000554687500000008,0.00109687500000001,0.015540625,0.000804687500000006,0.00132500000000001,0,0.0017046875,0.000737500000000001,0,0.00468281250000001,0,0.00216718750000001,0,0.00113906249999999,0,0.0038234375,0.0288953125,0.00212031250000001,0,0.0004359375,0.000850000000000003,0,0.000225000000000006,6.25000000000191e-06,0,0.000110937500000001,0,0.04368125,0,0,0.00699531250000001,0.012171875,5.46875000000029e-05,2.18750000000004e-05,0.000971875000000007,0,0.000315625000000006,0.0018328125,0.000835937500000008,0,0.001978125,0.002321875,0,0.000650000000000001,0,0,0,0,0,0,0.0195375,0,0.000228124999999997,0.042075,0.00128750000000001,0.00982031250000001,0,0.000817187500000012,0,0,0.0074796875,0.00145,0.000468750000000006,0,0,0,0,0,0,0.0015734375,0,0,0.000264062500000008,0,0.000950000000000002,0,0.00235312500000001,0,0,0.0778765625000001,0.00208125000000001,0,0.00295,0,0,0,0,0.000440625000000003,0.000101562500000002,0,0,0.011225,0,0.00134375,0.000246875000000006,0,0.010290625,0.0045015625,0.0252515625,0.000223437500000005,0,0,0.000939062500000004,0,0.0011453125,0,0.003209375,0,0,0.1252046875,0.000220312500000001,0,0,0.0112984374999999,0,0,0.00323906250000001,0.00382968750000001,0,0,0.0012890625,3.75000000000035e-05,0.000146875000000002,0,0,0.0016796875,0,0,0.000740625000000007,0.009675,0,0,0,0.0092703125,0,0,0.00596093750000001,0.00419218749999999,0,0,0,0.246734375,0,0,0,0,0,0,0,0,0,0.00142968750000001,0.000935937500000002
"FCER1A",0.00546874999999999,1.1532,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0073390625,0.002925,0,0,0.000198437499999998,0,0,0,0.0049375,0,0.2497921875,0,0.000778124999999994,0.000140624999999998,0,0,0,0,0,0,0,0,0,2.34374999999937e-05,0,0,2.34374999999963e-05,0,0,0,0.016203125,0.0044859375,0,0.00105781249999999,0.000443749999999995,0.0255421875,0.0142140625,0,0.013,0.0107546875,0.000268749999999996,0.000951562500000007,0,0.001025,0.00727343749999999,0,0,0.0463,0.000399999999999994,0.000576562499999995,0,0.003890625,7.34374999999926e-05,0,0,0,0,0,0,0.0051265625,0.00149687499999999,0.001740625,3.90624999999927e-05,0.00316874999999999,0,0.00518281249999999,0.00274843749999999,0,0.000326562499999998,0.029815625,0.04175625,0.0028078125,0,0.02739375,0,0.00663906250000001,0.0125265625,0.0012359375,0.012925,0,0.0037984375,0,0.000287499999999997,0,0.0274328125,0,0,0,0,0.00199218749999999,0,0,0,0,0.00196874999999999,0,0.000471875,0,0,0.0590953125,0.00219999999999999,0.00163749999999999,0.00386875,0,0.0546921874999999,0.0088296875,0.00170625,0.001659375,0.000420312499999986,0.000215624999999993,0,0.000643749999999986,0.00166562499999999,0.00576249999999999,0,0.001190625,0.026409375,0.000120312499999986,0.0381703125000001,0,0.00279999999999999,0,0,0.0023640625,0.0111640625,0,0.002528125,0.000215625000000006,0,0.1234234375,0.0034390625,0.0031921875,0.024021875,0.0287171875,0.0168328125,0.00246874999999999,0.00215781249999999,0,0,0.00130624999999999,0,0,0.002365625,0,0.027278125,0,0.000414062499999996,0,0.013159375,0.00289374999999999,0,0.0184125,0,0.00108906249999999,0,0.00454531249999997,0,0,0,0,0,0.178853125,0.000442187499999996,0.00102343750000001,7.81249999999871e-06,0,0,0.00167968749999999,0,0,0,0,0.000454687499999991
"LAIR1",0.00106562499999999,0.000896874999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00202187499999999,0.000267187499999993,0,0.7022953125,0.0016484375,6.40624999999962e-05,0,0,0.000528124999999993,0.0846890625,0,0.00217499999999999,0.3153375,0.000562499999999991,0,0.000146874999999997,0,0.000610937499999989,0.000540624999999996,0,0.0021125,0.00715624999999999,0.000520312499999995,0.00504062499999999,0,0.000920312499999995,0.00615312499999999,0,0.0051984375,0,0.00428281249999999,0,0,0.000340624999999993,0,0,0.00183593749999999,0.00159687499999999,0.00125156249999999,0,0,0.00224062499999999,0.000421874999999997,0.2545703125,0.000426562499999993,0,0,0.000396874999999988,0,1.09375000000003e-05,0.0367875,0.000170312499999989,0.4543375,0.000787500000000005,0,0.00833124999999999,0,0.1158515625,0,0.00779374999999999,0,0.000535937499999994,0.172565625,0,0,0.00644531249999999,0,0,0,0.019153125,0.0141046875,0,0,0.00100312499999999,0,0.0175234375,0,0.00402187499999999,0.000351562499999999,0.0408953125,0.002665625,0,0,0,0.00184531249999999,0.000876562499999991,0,0.0368296875,0.00208906249999999,0.0019109375,0.000257812499999991,0,0.00103125,0.00486562499999999,0.000932812499999999,0.00516875,0.000629687500000002,0.00384531249999999,0,0,0,0.006665625,0,0,0,0.027703125,0,0.000417187499999987,0,0,0.010540625,0.0133625,0.120159375,0,0,0,0.0072171875,0,0.0042390625,0.014796875,0,0,0,0.0109609375,0.0099515625,0.233225,0,0,0.00262031249999993,0.1159359375,0,0,0,0,0.028565625,0.00205468749999999,0,0.0019046875,0,0.0011046875,0,0,0,0,0,0.0127109375,0.0087640625,0.02395625,0,0.00211718749999999,0,0.014878125,0,0,0,0,0.00440781249999999,0,0,0,0.51875,0.000639062499999989,0.00202031250000001,1.2031046875,0,0,0,2.50000000000003e-05,0,0,0.00674531249999999,0.000451562499999992
"C2CD2L",0,0.00408125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00232031250000001,0,0.0011515625,0.102721875,0.00147968750000001,0.0073328125,0.00254843750000001,0.000993750000000001,0,0.0013125,0,0,0.003859375,0.00402187500000001,0.002446875,0.00115468750000001,0.00183125000000001,0.00118906250000001,0.0015953125,0.00222500000000001,0.00215468750000001,0.002196875,0.001540625,0.00250468750000001,0.00182500000000001,0,0.00190468750000001,0.00843750000000001,0,0,0,0,0,0,0,0,0,0.0022203125,0,0.0022359375,0.00175000000000001,0,0.000925000000000007,0.00170625,0,0,0,0,0.00458125,0.0010578125,0.00139531250000001,0,5.46875000000042e-05,0,0,0,0.000615625000000009,0.00193281250000001,0.00903593750000001,0.1146078125,0,0.00162187500000001,0.0014203125,0,0,0,0,0,0,0.127296875,0,0.0191890625,2.81249999999997e-05,0,0.0010875,0,0.0074078125,0,0.00330625,0.00513593750000001,0,0.00215,0.00326875000000001,0.00196875,0,0.00242968750000001,0,0,0,0.0047734375,0.0016953125,0.0012421875,0.000464062500000009,0.000815625000000009,0,0.0051171875,0,0.00141406250000001,0.0010296875,0,0.00128125000000001,0.000118750000000003,0.00125000000000001,3.28125000000001e-05,0,0,0,0.002840625,0.000201562499999999,0,0.0028703125,0.003225,0.00174687500000001,0,0.002046875,0,0,0,0,0.0149234375,0.03658125,0.00650156250000001,0,4.53125000000082e-05,0.0366453125,0.000535937500000008,0.003509375,0,0.000478125000000005,0,0.0028203125,0,0,0,0,0.19995,0,0.00212968750000001,0.00128906250000001,0,0.00138906250000001,0,0,0.00252187500000001,0,0.0044796875,0.000695312499999996,0.0023484375,0.00874062500000001,0,0.00220156250000001,0.13479375,0,0,0,0,0.0095609375,0,0,0,0,0,0.0020234375,0,0.00218906250000001,0,0,0,0,0,0.00137187500000001,0.0020296875,0.00173593750000001
"APLP2",0.000599999999999995,0.00113125,0,0,0,0,0,0,0,0,0,0,0,0,0.00427499999999999,0,0.00105624999999999,0,0,0.0217296875,0.0026828125,0.00139843749999999,0.00024374999999999,0,1.1057625,0.0416234375,0,0.000609374999999999,0.001671875,0.000196874999999996,4.68749999999753e-06,0.00208125,0.0291390625,0.000245312499999994,0.007775,0.000804687499999993,0,0,0.00285468749999999,0.000774999999999996,0.0011609375,5.46874999999925e-05,0.0037875,0,0,0.003534375,0.000317187500000001,0,0,0.001575,0,1.5564453125,0.0018703125,0.00123124999999999,0.00658593749999999,0,0,0,0.00255625,0.0195046875,0.0024609375,0,0,0,0,0,0,0,0.007771875,0,0.000207812499999992,0.000665624999999994,0.00188281249999999,1.7622859375,0.2659578125,0,0,0.0012703125,0,0,0.0113140625,0,0,0,0,0,0,0,0,0.0017375,0.00497031249999999,0.000157812499999992,0.0090671875,0.09275625,0.2181859375,0,0.001,0.00431875,0,0,0.0021796875,0,0.008878125,0.000864062499999995,0.00242343749999999,0.00104531249999999,0.000492187499999992,0.0010140625,0,0.000100000000000004,0.0964671875,0,0,0.000679687499999992,0.3334265625,0.000331250000000005,0.00826874999999999,0.0024,0,0.00762343749999998,1.0846609375,0.00243749999999999,0,0.00145156249999998,0,0.2057203125,0.00337499999999998,0.001896875,0,0,0,0.025540625,0,0.1617015625,0.0011734375,0.03593125,0.00195156249999999,1.3369890625,0,0,0,0.00175937499999999,0,0.000528124999999996,0.1087546875,0,0,0.0544531250000001,0,0,0.000399999999999997,0,0.00217968749999999,0.000239062499999998,0,0,0.0036875,0.005396875,0,0,0.0018296875,0.00234531249999999,0,0.00259062499999999,0,0,0,0.00121249999999999,0,0.0842828125,0,0,0,0,0,0,0,0,0,0.1207390625,0,0,0,0,0,0,0,0.00148593749999999
"HLA-E-B2M",0.007146875,0,0,0,0,0,0,0,0,0,0,0,0,0.009490625,0,0,0.00970312499999999,0,0.01291875,0,0,0,0,0.00131562499999999,0,0.0716703125,0,0,0,0,0,0,0,0,0.00032187499999999,0,0,0,0.0039015625,0,0.0088078125,0,0,0.00316562499999999,0.00727968750000002,0.01138125,0.00756406249999999,0.037034375,0.00743593749999999,0.00132187499999999,0.0106203125,0.0353921875,0,0,0.00123281249999999,0,0.00382968750000001,0,0,0,0.00110781249999999,0.000776562499999987,0.044078125,0.00137812499999999,0,0,0.01966875,0,0.01991875,0.00346875,0,0.00181249999999999,0,0,0.2412046875,0.00287499999999999,0.000218749999999989,0,0,0,0,0.0086265625,0.014721875,0.00870468749999999,0.34159375,0.034534375,0.00628593749999999,0,0.0588718749999999,0,0.0197171875,0.00380468749999999,0.00341406249999999,0.00390312499999999,0,0.00997656249999998,0.000946874999999994,0.031265625,0,0.0460109375,0.00122656249999999,0,0.00202499999999999,0,0,0,0,0,0,0,0.000614062499999998,0,1.0937499999999e-05,0,0.1116734375,0,0.00231562499999999,0.00164687499999999,0,0.0380703125,0.0131078125,0.00418437499999999,0,0.000198437499999982,0,0.000167187499999992,0.00182187499999999,0.00124374999999999,0.025740625,0,0.00996874999999999,0.0317875,0.00289843749999998,0.0862484375,2.03124999999969e-05,0.00277812499999999,0.0086984375,0,0.0225421875,0.0438421875,0.0075328125,0,0.01539375,0,0.0639015625,0.00741718749999999,0.00257031249999999,0.0847,0.0562953124999999,0.00771093749999999,0.000746874999999986,0.0037359375,0,0,0.00688437499999999,0,0.000234374999999986,0,0,0.01285625,0,0.00249218749999999,0,0.000637499999999995,0.015471875,0,0.288290625,0.00225937499999999,0.0205671875,0,0.00232343749999998,0,0,0,0.000417187499999991,0,0.16483125,0,0.000201562499999998,0,0,0,0.00715781249999999,0,0,0,0,0
"KIR3DL1",0.00755625,0,0,0,0,0,0,0,0,0,0,0,0,0.00219999999999999,0,0,0.0025125,0,0.008228125,0,0.0015390625,0,0,0.003325,0,0.0812796874999998,0,0,0,0,0,0,0,0,0.00263125,0,0,0,0,0,0.0146171875,0,0.00324375,0.004675,0.00808906250000001,0.010790625,0,0.03274375,0.00674531249999999,0.00153125000000001,0.0106296875,0.0247015625,0,0,0,0,0.0146390625,0.00183125,0,0,0.000317187499999994,0.0021859375,0.0537875,0.000887499999999992,0,0,0.011278125,0.00266093749999999,0.028828125,0.00187812500000001,0,0,0,0,0.2432140625,0.00118437499999999,0,0,0,0,0.000570312499999996,0.00773593749999999,0.00273124999999999,0.0024140625,0.423803125,0.02084375,0.00569531249999999,0,0.08198125,0,0.0159265625,0.0116140625,0.0036234375,0.0023125,0,0.0043859375,0.00745625,0.025375,0,0.0626203125,0,0,0.008834375,0,0.000779687499999993,0,0,0,0.000121875000000003,0,0.0046234375,0.000459374999999997,0.000620312499999999,0,0.1286828125,0.0011875,0.005625,0,0,0.0607796875,0.0313171875,0,0,0.00350781249999999,0,0,0,0.011753125,0.02615,0,0.006478125,0.019696875,0.00290781249999999,0.0348578125,0,0.00308749999999999,0,0.000245312499999992,0,0.1006515625,0.0011421875,0,0.021003125,0.002684375,0.1158109375,0.0064265625,0,0.00310937499999999,0.0681046875,0.0146203125,0.000656249999999993,0.0016453125,0,0,0.00179375000000001,0,0.00304374999999999,0.001353125,0,0.021665625,0,0,0.0029546875,0.007346875,0.00588125,0,0.2644,0,0.0175765625,0.0100390625,0.0242328125,0.0135671875,0.00259843749999999,0,0.0013265625,0,0.124340625,0,0,0,0.0027328125,0,0.0077671875,0,0,0,0,0
