gene1,gene2,intxn_pair,nspots_1,nspots_2,nspots_1only,nspots_2only,nspots_both,nspots_neither,nneighbor_pair,pct_neighbors_paired_excl0
IL1RAP,PTPRF,IL1RAP + PTPRF,302,1510,175,1383,127,2291,1464,0.140297077
EFNB1,EPHA4,EFNB1 + EPHA4,542,329,492,279,50,3155,578,0.114933386
JAG1,VASN,JAG1 + VASN,1102,996,784,678,318,2196,3650,0.302427707
JAG2,VASN,JAG2 + VASN,618,996,448,826,170,2532,1958,0.210243745
EFNB1,EPHA2,EFNB1 + EPHA2,542,957,400,815,142,2619,1634,0.188748989
FCER2,FGFR2,FCER2 + FGFR2,3631,150,3491,10,140,335,1584,0.072640558
CNTN1,NRCAM,CNTN1 + NRCAM,262,160,248,146,14,3568,164,0.0673788
PI16,TNFRSF21,PI16 + TNFRSF21,153,1515,98,1460,55,2363,644,0.066715011
OLR1,SLITRK4,OLR1 + SLITRK4,28,13,28,13,0,3935,0,0
APLP2,PIGR,APLP2 + PIGR,3310,37,3276,3,34,663,382,0.019795823
VSIR,HLA-F,HLA-F + VSIR,3306,3946,14,654,3292,16,38056,0.908756597
CDH2,FCER2,CDH2 + FCER2,245,3631,18,3404,227,327,2600,0.11627907
APLP2,PLXNA4,APLP2 + PLXNA4,3310,292,3066,48,244,618,2824,0.135912985
APP,PLXNA4,APP + PLXNA4,2518,292,2310,84,208,1374,2412,0.148549609
FGFR4,SDC2,FGFR4 + SDC2,141,765,109,733,32,3102,366,0.070155262
CD93,IFNGR1,CD93 + IFNGR1,2083,3342,271,1530,1812,363,20972,0.669198124
JAML,CD320,CD320 + JAML,2594,2242,1043,691,1551,691,18002,0.643089344
CHL1,L1CAM,CHL1 + L1CAM,1043,321,945,223,98,2710,1134,0.144827586
VSIR,HLA-E,HLA-E + VSIR,3306,3976,0,670,3306,0,38206,0.908779525
FGFR4,TGFBR3,FGFR4 + TGFBR3,141,827,99,785,42,3050,486,0.087143626
MCAM,CNTN1,CNTN1 + MCAM,1840,262,1709,131,131,2005,1516,0.125144461
CHL1,CHL1,CHL1 + CHL1,1043,1043,0,0,1043,2933,11958,1
MPZL1,MPZL1,MPZL1 + MPZL1,2356,2356,0,0,2356,1620,27148,1
CD80,NGFR,CD80 + NGFR,400,1300,237,1137,163,2439,1856,0.190613125
