CellCondition,Timepoint,WellID,Protein,Dose,B-->B,B-->M14,M14-->M14,B-->M16,M14-->M16,M16-->M16,B-->NK,M14-->NK,M16-->NK,NK-->NK,B-->Negs,M14-->Negs,M16-->Negs,NK-->Negs,Negs-->Negs,B-->T0,M14-->T0,M16-->T0,NK-->T0,Negs-->T0,T0-->T0,B-->T4,M14-->T4,M16-->T4,NK-->T4,Negs-->T4,T0-->T4,T4-->T4,B-->T8,M14-->T8,M16-->T8,NK-->T8,Negs-->T8,T0-->T8,T4-->T8,T8-->T8
Resting,4,8,APLP2,200,1.503441491,0.635952209,2.278641484,0.84903509,0.688546975,2.630856805,0.94365122,0.756971418,0.677547711,1.147905474,0.728259397,1.208047096,0.902646411,0.985455713,2.32273344,0.925054413,0.859316349,0.515954441,1.444329229,0.774479384,2.307067743,1.061841709,0.610858302,0.590733644,1.076151863,0.872111184,0.851071152,1.173385426,0.936538254,0.738437341,0.699588777,0.98844942,0.823735066,1.197389723,1.122670181,1.102049453
Resting,4,104,APLP2,200,1.450996608,0.599328979,1.608546373,0.853579233,1.077020747,2.73804671,0.955112288,0.701953805,0.604287326,1.137781287,0.686334503,0.902079531,1.345404961,0.597236376,1.70464685,0.958551317,0.706078761,0.633537404,1.328307113,0.811276589,1.824228268,1.065760586,0.56890001,0.725660227,1.054342706,0.777972147,1.032307426,1.179249721,1.079649142,0.606822127,0.743654883,1.003081559,0.971135423,1.16177139,1.238450095,1.17620313
Resting,4,111,APLP2,200,1.475548187,0.754338072,1.65127171,0.612136121,1.084444445,2.187848714,0.945790287,0.673542307,0.779163103,1.121039291,0.89046104,0.957027367,0.94031828,0.781380835,1.930893926,0.865073905,0.447586371,0.344130371,1.333407791,0.847984249,1.628195494,1.174348026,0.614737778,0.727751112,0.940264655,0.858329463,0.86464166,1.300837771,0.991591188,0.74275767,0.585352071,1.016759753,0.946803481,1.045451387,1.163863168,1.157701498
Resting,4,241,APLP2,200,1.155522653,0.48311727,1.738098645,0.721320924,0.801421097,2.051256379,0.727539208,0.586261246,0.742696275,1.075629088,0.557085741,0.920914797,0.35868964,0.825604602,1.818928885,0.597519745,0.584623293,0.349150022,1.524220441,0.720431958,2.947717632,1.048141193,0.488056314,0.444627574,1.052796325,0.708380543,0.98890218,1.48491778,1.006530215,0.485152877,0.605828529,1.07632205,0.773802369,1.416775691,1.228177612,1.236602193
Resting,4,314,APLP2,200,1.423540777,0.498799824,1.557130699,0.757680455,0.859792467,1.605934206,0.819404923,0.645719093,0.568582699,1.104694627,0.723382163,0.977228358,1.149928197,0.867141034,2.318978404,0.657303984,0.630453237,0.671712865,1.32603028,0.916151585,2.525142807,1.089435348,0.52206829,0.702091839,1.011881529,0.718189182,0.862862869,1.398303511,0.974790345,0.617053079,0.719750512,0.951177768,0.887834173,1.141233372,1.267914034,1.209950647
Resting,4,120,APLP2,80,1.415292747,0.787887506,1.604460237,0.564189396,1.017462589,2.405258654,0.901058949,0.738538343,0.668580372,1.194335226,0.925823339,1.506697427,0.918998468,0.899764643,2.534783753,0.765590338,0.755575601,0.615473278,1.342451487,0.904458939,1.8222136,1.018078519,0.754415078,0.73471891,0.910063958,0.791775934,0.915335861,1.139327911,0.930351495,0.791514667,0.597138123,1.102278685,0.846543694,1.160296422,1.120651698,1.118269456
Resting,4,191,APLP2,80,1.153024792,0.726998596,1.119059408,0.697194688,0.757236016,1.049622773,0.863193424,0.803216191,0.586885851,1.056236768,0.771364336,0.936356925,0.870963577,0.679757416,1.365127309,0.920835723,0.591630142,1.025090688,1.15589079,0.5103643,1.103469909,0.944804438,0.648550376,0.777356987,1.086628046,0.937825428,1.029480975,1.228053632,0.963509426,0.750095175,0.827355387,1.059265609,0.806151405,0.994107239,1.25748902,1.245023541
Resting,4,199,APLP2,80,1.088442925,0.828067821,1.162731546,0.531570674,0.796048013,0.799589502,0.922738415,0.628804898,0.523767802,1.115048793,0.723264128,1.001200132,1.122472739,0.782403899,1.678302812,0.97850533,0.687835236,0.892042038,1.28227633,0.91511209,1.741572697,0.952925987,0.748558453,0.694235863,1.0789317,0.727624703,0.987116618,1.366125079,0.960785996,0.775376506,0.862467559,1.033207479,0.860859977,1.131223814,1.173840257,1.125318187
Resting,4,339,APLP2,80,1.314508682,0.722911097,0.821068011,0.889999039,0.695990376,1.46889613,0.805041798,0.445770271,0.666402524,1.054495837,0.539701934,0.76024471,1.153925319,0.673374883,1.837158572,0.600004883,0.682930761,0.681711864,1.258935767,0.714046024,1.721113526,1.182097828,0.62609601,0.595623498,1.019168577,0.766998546,0.949610514,1.439089696,0.981705218,0.633508804,0.599452643,0.992875693,0.789920065,1.001537341,1.295156066,1.234121436
Resting,4,380,APLP2,80,1.281419206,0.625705442,1.374295837,0.36743203,0.74145477,0,0.854279471,0.734246182,0.459290038,1.137061796,0.698467492,0.934823687,0.831921578,0.698467492,1.135389827,0.758236217,0.86137447599999994,0.434830805,1.102250796,1.017339997,2.233332183,1.128034084,0.62181907300000006,0.745514265,0.937735651,0.855499388,0.853066618,1.329131712,0.993380668,0.665690678,0.828117266,0.958035663,0.850807271,1.208620852,1.269292782,1.157173171
