Protein,CellCondition,Cell_population,Timepoint,conditionID,condition_proteinID,Cell_proportion_raw,control_median3,Cell_proportion_norm1med3,T_statistic_all3,p_raw_all3,p_adj_all3
APLP2,Activated,B,24hr,Activated 24hr,Activated 24hr APLP2,0.1096331345,0.103368426,0.05714247365608257,3.1903099840759337,0.0042962649331954,0.05970580752874978
APLP2,Activated,B_activation,24hr,Activated 24hr,Activated 24hr APLP2,0.697937082101271,0.7463498664486611,-0.06486607223198344,-1.5604921645806795,0.13262886399129878,0.41619793190559823
APLP2,Activated,ConvB,24hr,Activated 24hr,Activated 24hr APLP2,0.064877076,0.058813168,0.09346765258039691,2.906137349819762,0.0081854737475961,0.0900772495663064
APLP2,Activated,ConvNK,24hr,Activated 24hr,Activated 24hr APLP2,0.048481909000000004,0.0531897805,-0.08851082775195877,-2.211432978460398,0.04527127319032495,0.23631959045967765
APLP2,Activated,ConvT,24hr,Activated 24hr,Activated 24hr APLP2,0.3985254815,0.4062744755,-0.019073297652931212,-1.4419734011322496,0.1694952011225815,0.47163882051500944
APLP2,Activated,M14,24hr,Activated 24hr,Activated 24hr APLP2,0.0490045285,0.0473513125,0.0337359842162342,0.9566832458663709,0.35441073769658227,0.6488500077591463
APLP2,Activated,M16,24hr,Activated 24hr,Activated 24hr APLP2,0.0059532505,0.005882159,0.011941627519285522,NA,NA,NA
APLP2,Activated,Negs,24hr,Activated 24hr,Activated 24hr APLP2,0.0846087335,0.08711513,-0.028771081441306395,-1.5099032683843485,0.14880709424723398,0.44026624478013754
APLP2,Activated,NK,24hr,Activated 24hr,Activated 24hr APLP2,0.1148867915,0.123294605,-0.06819287429486473,-3.307668307887527,0.004028749781023287,0.057975854836974164
APLP2,Activated,NK_activation,24hr,Activated 24hr,Activated 24hr APLP2,1.4110268189644988,1.3529529881664586,0.04115714174777943,0.761694592676521,0.46092710341954335,0.7190868017507962
APLP2,Activated,PolarizedB,24hr,Activated 24hr,Activated 24hr APLP2,0.044783427,0.043414714,0.030562935703871,1.086896211047684,0.29187691597671245,0.6061867289968955
APLP2,Activated,PolarizedNK,24hr,Activated 24hr,Activated 24hr APLP2,0.06770685200000001,0.0711793735,-0.04878550244615446,-2.7053621573784365,0.013382308949677221,0.1161781700194933
APLP2,Activated,PolarizedT,24hr,Activated 24hr,Activated 24hr APLP2,0.23783373400000002,0.2270563485,0.045314789112296465,1.915803740651972,0.0750051854789543,0.3132548816769172
APLP2,Activated,T_activation,24hr,Activated 24hr,Activated 24hr APLP2,0.5996033865747145,0.5614133531662853,0.06369215762204583,1.7643804653982333,0.09896279669235644,0.3568287159123005
APLP2,Activated,T0,24hr,Activated 24hr,Activated 24hr APLP2,0.057085303500000004,0.0628018265,-0.09102478890482589,-2.0186329496064173,0.05398921704336664,0.2644095607145007
APLP2,Activated,T4,24hr,Activated 24hr,Activated 24hr APLP2,0.3049729925,0.3043045645,0.0021917612917806114,0.9659063145256558,0.3519657625113327,0.6474445729818246
APLP2,Activated,T8,24hr,Activated 24hr,Activated 24hr APLP2,0.273912387,0.27036526,0.01294985976665591,1.3242159844986228,0.20604846855010842,0.5240068215543687
APLP2,Activated,B,4hr,Activated 4hr,Activated 4hr APLP2,0.11630156650000001,0.107069685,0.07937882332823101,2.831318248201508,0.013833065142568565,0.11845779727720686
APLP2,Activated,B_activation,4hr,Activated 4hr,Activated 4hr APLP2,0.27125438373050514,0.2584974983272899,0.047029232220222365,1.0841723848294724,0.28776445720431165,0.6027934193978346
APLP2,Activated,ConvB,4hr,Activated 4hr,Activated 4hr APLP2,0.091542803,0.085766995,0.06309406977629915,2.40395542926147,0.029391926490061455,0.18375620880161814
APLP2,Activated,ConvNK,4hr,Activated 4hr,Activated 4hr APLP2,0.05473111,0.0612178535,-0.1059616293145594,-2.58765086048639,0.02265597060861436,0.159708175420725
APLP2,Activated,ConvT,4hr,Activated 4hr,Activated 4hr APLP2,0.4323756675,0.4317089275,0.0015420386717298307,-0.2880998724938913,0.7771737955756466,0.8996128847405866
APLP2,Activated,M14,4hr,Activated 4hr,Activated 4hr APLP2,0.1002394125,0.0998607735,0.003777346560166642,0.12656228359858251,0.9005797468678672,0.9625315981573227
APLP2,Activated,M16,4hr,Activated 4hr,Activated 4hr APLP2,0.01303973,0.013076183,-0.0027877401226336865,NA,NA,NA
APLP2,Activated,Negs,4hr,Activated 4hr,Activated 4hr APLP2,0.066478343,0.065821646,0.009878359934452605,1.0006023920215028,0.3325955292365518,0.6303866417134305
APLP2,Activated,NK,4hr,Activated 4hr,Activated 4hr APLP2,0.1028356165,0.11114358,-0.07474982810523109,-3.1166049606469186,0.007890870463076877,0.08734140623103184
APLP2,Activated,NK_activation,4hr,Activated 4hr,Activated 4hr APLP2,0.8989644824216343,0.832460326371414,0.0739786246850055,1.6001737049974636,0.13758421705344057,0.4235503998404651
APLP2,Activated,PolarizedB,4hr,Activated 4hr,Activated 4hr APLP2,0.024921264499999998,0.022384341000000002,0.10179754321856327,2.78394748266078,0.0133672356282187,0.1161781700194933
APLP2,Activated,PolarizedNK,4hr,Activated 4hr,Activated 4hr APLP2,0.050986625,0.052739208999999995,-0.03323113928386743,-1.0731876576724657,0.2971924982508571,0.608942581898778
APLP2,Activated,PolarizedT,4hr,Activated 4hr,Activated 4hr APLP2,0.1702749025,0.167084634,0.018735987824159712,0.17044986458188793,0.8666636415166091,0.9438987801918465
