# __s0 __s1 __s2 __s3 __s4 __s5 __s6 __s7 __s8 __s9 __s10 __s11 __s12 __s13 __s14 __s15 __s16 __s17 __s18 __s19 __s20 __s21 __s22 __s23 __s24 __s25 __s26 __s27 __s28 __s29 __s30 __s31 __s32 __s33 __s34 oT4 oT8 oNK oDC oM14 oM16 oB oT4_T4 oT4_T8 oT4_NK oT4_DC oT4_M14 oT4_M16 oT4_B oT8_T8 oT8_NK oT8_DC oT8_M14 oT8_M16 oT8_B oNK_NK oNK_DC oNK_M14 oNK_M16 oNK_B oDC_DC oDC_M14 oDC_M16 oDC_B oM14_M14 oM14_M16 oM14_B oM16_M16 oM16_B oB_B
1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.251395038290964434e-01 6.737755387922310379e-02 5.775002003992430605e-02 5.774820818674857893e-03 5.774947694379955337e-02 9.624533606752465331e-03 4.813435787428957391e-02 8.178604819400316171e-04 8.818582835032080097e-04 7.566520256307023322e-04 7.577440862363457293e-05 7.572505619672590792e-04 1.262941443937288741e-04 6.269457829049742033e-04 2.380530463128246749e-04 4.084713132547324694e-04 4.087099495616811361e-05 4.083883227352236170e-04 6.815848116573394548e-05 3.385926325361827472e-04 1.753703688460684848e-04 3.504466233377964441e-05 3.502230800454191159e-04 5.844075074322507629e-05 2.904073903757095274e-04 1.754384126388893475e-06 3.504617990489699935e-05 5.844641133406989952e-06 2.908952612047914515e-05 1.751034554521708174e-04 5.843673462172189402e-05 2.909712660215873570e-04 4.878110628049588643e-06 4.853541993361796446e-05 1.205500539089506435e-04 1.251395038290964434e-01 6.737755387922310379e-02 5.775002003992430605e-02 5.774820818674857893e-03 5.774947694379955337e-02 9.624533606752465331e-03 4.813435787428957391e-02 1.635720963880063234e-03 8.818582835032080097e-04 7.566520256307023322e-04 7.577440862363457293e-05 7.572505619672590792e-04 1.262941443937288741e-04 6.269457829049742033e-04 4.761060926256493499e-04 4.084713132547324694e-04 4.087099495616811361e-05 4.083883227352236170e-04 6.815848116573394548e-05 3.385926325361827472e-04 3.507407376921369696e-04 3.504466233377964441e-05 3.502230800454191159e-04 5.844075074322507629e-05 2.904073903757095274e-04 3.508768252777786949e-06 3.504617990489699935e-05 5.844641133406989952e-06 2.908952612047914515e-05 3.502069109043416347e-04 5.843673462172189402e-05 2.909712660215873570e-04 9.756221256099177286e-06 4.853541993361796446e-05 2.411001078179012870e-04
1.207558481613532630e-01 6.500245819627166466e-02 5.570815224481039801e-02 5.570127660003519957e-03 5.570610509150008410e-02 9.282907605125201647e-03 4.645883980104842381e-02 1.554333583526118024e-03 1.677974130913652360e-03 1.441197278730618411e-03 1.445365731697314984e-04 1.443488004474838618e-03 2.409049869820234090e-04 1.187383697323658423e-03 4.541586363066723079e-04 7.800038730536228105e-04 7.809083424814447592e-05 7.796796905875078877e-04 1.303048554539752398e-04 6.431711468580841775e-04 3.354799767798764560e-04 6.698118333273480457e-05 6.689591104575630214e-04 1.117613532738992590e-04 5.519850027814049431e-04 3.357297679524986545e-06 6.698664991119510418e-05 1.117810339029768336e-05 5.538440058532715401e-05 3.344464634453089467e-04 1.117452061444735835e-04 5.541433200337166467e-04 9.344264927679309395e-06 9.250935977476980874e-05 2.282916357973189408e-04 1.207558481613532630e-01 6.500245819627166466e-02 5.570815224481039801e-02 5.570127660003519957e-03 5.570610509150008410e-02 9.282907605125201647e-03 4.645883980104842381e-02 3.108667167052236047e-03 1.677974130913652360e-03 1.441197278730618411e-03 1.445365731697314984e-04 1.443488004474838618e-03 2.409049869820234090e-04 1.187383697323658423e-03 9.083172726133446158e-04 7.800038730536228105e-04 7.809083424814447592e-05 7.796796905875078877e-04 1.303048554539752398e-04 6.431711468580841775e-04 6.709599535597529120e-04 6.698118333273480457e-05 6.689591104575630214e-04 1.117613532738992590e-04 5.519850027814049431e-04 6.714595359049973090e-06 6.698664991119510418e-05 1.117810339029768336e-05 5.538440058532715401e-05 6.688929268906178933e-04 1.117452061444735835e-04 5.541433200337166467e-04 1.868852985535861879e-05 9.250935977476980874e-05 4.565832715946378816e-04
1.167920060431372475e-01 6.284546552827673105e-02 5.384990526218687290e-02 5.383520714064417984e-03 5.384555871148817563e-02 8.971165549097430414e-03 4.495040916028827938e-02 2.219209935599387659e-03 2.398544241141875415e-03 2.062162936301424176e-03 2.071124180221737795e-04 2.067099980777646357e-03 3.452051776074760480e-04 1.689449331813392720e-03 6.508990373309362244e-04 1.118924542547647307e-03 1.120856127884720192e-04 1.118212466693581505e-03 1.871397093329180443e-04 9.178298245568904286e-04 4.821128953978388626e-04 9.617047443557331585e-05 9.598724575700862734e-04 1.605554798962977460e-04 7.881830562664129958e-04 4.826296788343319030e-06 9.618156924574573470e-05 1.605938518160771592e-05 7.921723268532486267e-05 4.798605478144808744e-04 1.605190970100704945e-04 7.928346215857252390e-04 1.344610088165014016e-05 1.324634001108992011e-04 3.248066863465514449e-04 1.167920060431372475e-01 6.284546552827673105e-02 5.384990526218687290e-02 5.383520714064417984e-03 5.384555871148817563e-02 8.971165549097430414e-03 4.495040916028827938e-02 4.438419871198775318e-03 2.398544241141875415e-03 2.062162936301424176e-03 2.071124180221737795e-04 2.067099980777646357e-03 3.452051776074760480e-04 1.689449331813392720e-03 1.301798074661872449e-03 1.118924542547647307e-03 1.120856127884720192e-04 1.118212466693581505e-03 1.871397093329180443e-04 9.178298245568904286e-04 9.642257907956777252e-04 9.617047443557331585e-05 9.598724575700862734e-04 1.605554798962977460e-04 7.881830562664129958e-04 9.652593576686638061e-06 9.618156924574573470e-05 1.605938518160771592e-05 7.921723268532486267e-05 9.597210956289617487e-04 1.605190970100704945e-04 7.928346215857252390e-04 2.689220176330028031e-05 1.324634001108992011e-04 6.496133726931028899e-04
1.131993619856158095e-01 6.088163883612299904e-02 5.215439707081897386e-02 5.212953814233335474e-03 5.214709621827676167e-02 8.685934100223755699e-03 4.358943354523300839e-02 2.820833223711852449e-03 3.052264173602534537e-03 2.626820691563386614e-03 2.642059513304461098e-04 2.635236649665628154e-03 4.403650816981016423e-04 2.140079019100391867e-03 8.304755935486720243e-04 1.428921935891991389e-03 1.432186324871343862e-04 1.427686411148059451e-03 2.392603027038791165e-04 1.166058520946048000e-03 6.167890418762105812e-04 1.229203985510763872e-04 1.226089146130754284e-03 2.053294829695761418e-04 1.001943190321815530e-03 6.176352176085516459e-06 1.229382152676639453e-04 2.053883501275410679e-05 1.008714487654212169e-04 6.129085475014877304e-04 2.052649054036689001e-04 1.009871359104471712e-03 1.722423586718916275e-05 1.688588202538878716e-04 4.114420481374915332e-04 1.131993619856158095e-01 6.088163883612299904e-02 5.215439707081897386e-02 5.212953814233335474e-03 5.214709621827676167e-02 8.685934100223755699e-03 4.358943354523300839e-02 5.641666447423704898e-03 3.052264173602534537e-03 2.626820691563386614e-03 2.642059513304461098e-04 2.635236649665628154e-03 4.403650816981016423e-04 2.140079019100391867e-03 1.660951187097344049e-03 1.428921935891991389e-03 1.432186324871343862e-04 1.427686411148059451e-03 2.392603027038791165e-04 1.166058520946048000e-03 1.233578083752421162e-03 1.229203985510763872e-04 1.226089146130754284e-03 2.053294829695761418e-04 1.001943190321815530e-03 1.235270435217103292e-05 1.229382152676639453e-04 2.053883501275410679e-05 1.008714487654212169e-04 1.225817095002975461e-03 2.052649054036689001e-04 1.009871359104471712e-03 3.444847173437832550e-05 1.688588202538878716e-04 8.228840962749830665e-04
1.099362621418878277e-01 5.908960802679457530e-02 5.060373224823584010e-02 5.056673398717708399e-03 5.059294168264991814e-02 8.424322366907375723e-03 4.235909831002632187e-02 3.366349901552220716e-03 3.646586911341573659e-03 3.141403145791617571e-03 3.164203279808745382e-04 3.154024351883023217e-03 5.273876868793318795e-04 2.545215631131326865e-03 9.947745195394330948e-04 1.713156681130640138e-03 1.718012440758070005e-04 1.711272837986701090e-03 2.871784198924641897e-04 1.390846839699355674e-03 7.408099402253946536e-04 1.474949141278562772e-04 1.470289611494322250e-03 2.465174541904678672e-04 1.195786064578442318e-03 7.420295427496593772e-06 1.475200921946702437e-04 2.465964009768464683e-05 1.205897919504081184e-04 7.349308619726295164e-04 2.464169649882250765e-04 1.207672734857857637e-03 2.071347907468842103e-05 2.020905088950778361e-04 4.893500594306250760e-04 1.099362621418878277e-01 5.908960802679457530e-02 5.060373224823584010e-02 5.056673398717708399e-03 5.059294168264991814e-02 8.424322366907375723e-03 4.235909831002632187e-02 6.732699803104441431e-03 3.646586911341573659e-03 3.141403145791617571e-03 3.164203279808745382e-04 3.154024351883023217e-03 5.273876868793318795e-04 2.545215631131326865e-03 1.989549039078866190e-03 1.713156681130640138e-03 1.718012440758070005e-04 1.711272837986701090e-03 2.871784198924641897e-04 1.390846839699355674e-03 1.481619880450789307e-03 1.474949141278562772e-04 1.470289611494322250e-03 2.465174541904678672e-04 1.195786064578442318e-03 1.484059085499318754e-05 1.475200921946702437e-04 2.465964009768464683e-05 1.205897919504081184e-04 1.469861723945259033e-03 2.464169649882250765e-04 1.207672734857857637e-03 4.142695814937684206e-05 2.020905088950778361e-04 9.787001188612501519e-04
1.069667701697226830e-01 5.745093191846957492e-02 4.918246749587654176e-02 4.913166120787978638e-03 4.916775399685825026e-02 8.183835503988625554e-03 4.124490336477368985e-02 3.861923404526054759e-03 4.187944782270919784e-03 3.611289536642917335e-03 3.642759233408647632e-04 3.628748964493562490e-03 6.071385626830817827e-04 2.909985251793848274e-03 1.145423358395927533e-03 1.974356045258717808e-03 1.981021530232384711e-04 1.971709173736343763e-03 3.313356912644207976e-04 1.594773519184910842e-03 8.552979809259350771e-04 1.701219265287564340e-04 1.694788339937388158e-03 2.844941546297938230e-04 1.371886539274003603e-03 8.569202125310826392e-06 1.701547532007108103e-04 2.845910500003407138e-05 1.385816138677970421e-04 8.470851663373225220e-04 2.843503433860397633e-04 1.388324095713034528e-03 2.394387243994163813e-05 2.324988941681237491e-04 5.595233606123143450e-04 1.069667701697226830e-01 5.745093191846957492e-02 4.918246749587654176e-02 4.913166120787978638e-03 4.916775399685825026e-02 8.183835503988625554e-03 4.124490336477368985e-02 7.723846809052109519e-03 4.187944782270919784e-03 3.611289536642917335e-03 3.642759233408647632e-04 3.628748964493562490e-03 6.071385626830817827e-04 2.909985251793848274e-03 2.290846716791855066e-03 1.974356045258717808e-03 1.981021530232384711e-04 1.971709173736343763e-03 3.313356912644207976e-04 1.594773519184910842e-03 1.710595961851870154e-03 1.701219265287564340e-04 1.694788339937388158e-03 2.844941546297938230e-04 1.371886539274003603e-03 1.713840425062165278e-05 1.701547532007108103e-04 2.845910500003407138e-05 1.385816138677970421e-04 1.694170332674645044e-03 2.843503433860397633e-04 1.388324095713034528e-03 4.788774487988327626e-05 2.324988941681237491e-04 1.119046721224628690e-03
1.042597368624990917e-01 5.594962148980589522e-02 4.787721241526454036e-02 4.781119729658108580e-03 4.785823042194380789e-02 7.962310208873541947e-03 4.023428657243878492e-02 4.312894329133139422e-03 4.681915400500987444e-03 4.041144554670309669e-03 4.082238297923018039e-04 4.063992861962561001e-03 6.803682379818960053e-04 3.238829594326563584e-03 1.283833139749626217e-03 2.214884568671446601e-03 2.223543656167105377e-04 2.211369567306409236e-03 3.721150261572703168e-04 1.780073302442008142e-03 9.612256951582283035e-04 1.909991495622357163e-04 1.901593342199430501e-03 3.195846651465841142e-04 1.532129914168986733e-03 9.632677698869522839e-06 1.910396408055535023e-04 3.196960629771608499e-05 1.550283228696377438e-04 9.503760758063022713e-04 3.193904711793380219e-04 1.553631542990274467e-03 2.694146693951888892e-05 2.603788504846180269e-04 6.228209501395801356e-04 1.042597368624990917e-01 5.594962148980589522e-02 4.787721241526454036e-02 4.781119729658108580e-03 4.785823042194380789e-02 7.962310208873541947e-03 4.023428657243878492e-02 8.625788658266278844e-03 4.681915400500987444e-03 4.041144554670309669e-03 4.082238297923018039e-04 4.063992861962561001e-03 6.803682379818960053e-04 3.238829594326563584e-03 2.567666279499252434e-03 2.214884568671446601e-03 2.223543656167105377e-04 2.211369567306409236e-03 3.721150261572703168e-04 1.780073302442008142e-03 1.922451390316456607e-03 1.909991495622357163e-04 1.901593342199430501e-03 3.195846651465841142e-04 1.532129914168986733e-03 1.926535539773904568e-05 1.910396408055535023e-04 3.196960629771608499e-05 1.550283228696377438e-04 1.900752151612604543e-03 3.193904711793380219e-04 1.553631542990274467e-03 5.388293387903777783e-05 2.603788504846180269e-04 1.245641900279160271e-03
1.017880570624270647e-01 5.457175866872489983e-02 4.667631010988885359e-02 4.659391758434201433e-03 4.665278935967654556e-02 7.757863077114663872e-03 3.931632328813225441e-02 4.723908277025899369e-03 5.133354267465738488e-03 4.435029328055855105e-03 4.486566521879261369e-04 4.463744432151920544e-03 7.477301049467110963e-04 3.535611598712974733e-03 1.411232105040238988e-03 2.436800602978190632e-03 2.447607516291293328e-04 2.432321418378424228e-03 4.098497712577846329e-04 1.948690309485340668e-03 1.059439200685335664e-03 2.102988022822227911e-04 2.092453793595498105e-03 3.520721212689716844e-04 1.678156840559750802e-03 1.061908659158988037e-05 2.103467675478006352e-04 3.521935813027778935e-05 1.700877366052634383e-04 1.045678912007779165e-03 3.518208609456242300e-04 1.705165543688631682e-03 2.972894529894839555e-05 2.859868157380685743e-04 6.799889335388654282e-04 1.017880570624270647e-01 5.457175866872489983e-02 4.667631010988885359e-02 4.659391758434201433e-03 4.665278935967654556e-02 7.757863077114663872e-03 3.931632328813225441e-02 9.447816554051798738e-03 5.133354267465738488e-03 4.435029328055855105e-03 4.486566521879261369e-04 4.463744432151920544e-03 7.477301049467110963e-04 3.535611598712974733e-03 2.822464210080477976e-03 2.436800602978190632e-03 2.447607516291293328e-04 2.432321418378424228e-03 4.098497712577846329e-04 1.948690309485340668e-03 2.118878401370671329e-03 2.102988022822227911e-04 2.092453793595498105e-03 3.520721212689716844e-04 1.678156840559750802e-03 2.123817318317976075e-05 2.103467675478006352e-04 3.521935813027778935e-05 1.700877366052634383e-04 2.091357824015558330e-03 3.518208609456242300e-04 1.705165543688631682e-03 5.945789059789679111e-05 2.859868157380685743e-04 1.359977867077730856e-03
9.952801929460498853e-02 5.330516307403360826e-02 4.556955811919071592e-02 4.546982179612831312e-03 4.554129323154441217e-02 7.568845513589553958e-03 3.848146308365184981e-02 5.099027774123304421e-03 5.546510797775709364e-03 4.796498474665442970e-03 4.859179387471995390e-04 4.831493787967756220e-03 8.097960613068664812e-04 3.803708096685452442e-03 1.528695167220379741e-03 2.641905671655258702e-03 2.654988995131536038e-04 2.636374741856024450e-03 4.448317011786116705e-04 2.102324779546878471e-03 1.150678646369084155e-03 2.281717081949964556e-04 2.268901629101631717e-03 3.822044615128535158e-04 1.811402642941010045e-03 1.153575210996499454e-05 2.282268012727760689e-04 3.823308018370420426e-05 1.838978882554089824e-04 1.133760455948605844e-03 3.818898426244228756e-04 1.844299053735807452e-03 3.232616470861000694e-05 3.095470101867558131e-04 7.316787224983984945e-04 9.952801929460498853e-02 5.330516307403360826e-02 4.556955811919071592e-02 4.546982179612831312e-03 4.554129323154441217e-02 7.568845513589553958e-03 3.848146308365184981e-02 1.019805554824660884e-02 5.546510797775709364e-03 4.796498474665442970e-03 4.859179387471995390e-04 4.831493787967756220e-03 8.097960613068664812e-04 3.803708096685452442e-03 3.057390334440759482e-03 2.641905671655258702e-03 2.654988995131536038e-04 2.636374741856024450e-03 4.448317011786116705e-04 2.102324779546878471e-03 2.301357292738168310e-03 2.281717081949964556e-04 2.268901629101631717e-03 3.822044615128535158e-04 1.811402642941010045e-03 2.307150421992998907e-05 2.282268012727760689e-04 3.823308018370420426e-05 1.838978882554089824e-04 2.267520911897211687e-03 3.818898426244228756e-04 1.844299053735807452e-03 6.465232941722001388e-05 3.095470101867558131e-04 1.463357444996796989e-03
