# __s0 __s1 __s2 __s3 __s4 __s5 __s6 __s7 __s8 __s9 __s10 __s11 __s12 __s13 __s14 __s15 __s16 __s17 __s18 __s19 __s20 __s21 __s22 __s23 __s24 __s25 __s26 __s27 __s28 __s29 __s30 __s31 __s32 __s33 __s34 oT4 oT8 oNK oDC oM14 oM16 oB oT4_T4 oT4_T8 oT4_NK oT4_DC oT4_M14 oT4_M16 oT4_B oT8_T8 oT8_NK oT8_DC oT8_M14 oT8_M16 oT8_B oNK_NK oNK_DC oNK_M14 oNK_M16 oNK_B oDC_DC oDC_M14 oDC_M16 oDC_B oM14_M14 oM14_M16 oM14_B oM16_M16 oM16_B oB_B
1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.251415180750814760e-01 6.737855585579796691e-02 5.775085675234119947e-02 5.774852023446850821e-03 5.774983511637323680e-02 9.624574170734759987e-03 4.813477064293491398e-02 8.175061632851630218e-04 8.814005764901818290e-04 7.562312028606522170e-04 7.575936158142375571e-05 7.570599588489778948e-04 1.262706752033883133e-04 6.267478233635799881e-04 2.379514366296869680e-04 4.082974092538354215e-04 4.086527259546718409e-05 4.083102958443981861e-04 6.815004701053548216e-05 3.385176697482339620e-04 1.753131516916490897e-04 3.504016932952203273e-05 3.501644397012799201e-04 5.843444048181704008e-05 2.903492826484005830e-04 1.754280942239212466e-06 3.504451138724962948e-05 5.844488424440136160e-06 2.908561135056707386e-05 1.750996814500291755e-04 5.843644374072806203e-05 2.909498712040669861e-04 4.878118672587856862e-06 4.853349705915456237e-05 1.205228008455407979e-04 1.251415180750814760e-01 6.737855585579796691e-02 5.775085675234119947e-02 5.774852023446850821e-03 5.774983511637323680e-02 9.624574170734759987e-03 4.813477064293491398e-02 1.635012326570326044e-03 8.814005764901818290e-04 7.562312028606522170e-04 7.575936158142375571e-05 7.570599588489778948e-04 1.262706752033883133e-04 6.267478233635799881e-04 4.759028732593739361e-04 4.082974092538354215e-04 4.086527259546718409e-05 4.083102958443981861e-04 6.815004701053548216e-05 3.385176697482339620e-04 3.506263033832981795e-04 3.504016932952203273e-05 3.501644397012799201e-04 5.843444048181704008e-05 2.903492826484005830e-04 3.508561884478424932e-06 3.504451138724962948e-05 5.844488424440136160e-06 2.908561135056707386e-05 3.501993629000583509e-04 5.843644374072806203e-05 2.909498712040669861e-04 9.756237345175713724e-06 4.853349705915456237e-05 2.410456016910815958e-04
1.207634002515797916e-01 6.500622127294669594e-02 5.571129756615624679e-02 5.570243058120796266e-03 5.570743352732422660e-02 9.283056496249584427e-03 4.646036904063639839e-02 1.553008621250819270e-03 1.676251907061814895e-03 1.439609358260436839e-03 1.444805934471306557e-04 1.442775232279623144e-03 2.408176941141959115e-04 1.186647720755399683e-03 4.537760825345002035e-04 7.793481507243216070e-04 7.806973696742697212e-05 7.793892327867497439e-04 1.302738238182500586e-04 6.428937106257252149e-04 3.352650171546637668e-04 6.696466446816677284e-05 6.687415720781710081e-04 1.117382645081457803e-04 5.517703894952004536e-04 3.356920678231104301e-06 6.698067967615674528e-05 1.117757773958293672e-05 5.536984822427713744e-05 3.344344134556427595e-04 1.117447773158651640e-04 5.540661516279203743e-04 9.344342437430485160e-06 9.250268137951235905e-05 2.281902286277858610e-04 1.207634002515797916e-01 6.500622127294669594e-02 5.571129756615624679e-02 5.570243058120796266e-03 5.570743352732422660e-02 9.283056496249584427e-03 4.646036904063639839e-02 3.106017242501638541e-03 1.676251907061814895e-03 1.439609358260436839e-03 1.444805934471306557e-04 1.442775232279623144e-03 2.408176941141959115e-04 1.186647720755399683e-03 9.075521650690004070e-04 7.793481507243216070e-04 7.806973696742697212e-05 7.793892327867497439e-04 1.302738238182500586e-04 6.428937106257252149e-04 6.705300343093275337e-04 6.696466446816677284e-05 6.687415720781710081e-04 1.117382645081457803e-04 5.517703894952004536e-04 6.713841356462208601e-06 6.698067967615674528e-05 1.117757773958293672e-05 5.536984822427713744e-05 6.688688269112855189e-04 1.117447773158651640e-04 5.540661516279203743e-04 1.868868487486097032e-05 9.250268137951235905e-05 4.563804572555717220e-04
1.168079661986413942e-01 6.285343205890364660e-02 5.385657034076745536e-02 5.383761446829278367e-03 5.384833776180283915e-02 8.971473881402710140e-03 4.495360346878319452e-02 2.216417195230396559e-03 2.394892133017471631e-03 2.058786242790383234e-03 2.069949611316167085e-04 2.065597028405862911e-03 3.450220517272486282e-04 1.687906993825269127e-03 6.500871772414084379e-04 1.117530854119908523e-03 1.120417374084443316e-04 1.117602675727213642e-03 1.870752983628794133e-04 9.172508879776041955e-04 4.816575494786304833e-04 9.613621716497179875e-05 9.594173024798360525e-04 1.605078246442302617e-04 7.877361190759698227e-04 4.825519068670651817e-06 9.616951684662519760e-05 1.605836696646055985e-05 7.918671551526132229e-05 4.798393029468379966e-04 1.605195187861847730e-04 7.926775900577611019e-04 1.344635926258357473e-05 1.324503395851152842e-04 3.245939425899126173e-04 1.168079661986413942e-01 6.285343205890364660e-02 5.385657034076745536e-02 5.383761446829278367e-03 5.384833776180283915e-02 8.971473881402710140e-03 4.495360346878319452e-02 4.432834390460793118e-03 2.394892133017471631e-03 2.058786242790383234e-03 2.069949611316167085e-04 2.065597028405862911e-03 3.450220517272486282e-04 1.687906993825269127e-03 1.300174354482816876e-03 1.117530854119908523e-03 1.120417374084443316e-04 1.117602675727213642e-03 1.870752983628794133e-04 9.172508879776041955e-04 9.633150989572609665e-04 9.613621716497179875e-05 9.594173024798360525e-04 1.605078246442302617e-04 7.877361190759698227e-04 9.651038137341303634e-06 9.616951684662519760e-05 1.605836696646055985e-05 7.918671551526132229e-05 9.596786058936759931e-04 1.605195187861847730e-04 7.926775900577611019e-04 2.689271852516714946e-05 1.324503395851152842e-04 6.491878851798252347e-04
1.132260625200451065e-01 6.089499039912607548e-02 5.216557837238995632e-02 5.213351667491069978e-03 5.215170144196337731e-02 8.686440030092756545e-03 4.359471684401991509e-02 2.816173380007420003e-03 3.046134310327433276e-03 2.621137523753061267e-03 2.640107490508820454e-04 2.632727046204128268e-03 4.400607815390663582e-04 2.137520309065507086e-03 8.291116475589822366e-04 1.426576937653511188e-03 1.431463469863074995e-04 1.426672434894890422e-03 2.391543767215608687e-04 1.165101899172257252e-03 6.160252595871284565e-04 1.228641193024789012e-04 1.225334823645320799e-03 2.052515581881026905e-04 1.001206145893323608e-03 6.175079931686750290e-06 1.229189348751837953e-04 2.053727624815827329e-05 1.008207461825454674e-04 6.128797210636274112e-04 2.052677201245665028e-04 1.009618156165276344e-03 1.722481757328761759e-05 1.688386219392110814e-04 4.110886387809838290e-04 1.132260625200451065e-01 6.089499039912607548e-02 5.216557837238995632e-02 5.213351667491069978e-03 5.215170144196337731e-02 8.686440030092756545e-03 4.359471684401991509e-02 5.632346760014840005e-03 3.046134310327433276e-03 2.621137523753061267e-03 2.640107490508820454e-04 2.632727046204128268e-03 4.400607815390663582e-04 2.137520309065507086e-03 1.658223295117964473e-03 1.426576937653511188e-03 1.431463469863074995e-04 1.426672434894890422e-03 2.391543767215608687e-04 1.165101899172257252e-03 1.232050519174256913e-03 1.228641193024789012e-04 1.225334823645320799e-03 2.052515581881026905e-04 1.001206145893323608e-03 1.235015986337350058e-05 1.229189348751837953e-04 2.053727624815827329e-05 1.008207461825454674e-04 1.225759442127254822e-03 2.052677201245665028e-04 1.009618156165276344e-03 3.444963514657523517e-05 1.688386219392110814e-04 8.221772775619676579e-04
1.099755897102394769e-01 5.910931004942551054e-02 5.062024823371066851e-02 5.057252717794256253e-03 5.059966466459495105e-02 8.425053903510466152e-03 4.236679366821132636e-02 3.359504369453550788e-03 3.637529638142669806e-03 3.132983127273698300e-03 3.161345598095114968e-04 3.150333730638132847e-03 5.269422368842473225e-04 2.541478258105181551e-03 9.927569865255652520e-04 1.709682676761861740e-03 1.716963198298585242e-04 1.709787634204139230e-03 2.870249265204072526e-04 1.389454782064441889e-03 7.396816684272678084e-04 1.474134579788738116e-04 1.469188353235136415e-03 2.464051876412256333e-04 1.194715626544015511e-03 7.418460090594494375e-06 1.474929121038531831e-04 2.465754362737148303e-05 1.205155686750860054e-04 7.348978377409206685e-04 2.464240693571722652e-04 1.207312960384783300e-03 2.071454452953024993e-05 2.020630434000444562e-04 4.888330463075703410e-04 1.099755897102394769e-01 5.910931004942551054e-02 5.062024823371066851e-02 5.057252717794256253e-03 5.059966466459495105e-02 8.425053903510466152e-03 4.236679366821132636e-02 6.719008738907101576e-03 3.637529638142669806e-03 3.132983127273698300e-03 3.161345598095114968e-04 3.150333730638132847e-03 5.269422368842473225e-04 2.541478258105181551e-03 1.985513973051130504e-03 1.709682676761861740e-03 1.716963198298585242e-04 1.709787634204139230e-03 2.870249265204072526e-04 1.389454782064441889e-03 1.479363336854535617e-03 1.474134579788738116e-04 1.469188353235136415e-03 2.464051876412256333e-04 1.194715626544015511e-03 1.483692018118898875e-05 1.474929121038531831e-04 2.465754362737148303e-05 1.205155686750860054e-04 1.469795675481841337e-03 2.464240693571722652e-04 1.207312960384783300e-03 4.142908905906049987e-05 2.020630434000444562e-04 9.776660926151406819e-04
1.070202390157030947e-01 5.747776902356814543e-02 4.920498764658689378e-02 4.913945269343882559e-03 4.917681830132419885e-02 8.184812627905695831e-03 4.125525151897898452e-02 3.852640801367093401e-03 4.175593223931363916e-03 3.599776248455695531e-03 3.638895769481986873e-04 3.623737703226879645e-03 6.065363497400335594e-04 2.904946279260574565e-03 1.142668599183207720e-03 1.969605305645445725e-03 1.979614845947254558e-04 1.969700237399544477e-03 3.311302346846758905e-04 1.592903291809697397e-03 8.537591269119518093e-04 1.700130388931352945e-04 1.693303558745373706e-03 2.843447619292274070e-04 1.370451185920343318e-03 8.566754631975000291e-06 1.701193593350286534e-04 2.845650981669816884e-05 1.384812518043811429e-04 8.470525564358339808e-04 2.843638506674081926e-04 1.387851876429916330e-03 2.394559126705283759e-05 2.324644827221504354e-04 5.588250565369833099e-04 1.070202390157030947e-01 5.747776902356814543e-02 4.920498764658689378e-02 4.913945269343882559e-03 4.917681830132419885e-02 8.184812627905695831e-03 4.125525151897898452e-02 7.705281602734186802e-03 4.175593223931363916e-03 3.599776248455695531e-03 3.638895769481986873e-04 3.623737703226879645e-03 6.065363497400335594e-04 2.904946279260574565e-03 2.285337198366415440e-03 1.969605305645445725e-03 1.979614845947254558e-04 1.969700237399544477e-03 3.311302346846758905e-04 1.592903291809697397e-03 1.707518253823903619e-03 1.700130388931352945e-04 1.693303558745373706e-03 2.843447619292274070e-04 1.370451185920343318e-03 1.713350926395000058e-05 1.701193593350286534e-04 2.845650981669816884e-05 1.384812518043811429e-04 1.694105112871667962e-03 2.843638506674081926e-04 1.387851876429916330e-03 4.789118253410567518e-05 2.324644827221504354e-04 1.117650113073966620e-03
1.043285498616712964e-01 5.598422693906725256e-02 4.790628140365368187e-02 4.782112295321154505e-03 4.786980479590764725e-02 7.963546618740643956e-03 4.024746131387784559e-02 4.300979225309052578e-03 4.665972553444267847e-03 4.026244337557475898e-03 4.077291724252648337e-04 4.057549972456359066e-03 6.795971816969196546e-04 3.232398470130346153e-03 1.280272532694405347e-03 2.208734602358421346e-03 2.221757401871461062e-04 2.208796223037168445e-03 3.718545161638736542e-04 1.777694360353067283e-03 9.592384427397859748e-04 1.908612883820973779e-04 1.899697483704544188e-03 3.193963679939407154e-04 1.530307630870287715e-03 9.629583712268326788e-06 1.909959801629617640e-04 3.196657534087891418e-05 1.548997807559591880e-04 9.503492759411074926e-04 3.194125979354349811e-04 1.553044394913684605e-03 2.694401069715443361e-05 2.603381207339950537e-04 6.219279641824129300e-04 1.043285498616712964e-01 5.598422693906725256e-02 4.790628140365368187e-02 4.782112295321154505e-03 4.786980479590764725e-02 7.963546618740643956e-03 4.024746131387784559e-02 8.601958450618105156e-03 4.665972553444267847e-03 4.026244337557475898e-03 4.077291724252648337e-04 4.057549972456359066e-03 6.795971816969196546e-04 3.232398470130346153e-03 2.560545065388810694e-03 2.208734602358421346e-03 2.221757401871461062e-04 2.208796223037168445e-03 3.718545161638736542e-04 1.777694360353067283e-03 1.918476885479571950e-03 1.908612883820973779e-04 1.899697483704544188e-03 3.193963679939407154e-04 1.530307630870287715e-03 1.925916742453665358e-05 1.909959801629617640e-04 3.196657534087891418e-05 1.548997807559591880e-04 1.900698551882214985e-03 3.194125979354349811e-04 1.553044394913684605e-03 5.388802139430886722e-05 2.603381207339950537e-04 1.243855928364825860e-03
1.018731552647015037e-01 5.461463818062008146e-02 4.671236732656428026e-02 4.660607477352098592e-03 4.666699794537434998e-02 7.759367508243025444e-03 3.933244361288159435e-02 4.709212067988051767e-03 5.113582422450348337e-03 4.416502079576335206e-03 4.480478173045219950e-04 4.455782716442000489e-03 7.467810110012375368e-04 3.527724552548001154e-03 1.406809738193680413e-03 2.429150320141258701e-03 2.445426719481583471e-04 2.429152704416508591e-03 4.095321558586536691e-04 1.945782068177599917e-03 1.056972663725898451e-03 2.101309943264447714e-04 2.090126667926853025e-03 3.518439340417137779e-04 1.675933349971341513e-03 1.061532309248781151e-05 2.102949797928541119e-04 3.521597008210684826e-05 1.699294430088396060e-04 1.045663796106572436e-03 3.518538536413440341e-04 1.704463540192956801e-03 2.973248307298247684e-05 2.859406009859526165e-04 6.788914161168479447e-04 1.018731552647015037e-01 5.461463818062008146e-02 4.671236732656428026e-02 4.660607477352098592e-03 4.666699794537434998e-02 7.759367508243025444e-03 3.933244361288159435e-02 9.418424135976103534e-03 5.113582422450348337e-03 4.416502079576335206e-03 4.480478173045219950e-04 4.455782716442000489e-03 7.467810110012375368e-04 3.527724552548001154e-03 2.813619476387360825e-03 2.429150320141258701e-03 2.445426719481583471e-04 2.429152704416508591e-03 4.095321558586536691e-04 1.945782068177599917e-03 2.113945327451796901e-03 2.101309943264447714e-04 2.090126667926853025e-03 3.518439340417137779e-04 1.675933349971341513e-03 2.123064618497562303e-05 2.102949797928541119e-04 3.521597008210684826e-05 1.699294430088396060e-04 2.091327592213144872e-03 3.518538536413440341e-04 1.704463540192956801e-03 5.946496614596495368e-05 2.859406009859526165e-04 1.357782832233695889e-03
9.963012285000213963e-02 5.335671448493396751e-02 4.561295378679929013e-02 4.548427682692614965e-03 4.555822384045508239e-02 7.570622794811644393e-03 3.850060310933384883e-02 5.081441160512591843e-03 5.522722750626505271e-03 4.774149981845103585e-03 4.851905905303875374e-04 4.821945875316069850e-03 8.086620969298814699e-04 3.794323533724821337e-03 1.523365931781367390e-03 2.632672214322039680e-03 2.652404414687739467e-04 2.632587690308655325e-03 4.444557520542943407e-04 2.098874802722894804e-03 1.147707767013922409e-03 2.279734335862218790e-04 2.266129059323684827e-03 3.819360204702287940e-04 1.808769969625612008e-03 1.153130467490121240e-05 2.281671646247363547e-04 3.822942306153455822e-05 1.837086546859295025e-04 1.133763140133345337e-03 3.819359218393896752e-04 1.843484167865694053e-03 3.233085979567206121e-05 3.094962712416898408e-04 7.303697453997115997e-04 9.963012285000213963e-02 5.335671448493396751e-02 4.561295378679929013e-02 4.548427682692614965e-03 4.555822384045508239e-02 7.570622794811644393e-03 3.850060310933384883e-02 1.016288232102518369e-02 5.522722750626505271e-03 4.774149981845103585e-03 4.851905905303875374e-04 4.821945875316069850e-03 8.086620969298814699e-04 3.794323533724821337e-03 3.046731863562734781e-03 2.632672214322039680e-03 2.652404414687739467e-04 2.632587690308655325e-03 4.444557520542943407e-04 2.098874802722894804e-03 2.295415534027844817e-03 2.279734335862218790e-04 2.266129059323684827e-03 3.819360204702287940e-04 1.808769969625612008e-03 2.306260934980242479e-05 2.281671646247363547e-04 3.822942306153455822e-05 1.837086546859295025e-04 2.267526280266690675e-03 3.819359218393896752e-04 1.843484167865694053e-03 6.466171959134412242e-05 3.094962712416898408e-04 1.460739490799423199e-03
