# __s0 __s1 __s2 __s3 __s4 __s5 __s6 __s7 __s8 __s9 __s10 __s11 __s12 __s13 __s14 __s15 __s16 __s17 __s18 __s19 __s20 __s21 __s22 __s23 __s24 __s25 __s26 __s27 __s28 __s29 __s30 __s31 __s32 __s33 __s34 oT4 oT8 oNK oDC oM14 oM16 oB oT4_T4 oT4_T8 oT4_NK oT4_DC oT4_M14 oT4_M16 oT4_B oT8_T8 oT8_NK oT8_DC oT8_M14 oT8_M16 oT8_B oNK_NK oNK_DC oNK_M14 oNK_M16 oNK_B oDC_DC oDC_M14 oDC_M16 oDC_B oM14_M14 oM14_M16 oM14_B oM16_M16 oM16_B oB_B
1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.251394793212279588e-01 6.737755157782975013e-02 5.775001428086543737e-02 5.774820329727333064e-03 5.774946223542355012e-02 9.624529280766052491e-03 4.813434787501821160e-02 8.178645203242662729e-04 8.818594304468129873e-04 7.566543331951855770e-04 7.577452710699491645e-05 7.572573006946937578e-04 1.262964667883909790e-04 6.269495798914496553e-04 2.380530734945846645e-04 4.084715183993592870e-04 4.087102028576043261e-05 4.083886786265502797e-04 6.815854167741434229e-05 3.385930857451853004e-04 1.753705487620426122e-04 3.504470003780915205e-05 3.502245493554456820e-04 5.844111623875509012e-05 2.904084043839122897e-04 1.754384027803253904e-06 3.504636306651208569e-05 5.844713252981984276e-06 2.908957846700498145e-05 1.751048732249389274e-04 5.843731970937268071e-05 2.909738066740037254e-04 4.878138633976951492e-06 4.853628429908423119e-05 1.205506927605782484e-04 1.251394793212279588e-01 6.737755157782975013e-02 5.775001428086543737e-02 5.774820329727333064e-03 5.774946223542355012e-02 9.624529280766052491e-03 4.813434787501821160e-02 1.635729040648532546e-03 8.818594304468129873e-04 7.566543331951855770e-04 7.577452710699491645e-05 7.572573006946937578e-04 1.262964667883909790e-04 6.269495798914496553e-04 4.761061469891693290e-04 4.084715183993592870e-04 4.087102028576043261e-05 4.083886786265502797e-04 6.815854167741434229e-05 3.385930857451853004e-04 3.507410975240852244e-04 3.504470003780915205e-05 3.502245493554456820e-04 5.844111623875509012e-05 2.904084043839122897e-04 3.508768055606507808e-06 3.504636306651208569e-05 5.844713252981984276e-06 2.908957846700498145e-05 3.502097464498778547e-04 5.843731970937268071e-05 2.909738066740037254e-04 9.756277267953902984e-06 4.853628429908423119e-05 2.411013855211564967e-04
1.207557562980514365e-01 6.500244997292353721e-02 5.570813080231615949e-02 5.570125841890142225e-03 5.570604962775836666e-02 9.282891224645914430e-03 4.645880239591657079e-02 1.554348665993881022e-03 1.677978293433393360e-03 1.441205877544363655e-03 1.445370042210032961e-04 1.443513503138772833e-03 2.409138247326688385e-04 1.187397866890625014e-03 4.541587231944788279e-04 7.800046011658339591e-04 7.809092640322077053e-05 7.796809238097364338e-04 1.303050502300738100e-04 6.431727856452411525e-04 3.354806312319259754e-04 6.698132132159595963e-05 6.689646279609307326e-04 1.117627264093698622e-04 5.519887808178903805e-04 3.357296957252561825e-06 6.698734255044561071e-05 1.117837814800154279e-05 5.538459155108881764e-05 3.344518222967110695e-04 1.117474159802626184e-04 5.541529142080682188e-04 9.344368105474457542e-06 9.251264364276522286e-05 2.282940106638825712e-04 1.207557562980514365e-01 6.500244997292353721e-02 5.570813080231615949e-02 5.570125841890142225e-03 5.570604962775836666e-02 9.282891224645914430e-03 4.645880239591657079e-02 3.108697331987762043e-03 1.677978293433393360e-03 1.441205877544363655e-03 1.445370042210032961e-04 1.443513503138772833e-03 2.409138247326688385e-04 1.187397866890625014e-03 9.083174463889576557e-04 7.800046011658339591e-04 7.809092640322077053e-05 7.796809238097364338e-04 1.303050502300738100e-04 6.431727856452411525e-04 6.709612624638519509e-04 6.698132132159595963e-05 6.689646279609307326e-04 1.117627264093698622e-04 5.519887808178903805e-04 6.714593914505123650e-06 6.698734255044561071e-05 1.117837814800154279e-05 5.538459155108881764e-05 6.689036445934221390e-04 1.117474159802626184e-04 5.541529142080682188e-04 1.868873621094891508e-05 9.251264364276522286e-05 4.565880213277651424e-04
1.167918119502818763e-01 6.284544896334404163e-02 5.384986024014324496e-02 5.383516900853025505e-03 5.384544083258185204e-02 8.971130598162676412e-03 4.495033029136844688e-02 2.219241687864450131e-03 2.398552761240948291e-03 2.062181003678828679e-03 2.071133023643029550e-04 2.067154350570582846e-03 3.452241240485979319e-04 1.689479132085978030e-03 6.508991926523426770e-04 1.118926000591134468e-03 1.120858021365544663e-04 1.118214866366345388e-03 1.871400545515444075e-04 9.178331664647436340e-04 4.821142386035818378e-04 9.617075938934437139e-05 9.598841384595988620e-04 1.605583880299497684e-04 7.881909925007378730e-04 4.826294544150478334e-06 9.618304562902228619e-05 1.605997497000438850e-05 7.921762556944777567e-05 4.798719633966396316e-04 1.605238011740742752e-04 7.928550384252434262e-04 1.344631516415212697e-05 1.324704287348516950e-04 3.248116624252847008e-04 1.167918119502818763e-01 6.284544896334404163e-02 5.384986024014324496e-02 5.383516900853025505e-03 5.384544083258185204e-02 8.971130598162676412e-03 4.495033029136844688e-02 4.438483375728900261e-03 2.398552761240948291e-03 2.062181003678828679e-03 2.071133023643029550e-04 2.067154350570582846e-03 3.452241240485979319e-04 1.689479132085978030e-03 1.301798385304685354e-03 1.118926000591134468e-03 1.120858021365544663e-04 1.118214866366345388e-03 1.871400545515444075e-04 9.178331664647436340e-04 9.642284772071636756e-04 9.617075938934437139e-05 9.598841384595988620e-04 1.605583880299497684e-04 7.881909925007378730e-04 9.652589088300956668e-06 9.618304562902228619e-05 1.605997497000438850e-05 7.921762556944777567e-05 9.597439267932792633e-04 1.605238011740742752e-04 7.928550384252434262e-04 2.689263032830425395e-05 1.324704287348516950e-04 6.496233248505694016e-04
1.131990373392724875e-01 6.088161241489965791e-02 5.215432220171230954e-02 5.212947478836284752e-03 5.214689790666645480e-02 8.685875081723304358e-03 4.358930190267208682e-02 2.820886143194424513e-03 3.052277988055936923e-03 2.626850754029923154e-03 2.642073882903395784e-04 2.635328399644684249e-03 4.403972189700178772e-04 2.140128625347771651e-03 8.304758118288066600e-04 1.428924250100284269e-03 1.432189411111777812e-04 1.427690091711171548e-03 2.392607713741880856e-04 1.166063919089963159e-03 6.167912266061186324e-04 1.229208648955710918e-04 1.226108726096823785e-03 2.053343591702555451e-04 1.001956390782595329e-03 6.176347265637350245e-06 1.229407064904386459e-04 2.053983686351869994e-05 1.008720889813976684e-04 6.129277956478662581e-04 2.052728320393779028e-04 1.009905746055307771e-03 1.722458818994895266e-05 1.688707234794420463e-04 4.114503017957287607e-04 1.131990373392724875e-01 6.088161241489965791e-02 5.215432220171230954e-02 5.212947478836284752e-03 5.214689790666645480e-02 8.685875081723304358e-03 4.358930190267208682e-02 5.641772286388849027e-03 3.052277988055936923e-03 2.626850754029923154e-03 2.642073882903395784e-04 2.635328399644684249e-03 4.403972189700178772e-04 2.140128625347771651e-03 1.660951623657613320e-03 1.428924250100284269e-03 1.432189411111777812e-04 1.427690091711171548e-03 2.392607713741880856e-04 1.166063919089963159e-03 1.233582453212237265e-03 1.229208648955710918e-04 1.226108726096823785e-03 2.053343591702555451e-04 1.001956390782595329e-03 1.235269453127470049e-05 1.229407064904386459e-04 2.053983686351869994e-05 1.008720889813976684e-04 1.225855591295732516e-03 2.052728320393779028e-04 1.009905746055307771e-03 3.444917637989790532e-05 1.688707234794420463e-04 8.229006035914575214e-04
1.099357840362574223e-01 5.908957091922555777e-02 5.060362258282073006e-02 5.056664125586306756e-03 5.059264796596033703e-02 8.424234645249125894e-03 4.235890485347475892e-02 3.366427557164597406e-03 3.646606643387879584e-03 3.141447200649892437e-03 3.164223846071544067e-04 3.154160638239195905e-03 5.274356587835120434e-04 2.545288323745752580e-03 9.947747873600930584e-04 1.713159918691800490e-03 1.718016878260814550e-04 1.711277782518257204e-03 2.871789528075662109e-04 1.390854520822685722e-03 7.408130719722943319e-04 1.474955867654377073e-04 1.470318513239414482e-03 2.465246535613235227e-04 1.195805400326818441e-03 7.420286550461705424e-06 1.475237932598091211e-04 2.466113793796607915e-05 1.205907109163242044e-04 7.349594333256276400e-04 2.464287238799484753e-04 1.207723716251767054e-03 2.071398914116303998e-05 2.021082494982316962e-04 4.893621124818476427e-04 1.099357840362574223e-01 5.908957091922555777e-02 5.060362258282073006e-02 5.056664125586306756e-03 5.059264796596033703e-02 8.424234645249125894e-03 4.235890485347475892e-02 6.732855114329194812e-03 3.646606643387879584e-03 3.141447200649892437e-03 3.164223846071544067e-04 3.154160638239195905e-03 5.274356587835120434e-04 2.545288323745752580e-03 1.989549574720186117e-03 1.713159918691800490e-03 1.718016878260814550e-04 1.711277782518257204e-03 2.871789528075662109e-04 1.390854520822685722e-03 1.481626143944588664e-03 1.474955867654377073e-04 1.470318513239414482e-03 2.465246535613235227e-04 1.195805400326818441e-03 1.484057310092341085e-05 1.475237932598091211e-04 2.466113793796607915e-05 1.205907109163242044e-04 1.469918866651255280e-03 2.464287238799484753e-04 1.207723716251767054e-03 4.142797828232607995e-05 2.021082494982316962e-04 9.787242249636952853e-04
1.069661202225029029e-01 5.745088381751407847e-02 4.918231916409273458e-02 4.913153585055811054e-03 4.916735247214071292e-02 8.183715178039016949e-03 4.124464094454475399e-02 3.862028594165428218e-03 4.187970810037810326e-03 3.611349146237944306e-03 3.642786412731748589e-04 3.628935791285468372e-03 6.072046344037154014e-04 2.910083565928131121e-03 1.145423658274361467e-03 1.974360229639953411e-03 1.981027429744010727e-04 1.971715266050718535e-03 3.313362052077047245e-04 1.594783612026625351e-03 8.553021283680816312e-04 1.701228228603842774e-04 1.694827725368861860e-03 2.845039672117328209e-04 1.371912687852223402e-03 8.569187887675453556e-06 1.701598286293028639e-04 2.846117148404547363e-05 1.385828319475331850e-04 8.471243100694832075e-04 2.843664444227609971e-04 1.388393851963196741e-03 2.394455410087293541e-05 2.325232910292792852e-04 5.595396073541446897e-04 1.069661202225029029e-01 5.745088381751407847e-02 4.918231916409273458e-02 4.913153585055811054e-03 4.916735247214071292e-02 8.183715178039016949e-03 4.124464094454475399e-02 7.724057188330856437e-03 4.187970810037810326e-03 3.611349146237944306e-03 3.642786412731748589e-04 3.628935791285468372e-03 6.072046344037154014e-04 2.910083565928131121e-03 2.290847316548722933e-03 1.974360229639953411e-03 1.981027429744010727e-04 1.971715266050718535e-03 3.313362052077047245e-04 1.594783612026625351e-03 1.710604256736163262e-03 1.701228228603842774e-04 1.694827725368861860e-03 2.845039672117328209e-04 1.371912687852223402e-03 1.713837577535090711e-05 1.701598286293028639e-04 2.846117148404547363e-05 1.385828319475331850e-04 1.694248620138966415e-03 2.843664444227609971e-04 1.388393851963196741e-03 4.788910820174587082e-05 2.325232910292792852e-04 1.119079214708289379e-03
1.042589004631607891e-01 5.594956247517945958e-02 4.787702242522676177e-02 4.781103679609929186e-03 4.785771085614690806e-02 7.962154005287174277e-03 4.023394961128835823e-02 4.313029211602828483e-03 4.681947914470844206e-03 4.041220925525280429e-03 4.082272309792592583e-04 4.064235250347787883e-03 6.804543466380634552e-04 3.238955445672331030e-03 1.283833453815693857e-03 2.214889692874883603e-03 2.223551093414814067e-04 2.211376618483483752e-03 3.721154205446333620e-04 1.780085861473835020e-03 9.612308989796989342e-04 1.910002812029702323e-04 1.901644156161240700e-03 3.195973266394877793e-04 1.532163394409971494e-03 9.632656665569614348e-06 1.910462293640867242e-04 3.197230435224044320e-05 1.550298518188967731e-04 9.504268362656113217e-04 3.194113397312334560e-04 1.553721877234035724e-03 2.694232931826189348e-05 2.604105981706447259e-04 6.228416799659777922e-04 1.042589004631607891e-01 5.594956247517945958e-02 4.787702242522676177e-02 4.781103679609929186e-03 4.785771085614690806e-02 7.962154005287174277e-03 4.023394961128835823e-02 8.626058423205656966e-03 4.681947914470844206e-03 4.041220925525280429e-03 4.082272309792592583e-04 4.064235250347787883e-03 6.804543466380634552e-04 3.238955445672331030e-03 2.567666907631387715e-03 2.214889692874883603e-03 2.223551093414814067e-04 2.211376618483483752e-03 3.721154205446333620e-04 1.780085861473835020e-03 1.922461797959397868e-03 1.910002812029702323e-04 1.901644156161240700e-03 3.195973266394877793e-04 1.532163394409971494e-03 1.926531333113922870e-05 1.910462293640867242e-04 3.197230435224044320e-05 1.550298518188967731e-04 1.900853672531222643e-03 3.194113397312334560e-04 1.553721877234035724e-03 5.388465863652378696e-05 2.604105981706447259e-04 1.245683359931955584e-03
1.017870227684034568e-01 5.457168910917554322e-02 4.667607619232535393e-02 4.659372002115067836e-03 4.665214336524547284e-02 7.757668262137086025e-03 3.931590752499396213e-02 4.724074477796823789e-03 5.133393312906802015e-03 4.435123372757810746e-03 4.486607431796174866e-04 4.464046559582757895e-03 7.478379020678309168e-04 3.535766385508093412e-03 1.411232416864191281e-03 2.436806638367267595e-03 2.447616540506004868e-04 2.432329186201026821e-03 4.098499331272151985e-04 1.948705332443150928e-03 1.059445479951391569e-03 2.103001763041384864e-04 2.092516798647983678e-03 3.520878216741446368e-04 1.678198040020498520e-03 1.061905732021501241e-05 2.103549860521339320e-04 3.522274223797389192e-05 1.700895814200401284e-04 1.045742158664955852e-03 3.518468504549455674e-04 1.705277936485785888e-03 2.972999368961005710e-05 2.860265009215891361e-04 6.800143491034417367e-04 1.017870227684034568e-01 5.457168910917554322e-02 4.667607619232535393e-02 4.659372002115067836e-03 4.665214336524547284e-02 7.757668262137086025e-03 3.931590752499396213e-02 9.448148955593647577e-03 5.133393312906802015e-03 4.435123372757810746e-03 4.486607431796174866e-04 4.464046559582757895e-03 7.478379020678309168e-04 3.535766385508093412e-03 2.822464833728382562e-03 2.436806638367267595e-03 2.447616540506004868e-04 2.432329186201026821e-03 4.098499331272151985e-04 1.948705332443150928e-03 2.118890959902783137e-03 2.103001763041384864e-04 2.092516798647983678e-03 3.520878216741446368e-04 1.678198040020498520e-03 2.123811464043002482e-05 2.103549860521339320e-04 3.522274223797389192e-05 1.700895814200401284e-04 2.091484317329911705e-03 3.518468504549455674e-04 1.705277936485785888e-03 5.945998737922011419e-05 2.860265009215891361e-04 1.360028698206883473e-03
9.952677833137167640e-02 5.330508354917591618e-02 4.556927859993659125e-02 4.546958573894661210e-03 4.554051399669471062e-02 7.568609819327130894e-03 3.848096536153563368e-02 5.099226472594893880e-03 5.546556308859743566e-03 4.796610862652233263e-03 4.859227141452498945e-04 4.831859104725412350e-03 8.099269487388663152e-04 3.803892784317074085e-03 1.528695463280332553e-03 2.641912575040265138e-03 2.654999635985557521e-04 2.636382946210809406e-03 4.448315091007840690e-04 2.102342221453195291e-03 1.150686003663713586e-03 2.281733281350646105e-04 2.268977434213221081e-03 3.822233522420943820e-04 1.811451840453072969e-03 1.153571317686250303e-05 2.282367477531652014e-04 3.823719746196737728e-05 1.839000486576108158e-04 1.133836908310373141e-03 3.819212450307492355e-04 1.844434708751264322e-03 3.232740130041020357e-05 3.095951254976016427e-04 7.317089546672421452e-04 9.952677833137167640e-02 5.330508354917591618e-02 4.556927859993659125e-02 4.546958573894661210e-03 4.554051399669471062e-02 7.568609819327130894e-03 3.848096536153563368e-02 1.019845294518978776e-02 5.546556308859743566e-03 4.796610862652233263e-03 4.859227141452498945e-04 4.831859104725412350e-03 8.099269487388663152e-04 3.803892784317074085e-03 3.057390926560665106e-03 2.641912575040265138e-03 2.654999635985557521e-04 2.636382946210809406e-03 4.448315091007840690e-04 2.102342221453195291e-03 2.301372007327427173e-03 2.281733281350646105e-04 2.268977434213221081e-03 3.822233522420943820e-04 1.811451840453072969e-03 2.307142635372500607e-05 2.282367477531652014e-04 3.823719746196737728e-05 1.839000486576108158e-04 2.267673816620746283e-03 3.819212450307492355e-04 1.844434708751264322e-03 6.465480260082040714e-05 3.095951254976016427e-04 1.463417909334484290e-03
