# __s0 __s1 __s2 __s3 __s4 __s5 __s6 __s7 __s8 __s9 __s10 __s11 __s12 __s13 __s14 __s15 __s16 __s17 __s18 __s19 __s20 __s21 __s22 __s23 __s24 __s25 __s26 __s27 __s28 __s29 __s30 __s31 __s32 __s33 __s34 oT4 oT8 oNK oDC oM14 oM16 oB oT4_T4 oT4_T8 oT4_NK oT4_DC oT4_M14 oT4_M16 oT4_B oT8_T8 oT8_NK oT8_DC oT8_M14 oT8_M16 oT8_B oNK_NK oNK_DC oNK_M14 oNK_M16 oNK_B oDC_DC oDC_M14 oDC_M16 oDC_B oM14_M14 oM14_M16 oM14_B oM16_M16 oM16_B oB_B
1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.251395526547849912e-01 6.737757599059622515e-02 5.775003824184656714e-02 5.774825741374415775e-03 5.774947240051025305e-02 9.624534715165701526e-03 4.813439283693871085e-02 8.178513654196963197e-04 8.818494494658231549e-04 7.566441602093187946e-04 7.577294368737527860e-05 7.572526133245647802e-04 1.262942866506025811e-04 6.269311610379521300e-04 2.380516844760435270e-04 4.084685786494411273e-04 4.087044919076737287e-05 4.083872370167869123e-04 6.815784723881844085e-05 3.385870788900197364e-04 1.753694426662176812e-04 3.504409433186091106e-05 3.502234394350193895e-04 5.844050571750681461e-05 2.904020944778303872e-04 1.754346494236268800e-06 3.504623056193047860e-05 5.844634431037598924e-06 2.908721343414049330e-05 1.751043619302469041e-04 5.843718339956058988e-05 2.909721718914172429e-04 4.878127476980141709e-06 4.853457244280788400e-05 1.205464354435486308e-04 1.251395526547849912e-01 6.737757599059622515e-02 5.775003824184656714e-02 5.774825741374415775e-03 5.774947240051025305e-02 9.624534715165701526e-03 4.813439283693871085e-02 1.635702730839392639e-03 8.818494494658231549e-04 7.566441602093187946e-04 7.577294368737527860e-05 7.572526133245647802e-04 1.262942866506025811e-04 6.269311610379521300e-04 4.761033689520870540e-04 4.084685786494411273e-04 4.087044919076737287e-05 4.083872370167869123e-04 6.815784723881844085e-05 3.385870788900197364e-04 3.507388853324353625e-04 3.504409433186091106e-05 3.502234394350193895e-04 5.844050571750681461e-05 2.904020944778303872e-04 3.508692988472537599e-06 3.504623056193047860e-05 5.844634431037598924e-06 2.908721343414049330e-05 3.502087238604938081e-04 5.843718339956058988e-05 2.909721718914172429e-04 9.756254953960283419e-06 4.853457244280788400e-05 2.410928708870972617e-04
1.207560308015107053e-01 6.500254101979810462e-02 5.570822044522757283e-02 5.570146269694054193e-03 5.570608695532875548e-02 9.282911673442476724e-03 4.645897091977960885e-02 1.554299434125888972e-03 1.677941001113967059e-03 1.441167704334995201e-03 1.445310488715910620e-04 1.443496156227065197e-03 2.409056079775302164e-04 1.187328811712404838e-03 4.541535786169506855e-04 7.799936443845830033e-04 7.808878681576224441e-05 7.796756242232013049e-04 1.303024443865159212e-04 6.431503220439408787e-04 3.354765288450448210e-04 6.697904051827213820e-05 6.689605888922305716e-04 1.117604364620044377e-04 5.519650824902205648e-04 3.357155809109448427e-06 6.698687700489551608e-05 1.117808414055166348e-05 5.537558133665375332e-05 3.344499216066126488e-04 1.117469400626974686e-04 5.541470150479513345e-04 9.344331375912552257e-06 9.250615077639173637e-05 2.282780584064016485e-04 1.207560308015107053e-01 6.500254101979810462e-02 5.570822044522757283e-02 5.570146269694054193e-03 5.570608695532875548e-02 9.282911673442476724e-03 4.645897091977960885e-02 3.108598868251777943e-03 1.677941001113967059e-03 1.441167704334995201e-03 1.445310488715910620e-04 1.443496156227065197e-03 2.409056079775302164e-04 1.187328811712404838e-03 9.083071572339013709e-04 7.799936443845830033e-04 7.808878681576224441e-05 7.796756242232013049e-04 1.303024443865159212e-04 6.431503220439408787e-04 6.709530576900896420e-04 6.697904051827213820e-05 6.689605888922305716e-04 1.117604364620044377e-04 5.519650824902205648e-04 6.714311618218896853e-06 6.698687700489551608e-05 1.117808414055166348e-05 5.537558133665375332e-05 6.688998432132252977e-04 1.117469400626974686e-04 5.541470150479513345e-04 1.868866275182510451e-05 9.250615077639173637e-05 4.565561168128032970e-04
1.167923911453764840e-01 6.284564042626593350e-02 5.385004932851487902e-02 5.383560358144941563e-03 5.384551816366694998e-02 8.971173973872844168e-03 4.495068626655299160e-02 2.219137830827439331e-03 2.398474205655108226e-03 2.062100254167425692e-03 2.071006771873335449e-04 2.067118138981992748e-03 3.452066683913696237e-04 1.689333248585444874e-03 6.508884447222779580e-04 1.118902968263828885e-03 1.120812827948886617e-04 1.118203872410500734e-03 1.871345408586219553e-04 9.177858143065441331e-04 4.821056556131180274e-04 9.616591790554233096e-05 9.598758458246735466e-04 1.605535448657074494e-04 7.881408292316729102e-04 4.825995305227393040e-06 9.618212588320623833e-05 1.605935664517560443e-05 7.919829082845753127e-05 4.798679747888165924e-04 1.605228669020501101e-04 7.928430367530182703e-04 1.344624805510269983e-05 1.324565523540191655e-04 3.247779806939157213e-04 1.167923911453764840e-01 6.284564042626593350e-02 5.385004932851487902e-02 5.383560358144941563e-03 5.384551816366694998e-02 8.971173973872844168e-03 4.495068626655299160e-02 4.438275661654878662e-03 2.398474205655108226e-03 2.062100254167425692e-03 2.071006771873335449e-04 2.067118138981992748e-03 3.452066683913696237e-04 1.689333248585444874e-03 1.301776889444555916e-03 1.118902968263828885e-03 1.120812827948886617e-04 1.118203872410500734e-03 1.871345408586219553e-04 9.177858143065441331e-04 9.642113112262360548e-04 9.616591790554233096e-05 9.598758458246735466e-04 1.605535448657074494e-04 7.881408292316729102e-04 9.651990610454786080e-06 9.618212588320623833e-05 1.605935664517560443e-05 7.919829082845753127e-05 9.597359495776331849e-04 1.605228669020501101e-04 7.928430367530182703e-04 2.689249611020539966e-05 1.324565523540191655e-04 6.495559613878314426e-04
1.132000048101280132e-01 6.088193125907504638e-02 5.215463803119794323e-02 5.213020652861400858e-03 5.214702484826402862e-02 8.685947924911986695e-03 4.358989705268949411e-02 2.820712699216952092e-03 3.052146964655779240e-03 2.626715517400045503e-03 2.641862004658762880e-04 2.635268515211885380e-03 4.403678631878250307e-04 2.139884730516725987e-03 8.304580232708577443e-04 1.428885899125514457e-03 1.432113825242621792e-04 1.427672015325365815e-03 2.392515325963342804e-04 1.165984900155945777e-03 6.167769999808777031e-04 1.229127284860786757e-04 1.226095234481579081e-03 2.053262475062688766e-04 1.001872341840773359e-03 6.175844986499549267e-06 1.229392719214237695e-04 2.053880714377837749e-05 1.008392666241804446e-04 6.129211594037133146e-04 2.052713841215792780e-04 1.009886411866729727e-03 1.722449307796311986e-05 1.688472543762951114e-04 4.113940209649243887e-04 1.132000048101280132e-01 6.088193125907504638e-02 5.215463803119794323e-02 5.213020652861400858e-03 5.214702484826402862e-02 8.685947924911986695e-03 4.358989705268949411e-02 5.641425398433904184e-03 3.052146964655779240e-03 2.626715517400045503e-03 2.641862004658762880e-04 2.635268515211885380e-03 4.403678631878250307e-04 2.139884730516725987e-03 1.660916046541715489e-03 1.428885899125514457e-03 1.432113825242621792e-04 1.427672015325365815e-03 2.392515325963342804e-04 1.165984900155945777e-03 1.233553999961755406e-03 1.229127284860786757e-04 1.226095234481579081e-03 2.053262475062688766e-04 1.001872341840773359e-03 1.235168997299909853e-05 1.229392719214237695e-04 2.053880714377837749e-05 1.008392666241804446e-04 1.225842318807426629e-03 2.052713841215792780e-04 1.009886411866729727e-03 3.444898615592623971e-05 1.688472543762951114e-04 8.227880419298487773e-04
1.099372069075298525e-01 5.909003856000034915e-02 5.060408715028588689e-02 5.056772590956483578e-03 5.059283158949774706e-02 8.424342358875500092e-03 4.235978078493682353e-02 3.366172525047763254e-03 3.646414198848752734e-03 3.141247767829391871e-03 3.163910780668105168e-04 3.154073385989599951e-03 5.273921925336445262e-04 2.544929419106466573e-03 9.947488486016274958e-04 1.713103664439005443e-03 1.717905551514643293e-04 1.711251585549342308e-03 2.871653186022239549e-04 1.390738420205569863e-03 7.407922950455875623e-04 1.474835466986259690e-04 1.470299169745590195e-03 2.465126879519471460e-04 1.195681422958316678e-03 7.419544152815989968e-06 1.475218294505441501e-04 2.465962771888948385e-05 1.205416836515486986e-04 7.349496986139043972e-04 2.464267547382427165e-04 1.207696287801132608e-03 2.071387375344588744e-05 2.020733120726535411e-04 4.892793346337477025e-04 1.099372069075298525e-01 5.909003856000034915e-02 5.060408715028588689e-02 5.056772590956483578e-03 5.059283158949774706e-02 8.424342358875500092e-03 4.235978078493682353e-02 6.732345050095526508e-03 3.646414198848752734e-03 3.141247767829391871e-03 3.163910780668105168e-04 3.154073385989599951e-03 5.273921925336445262e-04 2.544929419106466573e-03 1.989497697203254992e-03 1.713103664439005443e-03 1.717905551514643293e-04 1.711251585549342308e-03 2.871653186022239549e-04 1.390738420205569863e-03 1.481584590091175125e-03 1.474835466986259690e-04 1.470299169745590195e-03 2.465126879519471460e-04 1.195681422958316678e-03 1.483908830563197994e-05 1.475218294505441501e-04 2.465962771888948385e-05 1.205416836515486986e-04 1.469899397227808794e-03 2.464267547382427165e-04 1.207696287801132608e-03 4.142774750689177487e-05 2.020733120726535411e-04 9.785586692674954051e-04
1.069680519061956131e-01 5.745151710262652589e-02 4.918295007920316098e-02 4.913301974651143773e-03 4.916759783709045289e-02 8.183862212177844819e-03 4.124583078679112946e-02 3.861682438970092009e-03 4.187709854722140683e-03 3.611077645424114625e-03 3.642359424728072335e-04 3.628818373746443750e-03 6.071452267514697212e-04 2.909596172747267850e-03 1.145388724609069800e-03 1.974284025734688447e-03 1.980876047661173415e-04 1.971680187416505886e-03 3.313176270146703001e-04 1.594626148501174494e-03 8.552741014578780663e-04 1.701063755139615877e-04 1.694802105746396259e-03 2.844876697460147668e-04 1.371743895715846900e-03 8.568174855205496469e-06 1.701573566040471446e-04 2.845912644316419001e-05 1.385152698383463807e-04 8.471111132137735351e-04 2.843639825997356144e-04 1.388357930368888703e-03 2.394443014914947402e-05 2.324752949687956176e-04 5.594272505342745691e-04 1.069680519061956131e-01 5.745151710262652589e-02 4.918295007920316098e-02 4.913301974651143773e-03 4.916759783709045289e-02 8.183862212177844819e-03 4.124583078679112946e-02 7.723364877940184017e-03 4.187709854722140683e-03 3.611077645424114625e-03 3.642359424728072335e-04 3.628818373746443750e-03 6.071452267514697212e-04 2.909596172747267850e-03 2.290777449218139600e-03 1.974284025734688447e-03 1.980876047661173415e-04 1.971680187416505886e-03 3.313176270146703001e-04 1.594626148501174494e-03 1.710548202915756133e-03 1.701063755139615877e-04 1.694802105746396259e-03 2.844876697460147668e-04 1.371743895715846900e-03 1.713634971041099294e-05 1.701573566040471446e-04 2.845912644316419001e-05 1.385152698383463807e-04 1.694222226427547070e-03 2.843639825997356144e-04 1.388357930368888703e-03 4.788886029829894804e-05 2.324752949687956176e-04 1.118854501068549138e-03
1.042613829695015204e-01 5.595037451212950957e-02 4.787783367776906468e-02 4.781295828198211910e-03 4.785802145177904532e-02 7.962344012457274467e-03 4.023547939336070967e-02 4.312584449444256500e-03 4.681612896048375182e-03 4.040871015147335342e-03 4.081721035749467908e-04 4.064085585900174998e-03 6.803774859217359217e-04 3.238329045017439723e-03 1.283788892331777596e-03 2.214791929812456005e-03 2.223356198259352249e-04 2.211332111877550941e-03 3.720914504725379192e-04 1.779883695170048812e-03 9.611950879959526217e-04 1.909790110010052306e-04 1.901612010562037580e-03 3.195763082245675233e-04 1.531945871491566680e-03 9.631347957857188676e-06 1.910432967329903726e-04 3.196968230287072218e-05 1.549417624483242768e-04 9.504098815971912320e-04 3.194084401948093978e-04 1.553677339759029991e-03 2.694221138006446380e-05 2.603481976660691494e-04 6.226973475434023327e-04 1.042613829695015204e-01 5.595037451212950957e-02 4.787783367776906468e-02 4.781295828198211910e-03 4.785802145177904532e-02 7.962344012457274467e-03 4.023547939336070967e-02 8.625168898888513000e-03 4.681612896048375182e-03 4.040871015147335342e-03 4.081721035749467908e-04 4.064085585900174998e-03 6.803774859217359217e-04 3.238329045017439723e-03 2.567577784663555192e-03 2.214791929812456005e-03 2.223356198259352249e-04 2.211332111877550941e-03 3.720914504725379192e-04 1.779883695170048812e-03 1.922390175991905243e-03 1.909790110010052306e-04 1.901612010562037580e-03 3.195763082245675233e-04 1.531945871491566680e-03 1.926269591571437735e-05 1.910432967329903726e-04 3.196968230287072218e-05 1.549417624483242768e-04 1.900819763194382464e-03 3.194084401948093978e-04 1.553677339759029991e-03 5.388442276012892759e-05 2.603481976660691494e-04 1.245394695086804665e-03
1.017900885585495130e-01 5.457268991102430522e-02 4.667707875595930589e-02 4.659611063662199779e-03 4.665252143789976047e-02 7.757904221425829423e-03 3.931779730007212148e-02 4.723525342542117186e-03 5.132979958762839273e-03 4.434689996956783960e-03 4.485923513495520360e-04 4.463863144819855099e-03 7.477423474720548430e-04 3.534992957005213612e-03 1.411177766378549601e-03 2.436686065865093734e-03 2.447375390345036357e-04 2.432274875115846436e-03 4.098202074261933850e-04 1.948455910014107017e-03 1.059401484983705285e-03 2.102737420090781202e-04 2.092478012529191706e-03 3.520617673556927980e-04 1.677928689357411404e-03 1.061743249673134383e-05 2.103516603793268846e-04 3.521951102899767211e-05 1.699792675428782665e-04 1.045721205249374244e-03 3.518435876139539811e-04 1.705224871143368572e-03 2.972989838079057249e-05 2.859485609156855426e-04 6.798362219745902532e-04 1.017900885585495130e-01 5.457268991102430522e-02 4.667707875595930589e-02 4.659611063662199779e-03 4.665252143789976047e-02 7.757904221425829423e-03 3.931779730007212148e-02 9.447050685084234373e-03 5.132979958762839273e-03 4.434689996956783960e-03 4.485923513495520360e-04 4.463863144819855099e-03 7.477423474720548430e-04 3.534992957005213612e-03 2.822355532757099203e-03 2.436686065865093734e-03 2.447375390345036357e-04 2.432274875115846436e-03 4.098202074261933850e-04 1.948455910014107017e-03 2.118802969967410570e-03 2.102737420090781202e-04 2.092478012529191706e-03 3.520617673556927980e-04 1.677928689357411404e-03 2.123486499346268765e-05 2.103516603793268846e-04 3.521951102899767211e-05 1.699792675428782665e-04 2.091442410498748489e-03 3.518435876139539811e-04 1.705224871143368572e-03 5.945979676158114497e-05 2.859485609156855426e-04 1.359672443949180506e-03
9.953045185083161939e-02 5.330628056540660104e-02 4.557048092978614739e-02 4.547247119304121191e-03 4.554096081468136936e-02 7.568894139177974323e-03 3.848323014123540553e-02 5.098568640276274211e-03 5.546061413750650627e-03 4.796090048951705785e-03 4.858403922608148370e-04 4.831640902455223291e-03 8.098116900932017829e-04 3.802966421104298639e-03 1.528630401660090827e-03 2.641768238439002551e-03 2.654710088972218060e-04 2.636318587349181786e-03 4.447957345564497911e-04 2.102043648280736438e-03 1.150633533439852701e-03 2.281414515273677513e-04 2.268931996738292670e-03 3.821920091310266666e-04 1.811128258546767502e-03 1.153375567751291450e-05 2.282331112876949560e-04 3.823333326272936831e-05 1.837660721050242375e-04 1.133811758974098390e-03 3.819177071681283185e-04 1.844373362372015704e-03 3.232734662263913759e-05 3.095006933651889280e-04 7.314957014952259235e-04 9.953045185083161939e-02 5.330628056540660104e-02 4.557048092978614739e-02 4.547247119304121191e-03 4.554096081468136936e-02 7.568894139177974323e-03 3.848323014123540553e-02 1.019713728055254842e-02 5.546061413750650627e-03 4.796090048951705785e-03 4.858403922608148370e-04 4.831640902455223291e-03 8.098116900932017829e-04 3.802966421104298639e-03 3.057260803320181655e-03 2.641768238439002551e-03 2.654710088972218060e-04 2.636318587349181786e-03 4.447957345564497911e-04 2.102043648280736438e-03 2.301267066879705402e-03 2.281414515273677513e-04 2.268931996738292670e-03 3.821920091310266666e-04 1.811128258546767502e-03 2.306751135502582901e-05 2.282331112876949560e-04 3.823333326272936831e-05 1.837660721050242375e-04 2.267623517948196780e-03 3.819177071681283185e-04 1.844373362372015704e-03 6.465469324527827518e-05 3.095006933651889280e-04 1.462991402990451847e-03
