# __s0 __s1 __s2 __s3 __s4 __s5 __s6 __s7 __s8 __s9 __s10 __s11 __s12 __s13 __s14 __s15 __s16 __s17 __s18 __s19 __s20 __s21 __s22 __s23 __s24 __s25 __s26 __s27 __s28 __s29 __s30 __s31 __s32 __s33 __s34 oT4 oT8 oNK oDC oM14 oM16 oB oT4_T4 oT4_T8 oT4_NK oT4_DC oT4_M14 oT4_M16 oT4_B oT8_T8 oT8_NK oT8_DC oT8_M14 oT8_M16 oT8_B oNK_NK oNK_DC oNK_M14 oNK_M16 oNK_B oDC_DC oDC_M14 oDC_M16 oDC_B oM14_M14 oM14_M16 oM14_B oM16_M16 oM16_B oB_B
1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.251416910655776260e-01 6.737963625748075169e-02 5.775228757168262422e-02 5.775202636711528233e-03 5.775250457785896518e-02 9.625113789135155903e-03 4.813678066442627496e-02 8.177043619075042256e-04 8.815027262217143200e-04 7.562810679271578544e-04 7.570690660671161587e-05 7.567719321699959735e-04 1.261794291862330746e-04 6.264581484956115165e-04 2.378985746345985358e-04 4.081439611058310687e-04 4.080848088036187021e-05 4.079003172343426305e-04 6.806448055106636475e-05 3.381466272567538057e-04 1.752289630464952896e-04 3.496536140385653635e-05 3.496340766479725084e-04 5.832215394737835215e-05 2.899078811921900183e-04 1.749982625294558616e-06 3.494959404675313398e-05 5.826109742308906119e-06 2.904094535789143882e-05 1.747077642556767760e-04 5.828852108443599160e-05 2.905354524461844904e-04 4.868062469131238589e-06 4.846939141515792119e-05 1.203304447049713285e-04 1.251416910655776260e-01 6.737963625748075169e-02 5.775228757168262422e-02 5.775202636711528233e-03 5.775250457785896518e-02 9.625113789135155903e-03 4.813678066442627496e-02 1.635408723815008451e-03 8.815027262217143200e-04 7.562810679271578544e-04 7.570690660671161587e-05 7.567719321699959735e-04 1.261794291862330746e-04 6.264581484956115165e-04 4.757971492691970717e-04 4.081439611058310687e-04 4.080848088036187021e-05 4.079003172343426305e-04 6.806448055106636475e-05 3.381466272567538057e-04 3.504579260929905791e-04 3.496536140385653635e-05 3.496340766479725084e-04 5.832215394737835215e-05 2.899078811921900183e-04 3.499965250589117232e-06 3.494959404675313398e-05 5.826109742308906119e-06 2.904094535789143882e-05 3.494155285113535519e-04 5.828852108443599160e-05 2.905354524461844904e-04 9.736124938262477179e-06 4.846939141515792119e-05 2.406608894099426571e-04
1.207639305221678283e-01 6.501025414736835706e-02 5.571667319237948168e-02 5.571570086500857340e-03 5.571751832773853136e-02 9.285099870656282964e-03 4.646790724160816677e-02 1.553768862263712764e-03 1.676660759186788478e-03 1.439823513851959261e-03 1.442844954120018708e-04 1.441711119084479508e-03 2.404754757313605051e-04 1.185576390038220072e-03 4.535816821895797212e-04 7.787769039232663284e-04 7.785471564855104339e-05 7.778415621360518272e-04 1.299497797698050670e-04 6.414987675880580052e-04 3.349503039819231665e-04 6.668010164880756765e-05 6.667293325882226070e-04 1.113110021451623355e-04 5.501053454992511221e-04 3.340593598546938180e-06 6.661964757042833135e-05 1.110758167749235536e-05 5.520218434476783511e-05 3.329454644370449931e-04 1.111818469319276976e-04 5.525072350762690390e-04 9.306136566193609299e-06 9.226216995558425224e-05 2.274703329448456461e-04 1.207639305221678283e-01 6.501025414736835706e-02 5.571667319237948168e-02 5.571570086500857340e-03 5.571751832773853136e-02 9.285099870656282964e-03 4.646790724160816677e-02 3.107537724527425528e-03 1.676660759186788478e-03 1.439823513851959261e-03 1.442844954120018708e-04 1.441711119084479508e-03 2.404754757313605051e-04 1.185576390038220072e-03 9.071633643791594424e-04 7.787769039232663284e-04 7.785471564855104339e-05 7.778415621360518272e-04 1.299497797698050670e-04 6.414987675880580052e-04 6.699006079638463330e-04 6.668010164880756765e-05 6.667293325882226070e-04 1.113110021451623355e-04 5.501053454992511221e-04 6.681187197093876360e-06 6.661964757042833135e-05 1.110758167749235536e-05 5.520218434476783511e-05 6.658909288740899862e-04 1.111818469319276976e-04 5.525072350762690390e-04 1.861227313238721860e-05 9.226216995558425224e-05 4.549406658896912922e-04
1.168088485260762310e-01 6.286191989948131109e-02 5.386795491092660759e-02 5.386591681625308749e-03 5.386980797600501164e-02 8.975834123661066005e-03 4.496953544555622184e-02 2.218057436733554544e-03 2.395808204249185412e-03 2.059294096424773256e-03 2.065817332003962636e-04 2.063380602104908975e-03 3.442986351525334217e-04 1.685673329324924698e-03 6.496839541076923413e-04 1.116331670486740918e-03 1.115829751717646449e-04 1.114309985418572872e-03 1.863837362676816500e-04 9.142956207093909772e-04 4.809941615706355561e-04 9.552636858179189804e-05 9.551155065561714452e-04 1.595918320831118010e-04 7.841972917995169903e-04 4.790573959649388407e-06 9.539586587240343068e-05 1.590818709450346155e-05 7.883204053453289042e-05 4.766523326379246812e-04 1.593125881782424887e-04 7.893728105888438672e-04 1.336456372881887381e-05 1.319417701052229210e-04 3.230758456906815249e-04 1.168088485260762310e-01 6.286191989948131109e-02 5.386795491092660759e-02 5.386591681625308749e-03 5.386980797600501164e-02 8.975834123661066005e-03 4.496953544555622184e-02 4.436114873467109088e-03 2.395808204249185412e-03 2.059294096424773256e-03 2.065817332003962636e-04 2.063380602104908975e-03 3.442986351525334217e-04 1.685673329324924698e-03 1.299367908215384683e-03 1.116331670486740918e-03 1.115829751717646449e-04 1.114309985418572872e-03 1.863837362676816500e-04 9.142956207093909772e-04 9.619883231412711122e-04 9.552636858179189804e-05 9.551155065561714452e-04 1.595918320831118010e-04 7.841972917995169903e-04 9.581147919298776814e-06 9.539586587240343068e-05 1.590818709450346155e-05 7.883204053453289042e-05 9.533046652758493623e-04 1.593125881782424887e-04 7.893728105888438672e-04 2.672912745763774762e-05 1.319417701052229210e-04 6.461516913813630499e-04
1.132271601256198690e-01 6.090913689332974612e-02 5.218466628115218942e-02 5.218128778499401058e-03 5.218787912276721952e-02 8.693803534770592339e-03 4.362136817357215035e-02 2.818969172243301815e-03 3.047749449326772175e-03 2.622075901446314916e-03 2.633213972867749384e-04 2.629071591043565838e-03 4.388502494708005318e-04 2.133832941319369243e-03 8.284490851268160603e-04 1.424583227687663527e-03 1.423716836612139809e-04 1.421127614171575470e-03 2.379862396016398064e-04 1.160146721967792111e-03 6.149178234721386577e-04 1.218299421379120262e-04 1.218057074573529897e-03 2.036976180480526487e-04 9.952543080100437894e-04 6.115890727808250800e-06 1.216071599595904034e-04 2.028233147569638529e-05 1.002269255237953110e-04 6.074820744095970910e-04 2.032201770582694903e-04 1.004073111607050066e-03 1.708622468608220790e-05 1.679874002027820223e-04 4.085552088985222401e-04 1.132271601256198690e-01 6.090913689332974612e-02 5.218466628115218942e-02 5.218128778499401058e-03 5.218787912276721952e-02 8.693803534770592339e-03 4.362136817357215035e-02 5.637938344486603630e-03 3.047749449326772175e-03 2.622075901446314916e-03 2.633213972867749384e-04 2.629071591043565838e-03 4.388502494708005318e-04 2.133832941319369243e-03 1.656898170253632121e-03 1.424583227687663527e-03 1.423716836612139809e-04 1.421127614171575470e-03 2.379862396016398064e-04 1.160146721967792111e-03 1.229835646944277315e-03 1.218299421379120262e-04 1.218057074573529897e-03 2.036976180480526487e-04 9.952543080100437894e-04 1.223178145561650160e-05 1.216071599595904034e-04 2.028233147569638529e-05 1.002269255237953110e-04 1.214964148819194182e-03 2.032201770582694903e-04 1.004073111607050066e-03 3.417244937216441580e-05 1.679874002027820223e-04 8.171104177970444802e-04
1.099766750423461781e-01 5.913007497642540355e-02 5.064842737576261827e-02 5.064350116792088602e-03 5.065332664805777263e-02 8.435999988852757939e-03 4.240604022239383847e-02 3.363692784795689530e-03 3.640024486561065694e-03 3.134491214713173556e-03 3.151220503666344566e-04 3.145024785883770557e-03 5.251588673003866354e-04 2.536117983237464596e-03 9.917978455544623761e-04 1.706763163209930843e-03 1.705448671786556375e-04 1.701567635176370451e-03 2.852880114445891153e-04 1.382141168895114182e-03 7.380533771858641557e-04 1.458700011175105278e-04 1.458351232795910245e-03 2.440850303946669317e-04 1.185905227634435509e-03 7.330218849157969748e-06 1.455354730189206583e-04 2.427667222523337997e-05 1.196403816026412367e-04 7.268522616052496693e-04 2.433669970880549037e-04 1.199122704768695391e-03 2.050783709954612574e-05 2.008087584952152776e-04 4.851117764863171230e-04 1.099766750423461781e-01 5.913007497642540355e-02 5.064842737576261827e-02 5.064350116792088602e-03 5.065332664805777263e-02 8.435999988852757939e-03 4.240604022239383847e-02 6.727385569591379059e-03 3.640024486561065694e-03 3.134491214713173556e-03 3.151220503666344566e-04 3.145024785883770557e-03 5.251588673003866354e-04 2.536117983237464596e-03 1.983595691108924752e-03 1.706763163209930843e-03 1.705448671786556375e-04 1.701567635176370451e-03 2.852880114445891153e-04 1.382141168895114182e-03 1.476106754371728311e-03 1.458700011175105278e-04 1.458351232795910245e-03 2.440850303946669317e-04 1.185905227634435509e-03 1.466043769831593950e-05 1.455354730189206583e-04 2.427667222523337997e-05 1.196403816026412367e-04 1.453704523210499339e-03 2.433669970880549037e-04 1.199122704768695391e-03 4.101567419909225149e-05 2.008087584952152776e-04 9.702235529726342461e-04
1.070210225985784441e-01 5.750591101433547708e-02 4.924338944968664061e-02 4.923676506892022374e-03 4.925027886669879756e-02 8.199829384806853541e-03 4.130859187339771393e-02 3.858424310975315432e-03 4.179135973657638510e-03 3.601992238902431299e-03 3.625168363778280621e-04 3.616619697853652639e-03 6.041113542446813894e-04 2.897752678434729369e-03 1.141386266814808405e-03 1.965657640006160910e-03 1.963819498270065456e-04 1.958453136959370684e-03 3.287466754977564037e-04 1.582941076087020183e-03 8.515484583135594530e-04 1.678874853580347693e-04 1.678411782070095195e-03 2.811481413424800910e-04 1.358416346007015451e-03 8.445353669841491689e-06 1.674241955600272393e-04 2.793150450915168697e-05 1.372908141362461933e-04 8.359866315362477103e-04 2.801521958029143931e-04 1.376686861982652369e-03 2.366106608400025721e-05 2.307586116281585360e-04 5.537808691632487793e-04 1.070210225985784441e-01 5.750591101433547708e-02 4.924338944968664061e-02 4.923676506892022374e-03 4.925027886669879756e-02 8.199829384806853541e-03 4.130859187339771393e-02 7.716848621950630864e-03 4.179135973657638510e-03 3.601992238902431299e-03 3.625168363778280621e-04 3.616619697853652639e-03 6.041113542446813894e-04 2.897752678434729369e-03 2.282772533629616810e-03 1.965657640006160910e-03 1.963819498270065456e-04 1.958453136959370684e-03 3.287466754977564037e-04 1.582941076087020183e-03 1.703096916627118906e-03 1.678874853580347693e-04 1.678411782070095195e-03 2.811481413424800910e-04 1.358416346007015451e-03 1.689070733968298338e-05 1.674241955600272393e-04 2.793150450915168697e-05 1.372908141362461933e-04 1.671973263072495421e-03 2.801521958029143931e-04 1.376686861982652369e-03 4.732213216800051442e-05 2.307586116281585360e-04 1.107561738326497559e-03
1.043287055771636163e-01 5.602033985718919001e-02 4.795582322043370760e-02 4.794739825378415907e-03 4.796498543791666985e-02 7.983044275249278135e-03 4.031607786349120093e-02 4.308528629550334443e-03 4.670717713072926672e-03 4.029302539455029489e-03 4.059674081869649393e-04 4.048514970794229312e-03 6.764759536101891358e-04 3.223258578616399698e-03 1.278648759177995710e-03 2.203679963187828595e-03 2.201250127233551359e-04 2.194230299670062775e-03 3.687586613175323743e-04 1.764850974483142716e-03 9.563964024329468664e-04 1.880912969245423659e-04 1.880331330750576943e-03 3.152285848100120193e-04 1.514750259572404624e-03 9.471516571644825796e-06 1.874844084641413854e-04 3.128178966071045169e-05 1.533672255185803833e-04 9.359464711487588962e-04 3.139219292224647534e-04 1.538638680884340170e-03 2.657334657249289708e-05 2.581421129848255388e-04 6.154571522245695647e-04 1.043287055771636163e-01 5.602033985718919001e-02 4.795582322043370760e-02 4.794739825378415907e-03 4.796498543791666985e-02 7.983044275249278135e-03 4.031607786349120093e-02 8.617057259100668887e-03 4.670717713072926672e-03 4.029302539455029489e-03 4.059674081869649393e-04 4.048514970794229312e-03 6.764759536101891358e-04 3.223258578616399698e-03 2.557297518355991419e-03 2.203679963187828595e-03 2.201250127233551359e-04 2.194230299670062775e-03 3.687586613175323743e-04 1.764850974483142716e-03 1.912792804865893733e-03 1.880912969245423659e-04 1.880331330750576943e-03 3.152285848100120193e-04 1.514750259572404624e-03 1.894303314328965159e-05 1.874844084641413854e-04 3.128178966071045169e-05 1.533672255185803833e-04 1.871892942297517792e-03 3.139219292224647534e-04 1.538638680884340170e-03 5.314669314498579415e-05 2.581421129848255388e-04 1.230914304449139129e-03
1.018723352764249745e-01 5.465917860508200110e-02 4.677378555855619263e-02 4.676349817212548284e-03 4.678548377049927820e-02 7.783689312418250877e-03 3.941725171652799703e-02 4.718669992614318853e-03 5.119670936309705760e-03 4.420531504901860885e-03 4.458751985629059544e-04 4.444761924127281841e-03 7.429209551208343061e-04 3.516564219323827130e-03 1.404833020503268651e-03 2.422929356018754289e-03 2.419846740780609671e-04 2.411027675584538447e-03 4.056688502364922473e-04 1.929873861683895813e-03 1.053460677504351869e-03 2.066633256163246442e-04 2.065931698457344930e-03 3.466237927549344565e-04 1.656613408685899281e-03 1.041760268124578089e-05 2.058999424286294679e-04 3.435798900186303400e-05 1.680338477371761611e-04 1.027656048357479318e-03 3.449776667953993324e-04 1.686605225392583812e-03 2.926855028775923989e-05 2.832243330967102596e-04 6.709166937759591248e-04 1.018723352764249745e-01 5.465917860508200110e-02 4.677378555855619263e-02 4.676349817212548284e-03 4.678548377049927820e-02 7.783689312418250877e-03 3.941725171652799703e-02 9.437339985228637707e-03 5.119670936309705760e-03 4.420531504901860885e-03 4.458751985629059544e-04 4.444761924127281841e-03 7.429209551208343061e-04 3.516564219323827130e-03 2.809666041006537301e-03 2.422929356018754289e-03 2.419846740780609671e-04 2.411027675584538447e-03 4.056688502364922473e-04 1.929873861683895813e-03 2.106921355008703738e-03 2.066633256163246442e-04 2.065931698457344930e-03 3.466237927549344565e-04 1.656613408685899281e-03 2.083520536249156178e-05 2.058999424286294679e-04 3.435798900186303400e-05 1.680338477371761611e-04 2.055312096714958636e-03 3.449776667953993324e-04 1.686605225392583812e-03 5.853710057551847977e-05 2.832243330967102596e-04 1.341833387551918250e-03
9.962797276375776057e-02 5.341002615640942641e-02 4.568683286788625258e-02 4.567465551508213817e-03 4.570131215500032595e-02 7.600054358438383326e-03 3.860229343564583471e-02 5.092924450685788577e-03 5.530281635551679599e-03 4.779272827628734850e-03 4.825911090795043687e-04 4.808902186674590164e-03 8.040307458200223432e-04 3.781099830116169819e-03 1.521030040374202717e-03 2.625241453681578362e-03 2.621451416224274134e-04 2.610707143147603018e-03 4.397788595350202970e-04 2.079759529303731955e-03 1.143495845069794105e-03 2.237627694836515373e-04 2.236807248751755683e-03 3.755940722501213409e-04 1.785497070178391132e-03 1.129139365581590742e-05 2.228317294018189139e-04 3.718678101331331402e-05 1.814341305794398235e-04 1.111924487820912166e-03 3.735833310689291929e-04 1.822007230313196086e-03 3.176755814275306706e-05 3.062367355887201303e-04 7.208360191372285668e-04 9.962797276375776057e-02 5.341002615640942641e-02 4.568683286788625258e-02 4.567465551508213817e-03 4.570131215500032595e-02 7.600054358438383326e-03 3.860229343564583471e-02 1.018584890137157715e-02 5.530281635551679599e-03 4.779272827628734850e-03 4.825911090795043687e-04 4.808902186674590164e-03 8.040307458200223432e-04 3.781099830116169819e-03 3.042060080748405435e-03 2.625241453681578362e-03 2.621451416224274134e-04 2.610707143147603018e-03 4.397788595350202970e-04 2.079759529303731955e-03 2.286991690139588210e-03 2.237627694836515373e-04 2.236807248751755683e-03 3.755940722501213409e-04 1.785497070178391132e-03 2.258278731163181484e-05 2.228317294018189139e-04 3.718678101331331402e-05 1.814341305794398235e-04 2.223848975641824332e-03 3.735833310689291929e-04 1.822007230313196086e-03 6.353511628550613413e-05 3.062367355887201303e-04 1.441672038274457134e-03
