# __s0 __s1 __s2 __s3 __s4 __s5 __s6 __s7 __s8 __s9 __s10 __s11 __s12 __s13 __s14 __s15 __s16 __s17 __s18 __s19 __s20 __s21 __s22 __s23 __s24 __s25 __s26 __s27 __s28 __s29 __s30 __s31 __s32 __s33 __s34 oT4 oT8 oNK oDC oM14 oM16 oB oT4_T4 oT4_T8 oT4_NK oT4_DC oT4_M14 oT4_M16 oT4_B oT8_T8 oT8_NK oT8_DC oT8_M14 oT8_M16 oT8_B oNK_NK oNK_DC oNK_M14 oNK_M16 oNK_B oDC_DC oDC_M14 oDC_M16 oDC_B oM14_M14 oM14_M16 oM14_B oM16_M16 oM16_B oB_B
1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.251394910323120890e-01 6.737756993990304255e-02 5.775005298325654873e-02 5.774825489999306678e-03 5.774950625546589056e-02 9.624536693948483254e-03 4.813437347893499696e-02 8.178645723345883203e-04 8.818562235870560772e-04 7.566502496986571378e-04 7.577420018951478266e-05 7.572535375165172396e-04 1.262959258213632409e-04 6.269496862055956186e-04 2.380515771063188707e-04 4.084673621401155611e-04 4.087063259640252757e-05 4.083840838605621833e-04 6.815798076379334471e-05 3.385906229364088319e-04 1.753670547031881089e-04 3.504363765146007240e-05 3.502137959879572313e-04 5.843958265861352364e-05 2.903982792002359902e-04 1.754287516058534963e-06 3.504460294778768438e-05 5.844356095031535016e-06 2.908850548838238354e-05 1.750998288618318835e-04 5.843474230715902198e-05 2.909633241904577760e-04 4.877952266584900803e-06 4.853481387238766943e-05 1.205506445857742451e-04 1.251394910323120890e-01 6.737756993990304255e-02 5.775005298325654873e-02 5.774825489999306678e-03 5.774950625546589056e-02 9.624536693948483254e-03 4.813437347893499696e-02 1.635729144669176641e-03 8.818562235870560772e-04 7.566502496986571378e-04 7.577420018951478266e-05 7.572535375165172396e-04 1.262959258213632409e-04 6.269496862055956186e-04 4.761031542126377414e-04 4.084673621401155611e-04 4.087063259640252757e-05 4.083840838605621833e-04 6.815798076379334471e-05 3.385906229364088319e-04 3.507341094063762179e-04 3.504363765146007240e-05 3.502137959879572313e-04 5.843958265861352364e-05 2.903982792002359902e-04 3.508575032117069926e-06 3.504460294778768438e-05 5.844356095031535016e-06 2.908850548838238354e-05 3.501996577236637671e-04 5.843474230715902198e-05 2.909633241904577760e-04 9.755904533169801606e-06 4.853481387238766943e-05 2.411012891715484901e-04
1.207557984534937401e-01 6.500251849427399198e-02 5.570827685339695828e-02 5.570145377974047331e-03 5.570621598673310831e-02 9.282919288952884776e-03 4.645889848802013666e-02 1.554349033700596358e-03 1.677966368337892224e-03 1.441190875945315810e-03 1.445358345770152955e-04 1.443499799504519444e-03 2.409118717400215157e-04 1.187398729000320495e-03 4.541531160491392655e-04 7.799890406636092281e-04 7.808948773344467312e-05 7.796637238216372768e-04 1.303029694219800822e-04 6.431636836491797828e-04 3.354674150096090268e-04 6.697728813650114204e-05 6.689237767201870613e-04 1.117569057793341787e-04 5.519504293388365632e-04 3.356927792101268309e-06 6.698062165027761328e-05 1.117701080832656097e-05 5.538052353618716896e-05 3.344326977338417991e-04 1.117375735426543598e-04 5.541131225599278762e-04 9.343655979538355172e-06 9.250706779572182286e-05 2.282939780498589204e-04 1.207557984534937401e-01 6.500251849427399198e-02 5.570827685339695828e-02 5.570145377974047331e-03 5.570621598673310831e-02 9.282919288952884776e-03 4.645889848802013666e-02 3.108698067401192717e-03 1.677966368337892224e-03 1.441190875945315810e-03 1.445358345770152955e-04 1.443499799504519444e-03 2.409118717400215157e-04 1.187398729000320495e-03 9.083062320982785310e-04 7.799890406636092281e-04 7.808948773344467312e-05 7.796637238216372768e-04 1.303029694219800822e-04 6.431636836491797828e-04 6.709348300192180536e-04 6.697728813650114204e-05 6.689237767201870613e-04 1.117569057793341787e-04 5.519504293388365632e-04 6.713855584202536618e-06 6.698062165027761328e-05 1.117701080832656097e-05 5.538052353618716896e-05 6.688653954676835982e-04 1.117375735426543598e-04 5.541131225599278762e-04 1.868731195907671034e-05 9.250706779572182286e-05 4.565879560997178409e-04
1.167918975078650889e-01 6.284559313931251112e-02 5.385017086093759481e-02 5.383558579889978143e-03 5.384579513915777743e-02 8.971190473017601197e-03 4.495053356061876060e-02 2.219242799131996863e-03 2.398527747575688544e-03 2.062149932346884693e-03 2.071109463464222472e-04 2.067126224018262133e-03 3.452201520080352601e-04 1.689481891575649736e-03 6.508873451411418534e-04 1.118893156795843814e-03 1.120827922979708308e-04 1.118178569354415230e-03 1.871357024627785684e-04 9.178142019185271238e-04 4.820860620695325703e-04 9.616213163327453045e-05 9.597966956893003946e-04 1.605459387738795713e-04 7.881091596841152680e-04 4.825499064894669866e-06 9.616858865906504695e-05 1.605702638224193373e-05 7.920893666126007358e-05 4.798311067753605334e-04 1.605026271693841644e-04 7.927699424010633536e-04 1.344478205727829017e-05 1.324585160715227670e-04 3.248118955345643557e-04 1.167918975078650889e-01 6.284559313931251112e-02 5.385017086093759481e-02 5.383558579889978143e-03 5.384579513915777743e-02 8.971190473017601197e-03 4.495053356061876060e-02 4.438485598263993727e-03 2.398527747575688544e-03 2.062149932346884693e-03 2.071109463464222472e-04 2.067126224018262133e-03 3.452201520080352601e-04 1.689481891575649736e-03 1.301774690282283707e-03 1.118893156795843814e-03 1.120827922979708308e-04 1.118178569354415230e-03 1.871357024627785684e-04 9.178142019185271238e-04 9.641721241390651407e-04 9.616213163327453045e-05 9.597966956893003946e-04 1.605459387738795713e-04 7.881091596841152680e-04 9.650998129789339732e-06 9.616858865906504695e-05 1.605702638224193373e-05 7.920893666126007358e-05 9.596622135507210669e-04 1.605026271693841644e-04 7.927699424010633536e-04 2.688956411455658034e-05 1.324585160715227670e-04 6.496237910691287113e-04
1.131991748620248955e-01 6.088185264821826398e-02 5.215484510658139478e-02 5.213017854279188533e-03 5.214749515790227663e-02 8.685976188973272560e-03 4.358964228458642870e-02 2.820888507924152518e-03 3.052236420100959500e-03 2.626799796179016787e-03 2.642036362402388431e-04 2.635282701142358224e-03 4.403908275294432214e-04 2.140134740934809300e-03 8.304559868895284485e-04 1.428869359827514502e-03 1.432139553552444575e-04 1.427629446732213642e-03 2.392535636931971625e-04 1.166032632293573191e-03 6.167436740384991695e-04 1.229062585663814324e-04 1.225960606614797353e-03 2.053132857568026512e-04 1.001818238397058627e-03 6.174991068728936606e-06 1.229161022527738617e-04 2.053480654643513196e-05 1.008574046222821994e-04 6.128587194059567688e-04 2.052367907242534336e-04 1.009761755819401502e-03 1.722197644624673130e-05 1.688505838841060066e-04 4.114511797311842692e-04 1.131991748620248955e-01 6.088185264821826398e-02 5.215484510658139478e-02 5.213017854279188533e-03 5.214749515790227663e-02 8.685976188973272560e-03 4.358964228458642870e-02 5.641777015848305037e-03 3.052236420100959500e-03 2.626799796179016787e-03 2.642036362402388431e-04 2.635282701142358224e-03 4.403908275294432214e-04 2.140134740934809300e-03 1.660911973779056897e-03 1.428869359827514502e-03 1.432139553552444575e-04 1.427629446732213642e-03 2.392535636931971625e-04 1.166032632293573191e-03 1.233487348076998339e-03 1.229062585663814324e-04 1.225960606614797353e-03 2.053132857568026512e-04 1.001818238397058627e-03 1.234998213745787321e-05 1.229161022527738617e-04 2.053480654643513196e-05 1.008574046222821994e-04 1.225717438811913538e-03 2.052367907242534336e-04 1.009761755819401502e-03 3.444395289249346261e-05 1.688505838841060066e-04 8.229023594623685383e-04
1.099359787177534020e-01 5.908992346105457899e-02 5.060439751930256858e-02 5.056768726834197543e-03 5.059353423679369133e-02 8.424384943559643651e-03 4.235940667764268724e-02 3.366431715598367912e-03 3.646545781691996023e-03 3.141373606078852292e-03 3.164171316099052551e-04 3.154095274473388884e-03 5.274266103288393357e-04 2.545299446866899819e-03 9.947455690238889928e-04 1.713079135333349726e-03 1.717944151354924311e-04 1.711188559947021898e-03 2.871684406206315328e-04 1.390809068169180382e-03 7.407424157791926136e-04 1.474738211595889642e-04 1.470097679873600630e-03 2.464932531700705465e-04 1.195600153523545010e-03 7.418251828794340660e-06 1.474869440618246225e-04 2.465358655417973095e-05 1.205688709872253380e-04 7.348566357243467399e-04 2.463747359493250778e-04 1.207509297452441857e-03 2.071007326963280609e-05 2.020782832780455103e-04 4.893641010399992289e-04 1.099359787177534020e-01 5.908992346105457899e-02 5.060439751930256858e-02 5.056768726834197543e-03 5.059353423679369133e-02 8.424384943559643651e-03 4.235940667764268724e-02 6.732863431196735825e-03 3.646545781691996023e-03 3.141373606078852292e-03 3.164171316099052551e-04 3.154095274473388884e-03 5.274266103288393357e-04 2.545299446866899819e-03 1.989491138047777986e-03 1.713079135333349726e-03 1.717944151354924311e-04 1.711188559947021898e-03 2.871684406206315328e-04 1.390809068169180382e-03 1.481484831558385227e-03 1.474738211595889642e-04 1.470097679873600630e-03 2.464932531700705465e-04 1.195600153523545010e-03 1.483650365758868132e-05 1.474869440618246225e-04 2.465358655417973095e-05 1.205688709872253380e-04 1.469713271448693480e-03 2.463747359493250778e-04 1.207509297452441857e-03 4.142014653926561217e-05 2.020782832780455103e-04 9.787282020799984578e-04
1.069663746388940656e-01 5.745136149501844924e-02 4.918337914209641726e-02 4.913297069848749678e-03 4.916856626824112758e-02 8.183921382556448576e-03 4.124532384257258155e-02 3.862035086590733923e-03 4.187888507790213377e-03 3.611251026355342605e-03 3.642718649892616369e-04 3.628849513250360578e-03 6.071928207457058784e-04 2.910101454793619872e-03 1.145383896608546991e-03 1.974250467268501546e-03 1.980929491631552180e-04 1.971594085234123703e-03 3.313220504312881570e-04 1.594722651877206318e-03 8.552052220959665586e-04 1.700928910910284636e-04 1.694523896746860225e-03 2.844607867748590729e-04 1.371631345475021529e-03 8.566371245390632570e-06 1.701089087284914949e-04 2.845071303763192972e-05 1.385528606509030410e-04 8.469831309960470633e-04 2.842918260906396257e-04 1.388099239716293534e-03 2.393913637838071472e-05 2.324821476066664199e-04 5.595432286538676693e-04 1.069663746388940656e-01 5.745136149501844924e-02 4.918337914209641726e-02 4.913297069848749678e-03 4.916856626824112758e-02 8.183921382556448576e-03 4.124532384257258155e-02 7.724070173181467845e-03 4.187888507790213377e-03 3.611251026355342605e-03 3.642718649892616369e-04 3.628849513250360578e-03 6.071928207457058784e-04 2.910101454793619872e-03 2.290767793217093982e-03 1.974250467268501546e-03 1.980929491631552180e-04 1.971594085234123703e-03 3.313220504312881570e-04 1.594722651877206318e-03 1.710410444191933117e-03 1.700928910910284636e-04 1.694523896746860225e-03 2.844607867748590729e-04 1.371631345475021529e-03 1.713274249078126514e-05 1.701089087284914949e-04 2.845071303763192972e-05 1.385528606509030410e-04 1.693966261992094127e-03 2.842918260906396257e-04 1.388099239716293534e-03 4.787827275676142944e-05 2.324821476066664199e-04 1.119086457307735339e-03
1.042592152238035197e-01 5.595017531129735378e-02 4.787839475580967646e-02 4.781289962612899312e-03 4.785928425636110095e-02 7.962421773103210698e-03 4.023482928590112889e-02 4.313038546692737896e-03 4.681842499513661632e-03 4.041097080211730058e-03 4.082189732062729078e-04 4.064127475988606013e-03 6.804397610958041326e-04 3.238981892794973953e-03 1.283782217597252955e-03 2.214748495041090910e-03 2.223426229637056250e-04 2.211220802931406545e-03 3.720973753869078089e-04 1.780008457671399934e-03 9.611050875873473898e-04 1.909613253582222604e-04 1.901248559730255982e-03 3.195411266571587827e-04 1.531798482017130651e-03 9.628967264886853969e-06 1.909796496790805822e-04 3.195859954166981758e-05 1.549909321083785783e-04 9.502433356920469976e-04 3.193137510155930818e-04 1.553338832909851360e-03 2.693523607099039817e-05 2.603571410576767300e-04 6.228474877697435901e-04 1.042592152238035197e-01 5.595017531129735378e-02 4.787839475580967646e-02 4.781289962612899312e-03 4.785928425636110095e-02 7.962421773103210698e-03 4.023482928590112889e-02 8.626077093385475791e-03 4.681842499513661632e-03 4.041097080211730058e-03 4.082189732062729078e-04 4.064127475988606013e-03 6.804397610958041326e-04 3.238981892794973953e-03 2.567564435194505910e-03 2.214748495041090910e-03 2.223426229637056250e-04 2.211220802931406545e-03 3.720973753869078089e-04 1.780008457671399934e-03 1.922210175174694780e-03 1.909613253582222604e-04 1.901248559730255982e-03 3.195411266571587827e-04 1.531798482017130651e-03 1.925793452977370794e-05 1.909796496790805822e-04 3.195859954166981758e-05 1.549909321083785783e-04 1.900486671384093995e-03 3.193137510155930818e-04 1.553338832909851360e-03 5.387047214198079634e-05 2.603571410576767300e-04 1.245694975539487180e-03
1.017873969772637582e-01 5.457244480151510202e-02 4.667778333016462528e-02 4.659604360235396550e-03 4.665410295246437411e-02 7.758002343339346490e-03 3.931699636649170493e-02 4.724087119093759238e-03 5.133263501847617170e-03 4.434973158388884514e-03 4.486510958910014629e-04 4.463917239029497989e-03 7.478206183826329205e-04 3.535803171009140999e-03 1.411168957342057379e-03 2.436632074537578574e-03 2.447463553160089331e-04 2.432136648620211467e-03 4.098278240429374880e-04 1.948610879436436360e-03 1.059288527034710388e-03 2.102514669345972192e-04 2.092021966219088144e-03 3.520175464800591632e-04 1.677743403205711860e-03 1.061441532331584775e-05 2.102713644983554553e-04 3.520549283382376499e-05 1.700410336441875408e-04 1.045513016367907548e-03 3.517242518484131456e-04 1.704799544584247603e-03 2.972107219973496920e-05 2.859597786733234295e-04 6.800229114776334570e-04 1.017873969772637582e-01 5.457244480151510202e-02 4.667778333016462528e-02 4.659604360235396550e-03 4.665410295246437411e-02 7.758002343339346490e-03 3.931699636649170493e-02 9.448174238187518476e-03 5.133263501847617170e-03 4.434973158388884514e-03 4.486510958910014629e-04 4.463917239029497989e-03 7.478206183826329205e-04 3.535803171009140999e-03 2.822337914684114758e-03 2.436632074537578574e-03 2.447463553160089331e-04 2.432136648620211467e-03 4.098278240429374880e-04 1.948610879436436360e-03 2.118577054069420776e-03 2.102514669345972192e-04 2.092021966219088144e-03 3.520175464800591632e-04 1.677743403205711860e-03 2.122883064663169550e-05 2.102713644983554553e-04 3.520549283382376499e-05 1.700410336441875408e-04 2.091026032735815096e-03 3.517242518484131456e-04 1.704799544584247603e-03 5.944214439946993839e-05 2.859597786733234295e-04 1.360045822955266914e-03
9.952720996275238319e-02 5.330598786655370985e-02 4.557133884706043164e-02 4.547239734430899571e-03 4.554288163616909690e-02 7.569014183305066215e-03 3.848227296079263088e-02 5.099242827224919131e-03 5.546401135176258490e-03 4.796434084101536960e-03 4.859118082371814500e-04 4.831708610735574623e-03 8.099071039727299580e-04 3.803941640574585916e-03 1.528619183989884684e-03 2.641703155058072738e-03 2.654817752991802987e-04 2.636152093520241144e-03 4.448052236508282659e-04 2.102230382761895167e-03 1.150496031002682176e-03 2.281142470609192404e-04 2.268377030053491620e-03 3.821381051195374434e-04 1.810902469540609169e-03 1.153004842621346654e-05 2.281348840951967721e-04 3.821614152018738885e-05 1.838413125040091784e-04 1.133559339829302848e-03 3.817718608091226463e-04 1.843855204958687538e-03 3.231651719921241968e-05 3.095143472241213001e-04 7.317208408217368287e-04 9.952720996275238319e-02 5.330598786655370985e-02 4.557133884706043164e-02 4.547239734430899571e-03 4.554288163616909690e-02 7.569014183305066215e-03 3.848227296079263088e-02 1.019848565444983826e-02 5.546401135176258490e-03 4.796434084101536960e-03 4.859118082371814500e-04 4.831708610735574623e-03 8.099071039727299580e-04 3.803941640574585916e-03 3.057238367979769368e-03 2.641703155058072738e-03 2.654817752991802987e-04 2.636152093520241144e-03 4.448052236508282659e-04 2.102230382761895167e-03 2.300992062005364353e-03 2.281142470609192404e-04 2.268377030053491620e-03 3.821381051195374434e-04 1.810902469540609169e-03 2.306009685242693308e-05 2.281348840951967721e-04 3.821614152018738885e-05 1.838413125040091784e-04 2.267118679658605696e-03 3.817718608091226463e-04 1.843855204958687538e-03 6.463303439842483936e-05 3.095143472241213001e-04 1.463441681643473657e-03
