# __s0 __s1 __s2 __s3 __s4 __s5 __s6 __s7 __s8 __s9 __s10 __s11 __s12 __s13 __s14 __s15 __s16 __s17 __s18 __s19 __s20 __s21 __s22 __s23 __s24 __s25 __s26 __s27 __s28 __s29 __s30 __s31 __s32 __s33 __s34 oT4 oT8 oNK oDC oM14 oM16 oB oT4_T4 oT4_T8 oT4_NK oT4_DC oT4_M14 oT4_M16 oT4_B oT8_T8 oT8_NK oT8_DC oT8_M14 oT8_M16 oT8_B oNK_NK oNK_DC oNK_M14 oNK_M16 oNK_B oDC_DC oDC_M14 oDC_M16 oDC_B oM14_M14 oM14_M16 oM14_B oM16_M16 oM16_B oB_B
1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.251395156622546467e-01 6.737757053887540037e-02 5.775002383803434780e-02 5.774820865269718675e-03 5.774946603281865681e-02 9.624529986318439839e-03 4.813435482951981120e-02 8.178571626066013199e-04 8.818499350464005298e-04 7.566495210558796215e-04 7.577419626825167460e-05 7.572549967621647338e-04 1.262960449001000480e-04 6.269453184993906613e-04 2.380509036221356534e-04 4.084693595935711828e-04 4.087088919782917831e-05 4.083877131040480521e-04 6.815838426481483979e-05 3.385913726737146533e-04 1.753701196896648325e-04 3.504462389229609363e-05 3.502239957311573419e-04 5.844102523927508473e-05 2.904073970741368220e-04 1.754384135870417868e-06 3.504636491524851385e-05 5.844711420643942028e-06 2.908958076427426272e-05 1.751048809090612816e-04 5.843730779114083060e-05 2.909738270594692307e-04 4.878137216327950237e-06 4.853626563293207046e-05 1.205507043881458095e-04 1.251395156622546467e-01 6.737757053887540037e-02 5.775002383803434780e-02 5.774820865269718675e-03 5.774946603281865681e-02 9.624529986318439839e-03 4.813435482951981120e-02 1.635714325213202640e-03 8.818499350464005298e-04 7.566495210558796215e-04 7.577419626825167460e-05 7.572549967621647338e-04 1.262960449001000480e-04 6.269453184993906613e-04 4.761018072442713069e-04 4.084693595935711828e-04 4.087088919782917831e-05 4.083877131040480521e-04 6.815838426481483979e-05 3.385913726737146533e-04 3.507402393793296650e-04 3.504462389229609363e-05 3.502239957311573419e-04 5.844102523927508473e-05 2.904073970741368220e-04 3.508768271740835735e-06 3.504636491524851385e-05 5.844711420643942028e-06 2.908958076427426272e-05 3.502097618181225632e-04 5.843730779114083060e-05 2.909738270594692307e-04 9.756274432655900474e-06 4.853626563293207046e-05 2.411014087762916190e-04
1.207558926598795573e-01 6.500252127695499427e-02 5.570816656664986238e-02 5.570127825731724554e-03 5.570606352695045560e-02 9.282893820389876219e-03 4.645882817387713554e-02 1.554321060507981005e-03 1.677942480425844481e-03 1.441187805973124418e-03 1.445357653989548258e-04 1.443504961860141416e-03 2.409122551845585157e-04 1.187381950261907513e-03 4.541505315893087664e-04 7.799964979390967791e-04 7.809043881592285443e-05 7.796773701714428649e-04 1.303044709704739151e-04 6.431664015436722561e-04 3.354790417533662990e-04 6.698103807455769521e-05 6.689625876723009554e-04 1.117623912269334499e-04 5.519850289573837538e-04 3.357297747005310056e-06 6.698735599878007064e-05 1.117837217993422437e-05 5.538460830611848656e-05 3.344518778574620565e-04 1.117473791600143114e-04 5.541530624719495342e-04 9.344363430597467778e-06 9.251258402701442393e-05 2.282940952774200477e-04 1.207558926598795573e-01 6.500252127695499427e-02 5.570816656664986238e-02 5.570127825731724554e-03 5.570606352695045560e-02 9.282893820389876219e-03 4.645882817387713554e-02 3.108642121015962011e-03 1.677942480425844481e-03 1.441187805973124418e-03 1.445357653989548258e-04 1.443504961860141416e-03 2.409122551845585157e-04 1.187381950261907513e-03 9.083010631786175328e-04 7.799964979390967791e-04 7.809043881592285443e-05 7.796773701714428649e-04 1.303044709704739151e-04 6.431664015436722561e-04 6.709580835067325980e-04 6.698103807455769521e-05 6.689625876723009554e-04 1.117623912269334499e-04 5.519850289573837538e-04 6.714595494010620112e-06 6.698735599878007064e-05 1.117837217993422437e-05 5.538460830611848656e-05 6.689037557149241130e-04 1.117473791600143114e-04 5.541530624719495342e-04 1.868872686119493556e-05 9.251258402701442393e-05 4.565881905548400954e-04
1.167921003426573984e-01 6.284560010142277442e-02 5.384993570102494798e-02 5.383521046373731730e-03 5.384546953437194944e-02 8.971135986053875577e-03 4.495038416268740816e-02 2.219183314220888898e-03 2.398476645014536654e-03 2.062142747961566262e-03 2.071106867282011203e-04 2.067136491453966732e-03 3.452208308327851978e-04 1.689445626909820202e-03 6.508817632524903623e-04 1.118908852043178472e-03 1.120847792777484296e-04 1.118207489153467266e-03 1.871388521510264965e-04 9.178197544323514999e-04 4.821109170114809680e-04 9.617016499931982626e-05 9.598798956419771038e-04 1.605576913522230569e-04 7.881831129538226450e-04 4.826296991087408349e-06 9.618308712442321935e-05 1.605996415552779223e-05 7.921767735887669509e-05 4.798721339033334109e-04 1.605237389038166400e-04 7.928554955437377419e-04 1.344630655056654365e-05 1.324703234496151113e-04 3.248119233322009441e-04 1.167921003426573984e-01 6.284560010142277442e-02 5.384993570102494798e-02 5.383521046373731730e-03 5.384546953437194944e-02 8.971135986053875577e-03 4.495038416268740816e-02 4.438366628441777796e-03 2.398476645014536654e-03 2.062142747961566262e-03 2.071106867282011203e-04 2.067136491453966732e-03 3.452208308327851978e-04 1.689445626909820202e-03 1.301763526504980725e-03 1.118908852043178472e-03 1.120847792777484296e-04 1.118207489153467266e-03 1.871388521510264965e-04 9.178197544323514999e-04 9.642218340229619360e-04 9.617016499931982626e-05 9.598798956419771038e-04 1.605576913522230569e-04 7.881831129538226450e-04 9.652593982174816699e-06 9.618308712442321935e-05 1.605996415552779223e-05 7.921767735887669509e-05 9.597442678066668217e-04 1.605237389038166400e-04 7.928554955437377419e-04 2.689261310113308731e-05 1.324703234496151113e-04 6.496238466644018881e-04
1.131995201404169399e-01 6.088186600888675915e-02 5.215444827862215221e-02 5.212954341616187273e-03 5.214694486826918635e-02 8.685883942981855940e-03 4.358939104557126715e-02 2.820788440597766459e-03 3.052149953771227456e-03 2.626786642646703526e-03 2.642030149614219307e-04 2.635298821472063444e-03 4.403917459865754557e-04 2.140072799549597778e-03 8.304464574345499662e-04 1.428895515006325685e-03 1.432172415334227191e-04 1.427677960305660538e-03 2.392587941331044961e-04 1.166041611494485512e-03 6.167857274855555313e-04 1.229198766832300868e-04 1.226101734153696009e-03 2.053332115817610708e-04 1.001943286335016175e-03 6.176352605475763776e-06 1.229407966718930182e-04 2.053982160716713186e-05 1.008722017157304693e-04 6.129281642006607694e-04 2.052727521436674939e-04 1.009906738582527254e-03 1.722457575847117283e-05 1.688705800489287033e-04 4.114508683512385699e-04 1.131995201404169399e-01 6.088186600888675915e-02 5.215444827862215221e-02 5.212954341616187273e-03 5.214694486826918635e-02 8.685883942981855940e-03 4.358939104557126715e-02 5.641576881195532918e-03 3.052149953771227456e-03 2.626786642646703526e-03 2.642030149614219307e-04 2.635298821472063444e-03 4.403917459865754557e-04 2.140072799549597778e-03 1.660892914869099932e-03 1.428895515006325685e-03 1.432172415334227191e-04 1.427677960305660538e-03 2.392587941331044961e-04 1.166041611494485512e-03 1.233571454971111063e-03 1.229198766832300868e-04 1.226101734153696009e-03 2.053332115817610708e-04 1.001943286335016175e-03 1.235270521095152755e-05 1.229407966718930182e-04 2.053982160716713186e-05 1.008722017157304693e-04 1.225856328401321539e-03 2.052727521436674939e-04 1.009906738582527254e-03 3.444915151694234566e-05 1.688705800489287033e-04 8.229017367024771398e-04
1.099364956267482735e-01 5.908994553985803810e-02 5.060380809039068811e-02 5.056674135420822710e-03 5.059271567463713426e-02 8.424247487652138447e-03 4.235903475243068400e-02 3.366283594639068750e-03 3.646417069466434662e-03 3.141352600459725811e-03 3.164159446378944488e-04 3.154117484228853314e-03 5.274276465732077521e-04 2.545206438607527412e-03 9.947312635994194196e-04 1.713117516556936660e-03 1.717992001555759102e-04 1.711260207735151601e-03 2.871760881922100347e-04 1.390821850836913278e-03 7.408050505202915968e-04 1.474941391508999169e-04 1.470308358544244673e-03 2.465229875025001772e-04 1.195786206354418476e-03 7.420296178831640908e-06 1.475239552112008986e-04 2.466111941699265168e-05 1.205909136489545974e-04 7.349600916412327937e-04 2.464286397001764356e-04 1.207725496660799714e-03 2.071397356209006568e-05 2.021080838386001216e-04 4.893631288110685115e-04 1.099364956267482735e-01 5.908994553985803810e-02 5.060380809039068811e-02 5.056674135420822710e-03 5.059271567463713426e-02 8.424247487652138447e-03 4.235903475243068400e-02 6.732567189278137500e-03 3.646417069466434662e-03 3.141352600459725811e-03 3.164159446378944488e-04 3.154117484228853314e-03 5.274276465732077521e-04 2.545206438607527412e-03 1.989462527198838839e-03 1.713117516556936660e-03 1.717992001555759102e-04 1.711260207735151601e-03 2.871760881922100347e-04 1.390821850836913278e-03 1.481610101040583194e-03 1.474941391508999169e-04 1.470308358544244673e-03 2.465229875025001772e-04 1.195786206354418476e-03 1.484059235766328182e-05 1.475239552112008986e-04 2.466111941699265168e-05 1.205909136489545974e-04 1.469920183282465587e-03 2.464286397001764356e-04 1.207725496660799714e-03 4.142794712418013136e-05 2.021080838386001216e-04 9.787262576221370230e-04
1.069670882860670191e-01 5.745139463510364614e-02 4.918257117543636814e-02 4.913167070362317937e-03 4.916744265071078257e-02 8.183732371620316970e-03 4.124481569982908075e-02 3.861832807131614087e-03 4.187711764054763246e-03 3.611220292365182900e-03 3.642698851423545586e-04 3.628877645395323093e-03 6.071938021819563982e-04 2.909972710530223453e-03 1.145364094833287117e-03 1.974302462997653933e-03 1.980993803184636270e-04 1.971691751800108087e-03 3.313323719096651653e-04 1.594739444149227128e-03 8.552913208096253866e-04 1.701208641216230835e-04 1.694814100070497461e-03 2.845017324548808108e-04 1.371886730934539136e-03 8.569203291073349053e-06 1.701600867008016865e-04 2.846115140826418899e-05 1.385831553640325499e-04 8.471253536076106452e-04 2.843663728652853404e-04 1.388396685242000803e-03 2.394453641863811884e-05 2.325231247223604467e-04 5.595412246142823483e-04 1.069670882860670191e-01 5.745139463510364614e-02 4.918257117543636814e-02 4.913167070362317937e-03 4.916744265071078257e-02 8.183732371620316970e-03 4.124481569982908075e-02 7.723665614263228174e-03 4.187711764054763246e-03 3.611220292365182900e-03 3.642698851423545586e-04 3.628877645395323093e-03 6.071938021819563982e-04 2.909972710530223453e-03 2.290728189666574235e-03 1.974302462997653933e-03 1.980993803184636270e-04 1.971691751800108087e-03 3.313323719096651653e-04 1.594739444149227128e-03 1.710582641619250773e-03 1.701208641216230835e-04 1.694814100070497461e-03 2.845017324548808108e-04 1.371886730934539136e-03 1.713840658214669811e-05 1.701600867008016865e-04 2.846115140826418899e-05 1.385831553640325499e-04 1.694250707215221290e-03 2.843663728652853404e-04 1.388396685242000803e-03 4.788907283727623769e-05 2.325231247223604467e-04 1.119082449228564697e-03
1.042601470710952938e-01 5.595022180200331235e-02 4.787734657377028941e-02 4.781120887600342866e-03 4.785782463240216555e-02 7.962175811777636586e-03 4.023417219616952367e-02 4.312777182447213864e-03 4.681612898451804200e-03 4.041054779713689968e-03 4.082159582209729130e-04 4.064161051730688472e-03 6.804404774589782080e-04 3.238813398434213682e-03 1.283756297101549789e-03 2.214815182870174485e-03 2.223508046755139490e-04 2.211346822026912570e-03 3.721105619651230226e-04 1.780029333804155570e-03 9.612171064378722922e-04 1.909977707828988929e-04 1.901626835608335358e-03 3.195944865425311208e-04 1.532130157836328029e-03 9.632679364952128782e-06 1.910466082012325683e-04 3.197228476515943550e-05 1.550303270239793054e-04 9.504283601642034892e-04 3.194112996384126284e-04 1.553726030063863357e-03 2.694231080552961886e-05 2.604104562411034183e-04 6.228440502134323722e-04 1.042601470710952938e-01 5.595022180200331235e-02 4.787734657377028941e-02 4.781120887600342866e-03 4.785782463240216555e-02 7.962175811777636586e-03 4.023417219616952367e-02 8.625554364894427728e-03 4.681612898451804200e-03 4.041054779713689968e-03 4.082159582209729130e-04 4.064161051730688472e-03 6.804404774589782080e-04 3.238813398434213682e-03 2.567512594203099578e-03 2.214815182870174485e-03 2.223508046755139490e-04 2.211346822026912570e-03 3.721105619651230226e-04 1.780029333804155570e-03 1.922434212875744584e-03 1.909977707828988929e-04 1.901626835608335358e-03 3.195944865425311208e-04 1.532130157836328029e-03 1.926535872990425756e-05 1.910466082012325683e-04 3.197228476515943550e-05 1.550303270239793054e-04 1.900856720328406978e-03 3.194112996384126284e-04 1.553726030063863357e-03 5.388462161105923772e-05 2.604104562411034183e-04 1.245688100426864744e-03
1.017885652631983634e-01 5.457250684086573100e-02 4.667647691182158498e-02 4.659393114307387729e-03 4.665228139947658059e-02 7.757694857279580532e-03 3.931617998925184682e-02 4.723762756207974117e-03 5.132977052973823617e-03 4.434917508729640037e-03 4.486467941439429620e-04 4.463955535903747947e-03 7.478208312018081805e-04 3.535591501432788341e-03 1.411136383049118800e-03 2.436714273142992146e-03 2.447563566095014220e-04 2.432292887544699155e-03 4.098440123681999173e-04 1.948635810396889779e-03 1.059428556028763676e-03 2.102970827516758960e-04 2.092495624502198424e-03 3.520843503802819296e-04 1.678157136614084194e-03 1.061908883449660234e-05 2.103555099922527346e-04 3.522272538380726324e-05 1.700902391424429286e-04 1.045744255351735126e-03 3.518468615685798316e-04 1.705283670308477273e-03 2.972997575189775728e-05 2.860264103139465450e-04 6.800176212697758502e-04 1.017885652631983634e-01 5.457250684086573100e-02 4.667647691182158498e-02 4.659393114307387729e-03 4.665228139947658059e-02 7.757694857279580532e-03 3.931617998925184682e-02 9.447525512415948235e-03 5.132977052973823617e-03 4.434917508729640037e-03 4.486467941439429620e-04 4.463955535903747947e-03 7.478208312018081805e-04 3.535591501432788341e-03 2.822272766098237601e-03 2.436714273142992146e-03 2.447563566095014220e-04 2.432292887544699155e-03 4.098440123681999173e-04 1.948635810396889779e-03 2.118857112057527352e-03 2.102970827516758960e-04 2.092495624502198424e-03 3.520843503802819296e-04 1.678157136614084194e-03 2.123817766899320467e-05 2.103555099922527346e-04 3.522272538380726324e-05 1.700902391424429286e-04 2.091488510703470253e-03 3.518468615685798316e-04 1.705283670308477273e-03 5.945995150379551457e-05 2.860264103139465450e-04 1.360035242539551700e-03
9.952863005687442866e-02 5.330606752948626598e-02 4.556975932082355657e-02 4.546983718607723775e-03 4.554067658335815560e-02 7.568641310727553147e-03 3.848128899733933156e-02 5.098852426974165297e-03 5.546054579944402312e-03 4.796363371637331688e-03 4.859059632706136281e-04 4.831750718338862459e-03 8.099065542646256182e-04 3.803683901721485218e-03 1.528579499396996375e-03 2.641801467465499514e-03 2.654936359572803817e-04 2.636340023558197965e-03 4.448245049555143819e-04 2.102259259838862651e-03 1.150665844454526422e-03 2.281696274401956285e-04 2.268952300908856287e-03 3.822192324384113943e-04 1.811402990377079109e-03 1.153575499564139289e-05 2.282374403786214037e-04 3.823718568336236944e-05 1.839009186709221011e-04 1.133839665755250609e-03 3.819213272035093683e-04 1.844442274743280817e-03 3.232738540274990627e-05 3.095951139215146028e-04 7.317132716937739707e-04 9.952863005687442866e-02 5.330606752948626598e-02 4.556975932082355657e-02 4.546983718607723775e-03 4.554067658335815560e-02 7.568641310727553147e-03 3.848128899733933156e-02 1.019770485394833059e-02 5.546054579944402312e-03 4.796363371637331688e-03 4.859059632706136281e-04 4.831750718338862459e-03 8.099065542646256182e-04 3.803683901721485218e-03 3.057158998793992749e-03 2.641801467465499514e-03 2.654936359572803817e-04 2.636340023558197965e-03 4.448245049555143819e-04 2.102259259838862651e-03 2.301331688909052844e-03 2.281696274401956285e-04 2.268952300908856287e-03 3.822192324384113943e-04 1.811402990377079109e-03 2.307150999128278578e-05 2.282374403786214037e-04 3.823718568336236944e-05 1.839009186709221011e-04 2.267679331510501217e-03 3.819213272035093683e-04 1.844442274743280817e-03 6.465477080549981255e-05 3.095951139215146028e-04 1.463426543387547941e-03
