# __s0 __s1 __s2 __s3 __s4 __s5 __s6 __s7 __s8 __s9 __s10 __s11 __s12 __s13 __s14 __s15 __s16 __s17 __s18 __s19 __s20 __s21 __s22 __s23 __s24 __s25 __s26 __s27 __s28 __s29 __s30 __s31 __s32 __s33 __s34 oT4 oT8 oNK oDC oM14 oM16 oB oT4_T4 oT4_T8 oT4_NK oT4_DC oT4_M14 oT4_M16 oT4_B oT8_T8 oT8_NK oT8_DC oT8_M14 oT8_M16 oT8_B oNK_NK oNK_DC oNK_M14 oNK_M16 oNK_B oDC_DC oDC_M14 oDC_M16 oDC_B oM14_M14 oM14_M16 oM14_B oM16_M16 oM16_B oB_B
1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.251394791341730872e-01 6.737755155773812732e-02 5.775001428167467893e-02 5.774820329808311691e-03 5.774946221080010100e-02 9.624529280828450495e-03 4.813434769937283836e-02 8.178645199476622515e-04 8.818594332665203456e-04 7.566543328221399071e-04 7.577452706966549684e-05 7.572573236615020090e-04 1.262964667937772141e-04 6.269497423179861773e-04 2.380530737264338181e-04 4.084715183598307394e-04 4.087102028180697748e-05 4.083886808378226776e-04 6.815854167626671429e-05 3.385931003867613922e-04 1.753705487631506939e-04 3.504470003803066810e-05 3.502245493067915132e-04 5.844111623897960806e-05 2.904084040332242239e-04 1.754384027814366976e-06 3.504636306164553582e-05 5.844713253004487400e-06 2.908957843190785618e-05 1.751048731751809865e-04 5.843731970111518012e-05 2.909738062806543641e-04 4.878138633983684557e-06 4.853628424043686932e-05 1.205506924680992896e-04 1.251394791341730872e-01 6.737755155773812732e-02 5.775001428167467893e-02 5.774820329808311691e-03 5.774946221080010100e-02 9.624529280828450495e-03 4.813434769937283836e-02 1.635729039895324503e-03 8.818594332665203456e-04 7.566543328221399071e-04 7.577452706966549684e-05 7.572573236615020090e-04 1.262964667937772141e-04 6.269497423179861773e-04 4.761061474528676361e-04 4.084715183598307394e-04 4.087102028180697748e-05 4.083886808378226776e-04 6.815854167626671429e-05 3.385931003867613922e-04 3.507410975263013878e-04 3.504470003803066810e-05 3.502245493067915132e-04 5.844111623897960806e-05 2.904084040332242239e-04 3.508768055628733953e-06 3.504636306164553582e-05 5.844713253004487400e-06 2.908957843190785618e-05 3.502097463503619731e-04 5.843731970111518012e-05 2.909738062806543641e-04 9.756277267967369113e-06 4.853628424043686932e-05 2.411013849361985791e-04
1.207557555992056636e-01 6.500244990016976199e-02 5.570813080818218938e-02 5.570125842477578575e-03 5.570604953704477030e-02 9.282891225349530415e-03 4.645880173688063386e-02 1.554348661700567054e-03 1.677978302415947427e-03 1.441205874825052984e-03 1.445370039486929372e-04 1.443513589723436318e-03 2.409138245377383952e-04 1.187398481942372177e-03 4.541587239289041522e-04 7.800046008940091872e-04 7.809092637602528021e-05 7.796809319929345851e-04 1.303050502051124402e-04 6.431728400883898180e-04 3.354806312495397613e-04 6.698132132511818012e-05 6.689646276170615937e-04 1.117627264141595150e-04 5.519887782433075809e-04 3.357296957428903073e-06 6.698734251603822437e-05 1.117837814848080758e-05 5.538459129320959619e-05 3.344518219352693987e-04 1.117474159218089560e-04 5.541529113134007487e-04 9.344368105783846490e-06 9.251264321159925568e-05 2.282940085135497352e-04 1.207557555992056636e-01 6.500244990016976199e-02 5.570813080818218938e-02 5.570125842477578575e-03 5.570604953704477030e-02 9.282891225349530415e-03 4.645880173688063386e-02 3.108697323401134107e-03 1.677978302415947427e-03 1.441205874825052984e-03 1.445370039486929372e-04 1.443513589723436318e-03 2.409138245377383952e-04 1.187398481942372177e-03 9.083174478578083045e-04 7.800046008940091872e-04 7.809092637602528021e-05 7.796809319929345851e-04 1.303050502051124402e-04 6.431728400883898180e-04 6.709612624990795226e-04 6.698132132511818012e-05 6.689646276170615937e-04 1.117627264141595150e-04 5.519887782433075809e-04 6.714593914857806146e-06 6.698734251603822437e-05 1.117837814848080758e-05 5.538459129320959619e-05 6.689036438705387973e-04 1.117474159218089560e-04 5.541529113134007487e-04 1.868873621156769298e-05 9.251264321159925568e-05 4.565880170270994703e-04
1.167918104786876132e-01 6.284544881471017252e-02 5.384986025817586203e-02 5.383516902660073072e-03 5.384544064401645264e-02 8.971130600585797144e-03 4.495032889804475434e-02 2.219241672942023121e-03 2.398552777023755644e-03 2.062180995278604153e-03 2.071133015225593693e-04 2.067154534591511550e-03 3.452241232041835498e-04 1.689480443807778219e-03 6.508991939442494712e-04 1.118925999793792241e-03 1.120858020567735443e-04 1.118214883467995129e-03 1.871400544615223693e-04 9.178332805974930009e-04 4.821142386832648428e-04 9.617075940527650547e-05 9.598841374245633065e-04 1.605583880531092755e-04 7.881909845022505839e-04 4.826294544948867873e-06 9.618304552543645866e-05 1.605997497232264652e-05 7.921762476766209518e-05 4.798719622821900075e-04 1.605238009979112902e-04 7.928550294117365799e-04 1.344631516580253340e-05 1.324704273935464814e-04 3.248116557373980197e-04 1.167918104786876132e-01 6.284544881471017252e-02 5.384986025817586203e-02 5.383516902660073072e-03 5.384544064401645264e-02 8.971130600585797144e-03 4.495032889804475434e-02 4.438483345884046243e-03 2.398552777023755644e-03 2.062180995278604153e-03 2.071133015225593693e-04 2.067154534591511550e-03 3.452241232041835498e-04 1.689480443807778219e-03 1.301798387888498942e-03 1.118925999793792241e-03 1.120858020567735443e-04 1.118214883467995129e-03 1.871400544615223693e-04 9.178332805974930009e-04 9.642284773665296856e-04 9.617075940527650547e-05 9.598841374245633065e-04 1.605583880531092755e-04 7.881909845022505839e-04 9.652589089897735747e-06 9.618304552543645866e-05 1.605997497232264652e-05 7.921762476766209518e-05 9.597439245643800149e-04 1.605238009979112902e-04 7.928550294117365799e-04 2.689263033160506681e-05 1.324704273935464814e-04 6.496233114747960394e-04
1.131990348863136375e-01 6.088161217428583044e-02 5.215432224074845885e-02 5.212947482750703021e-03 5.214689759605600772e-02 8.685875087252650437e-03 4.358929957150911583e-02 2.820886108821199327e-03 3.052278009358062351e-03 2.626850735757418984e-03 2.642073864581811300e-04 2.635328709297577853e-03 4.403972168693362694e-04 2.140130838303441058e-03 8.304758135950342322e-04 1.428924248456154558e-03 1.432189409466601846e-04 1.427690120056960372e-03 2.392607711716635650e-04 1.166064108534595233e-03 6.167912268335947650e-04 1.229208649410458648e-04 1.226108723902871083e-03 2.053343592385492773e-04 1.001956373288303724e-03 6.176347267917834836e-06 1.229407062708339838e-04 2.053983687035651571e-05 1.008720872263846091e-04 6.129277932274130973e-04 2.052728316655097300e-04 1.009905726295400085e-03 1.722458819502881931e-05 1.688707205418749730e-04 4.114502871504556480e-04 1.131990348863136375e-01 6.088161217428583044e-02 5.215432224074845885e-02 5.212947482750703021e-03 5.214689759605600772e-02 8.685875087252650437e-03 4.358929957150911583e-02 5.641772217642398654e-03 3.052278009358062351e-03 2.626850735757418984e-03 2.642073864581811300e-04 2.635328709297577853e-03 4.403972168693362694e-04 2.140130838303441058e-03 1.660951627190068464e-03 1.428924248456154558e-03 1.432189409466601846e-04 1.427690120056960372e-03 2.392607711716635650e-04 1.166064108534595233e-03 1.233582453667189530e-03 1.229208649410458648e-04 1.226108723902871083e-03 2.053343592385492773e-04 1.001956373288303724e-03 1.235269453583566967e-05 1.229407062708339838e-04 2.053983687035651571e-05 1.008720872263846091e-04 1.225855586454826195e-03 2.052728316655097300e-04 1.009905726295400085e-03 3.444917639005763861e-05 1.688707205418749730e-04 8.229005743009112960e-04
1.099357804365070496e-01 5.908957057597263168e-02 5.060362265263249754e-02 5.056664132591375156e-03 5.059264751505476027e-02 8.424234655445689973e-03 4.235890142052001206e-02 3.366427493189312701e-03 3.646606667589430938e-03 3.141447167816763426e-03 3.164223813129984973e-04 3.154161097055589637e-03 5.274356547238286813e-04 2.545291608615765731e-03 9.947747894319574399e-04 1.713159915893988812e-03 1.718016875461305878e-04 1.711277823953774547e-03 2.871789524462740515e-04 1.390854797733858750e-03 7.408130724755448765e-04 1.474955868660232086e-04 1.470318509395627648e-03 2.465246537153053304e-04 1.195805368728700873e-03 7.420286555509470371e-06 1.475237928750224633e-04 2.466113795338667310e-05 1.205907077440464698e-04 7.349594289812118623e-04 2.464287232241679239e-04 1.207723680478610265e-03 2.071398915289532721e-05 2.021082441855539895e-04 4.893620859967464211e-04 1.099357804365070496e-01 5.908957057597263168e-02 5.060362265263249754e-02 5.056664132591375156e-03 5.059264751505476027e-02 8.424234655445689973e-03 4.235890142052001206e-02 6.732854986378625402e-03 3.646606667589430938e-03 3.141447167816763426e-03 3.164223813129984973e-04 3.154161097055589637e-03 5.274356547238286813e-04 2.545291608615765731e-03 1.989549578863914880e-03 1.713159915893988812e-03 1.718016875461305878e-04 1.711277823953774547e-03 2.871789524462740515e-04 1.390854797733858750e-03 1.481626144951089753e-03 1.474955868660232086e-04 1.470318509395627648e-03 2.465246537153053304e-04 1.195805368728700873e-03 1.484057311101894074e-05 1.475237928750224633e-04 2.466113795338667310e-05 1.205907077440464698e-04 1.469918857962423725e-03 2.464287232241679239e-04 1.207723680478610265e-03 4.142797830579065442e-05 2.021082441855539895e-04 9.787241719934928422e-04
1.069661153464473852e-01 5.745088336516072924e-02 4.918231927485320482e-02 4.913153596176786722e-03 4.916735186741010705e-02 8.183715194546742691e-03 4.124463627917039632e-02 3.862028489665148695e-03 4.187970833597747314e-03 3.611349093907860897e-03 3.642786360197978069e-04 3.628936418887466955e-03 6.072046276294706078e-04 2.910088064180021451e-03 1.145423660431864159e-03 1.974360225417829892e-03 1.981027425519909461e-04 1.971715322042612382e-03 3.313362046464790709e-04 1.594783985718882177e-03 8.553021293146770808e-04 1.701228230495390945e-04 1.694827719389455870e-03 2.845039675049554611e-04 1.371912637247807345e-03 8.569187897175168617e-06 1.701598280307037856e-04 2.846117151341712374e-05 1.385828268634150813e-04 8.471243031493478444e-04 2.843664434015258716e-04 1.388393794539413998e-03 2.394455412356301683e-05 2.325232825102808716e-04 5.595395648849098551e-04 1.069661153464473852e-01 5.745088336516072924e-02 4.918231927485320482e-02 4.913153596176786722e-03 4.916735186741010705e-02 8.183715194546742691e-03 4.124463627917039632e-02 7.724056979330297390e-03 4.187970833597747314e-03 3.611349093907860897e-03 3.642786360197978069e-04 3.628936418887466955e-03 6.072046276294706078e-04 2.910088064180021451e-03 2.290847320863728317e-03 1.974360225417829892e-03 1.981027425519909461e-04 1.971715322042612382e-03 3.313362046464790709e-04 1.594783985718882177e-03 1.710604258629354162e-03 1.701228230495390945e-04 1.694827719389455870e-03 2.845039675049554611e-04 1.371912637247807345e-03 1.713837579435033723e-05 1.701598280307037856e-04 2.846117151341712374e-05 1.385828268634150813e-04 1.694248606298695689e-03 2.843664434015258716e-04 1.388393794539413998e-03 4.788910824712603367e-05 2.325232825102808716e-04 1.119079129769819710e-03
1.042588942111248862e-01 5.594956191043307103e-02 4.787702258707426245e-02 4.781103695870401321e-03 4.785771008776740221e-02 7.962154029758486407e-03 4.023394361094543431e-02 4.313029055318450683e-03 4.681947933264556452e-03 4.041220848713813520e-03 4.082272232638288587e-04 4.064236063080589947e-03 6.804543363755476831e-04 3.238961273539932295e-03 1.283833455817514875e-03 2.214889687016216319e-03 2.223551087554759872e-04 2.211376690206729150e-03 3.721154197512755780e-04 1.780086338937634637e-03 9.612309005768838836e-04 1.910002815220484380e-04 1.901644147591880418e-03 3.195973271385841490e-04 1.532163319789429327e-03 9.632656681605877581e-06 1.910462285062169594e-04 3.197230440224382029e-05 1.550298443165741167e-04 9.504268261105289261e-04 3.194113382661448262e-04 1.553721792359971567e-03 2.694232935731094922e-05 2.604105855930938544e-04 6.228416172589792358e-04 1.042588942111248862e-01 5.594956191043307103e-02 4.787702258707426245e-02 4.781103695870401321e-03 4.785771008776740221e-02 7.962154029758486407e-03 4.023394361094543431e-02 8.626058110636901366e-03 4.681947933264556452e-03 4.041220848713813520e-03 4.082272232638288587e-04 4.064236063080589947e-03 6.804543363755476831e-04 3.238961273539932295e-03 2.567666911635029751e-03 2.214889687016216319e-03 2.223551087554759872e-04 2.211376690206729150e-03 3.721154197512755780e-04 1.780086338937634637e-03 1.922461801153767767e-03 1.910002815220484380e-04 1.901644147591880418e-03 3.195973271385841490e-04 1.532163319789429327e-03 1.926531336321175516e-05 1.910462285062169594e-04 3.197230440224382029e-05 1.550298443165741167e-04 1.900853652221057852e-03 3.194113382661448262e-04 1.553721792359971567e-03 5.388465871462189843e-05 2.604105855930938544e-04 1.245683234517958472e-03
1.017870150656175754e-01 5.457168843115474399e-02 4.667607641509249200e-02 4.659372024509641011e-03 4.665214242633557856e-02 7.757668296185808200e-03 3.931590011085247388e-02 4.724074258441155610e-03 5.133393322465543834e-03 4.435123266563944545e-03 4.486607325069422864e-04 4.464047571021296720e-03 7.478378875483912298e-04 3.535773637394066648e-03 1.411232418464863350e-03 2.436806630724422905e-03 2.447616532863884425e-04 2.432329274599338061e-03 4.098499320797041622e-04 1.948705918760093624e-03 1.059445482441547220e-03 2.103001768014717266e-04 2.092516787077018138e-03 3.520878224573636126e-04 1.678197936400180465e-03 1.061905734522713979e-05 2.103549848938472222e-04 3.522274231645574998e-05 1.700895709947994067e-04 1.045742144624118349e-03 3.518468484747198509e-04 1.705277818349983099e-03 2.972999375140023985e-05 2.860264834347587388e-04 6.800142619068238635e-04 1.017870150656175754e-01 5.457168843115474399e-02 4.667607641509249200e-02 4.659372024509641011e-03 4.665214242633557856e-02 7.757668296185808200e-03 3.931590011085247388e-02 9.448148516882311221e-03 5.133393322465543834e-03 4.435123266563944545e-03 4.486607325069422864e-04 4.464047571021296720e-03 7.478378875483912298e-04 3.535773637394066648e-03 2.822464836929726700e-03 2.436806630724422905e-03 2.447616532863884425e-04 2.432329274599338061e-03 4.098499320797041622e-04 1.948705918760093624e-03 2.118890964883094440e-03 2.103001768014717266e-04 2.092516787077018138e-03 3.520878224573636126e-04 1.678197936400180465e-03 2.123811469045427957e-05 2.103549848938472222e-04 3.522274231645574998e-05 1.700895709947994067e-04 2.091484289248236698e-03 3.518468484747198509e-04 1.705277818349983099e-03 5.945998750280047970e-05 2.860264834347587388e-04 1.360028523813647727e-03
9.952676912390459596e-02 5.330508275881350871e-02 4.556927889295651207e-02 4.546958603369349525e-03 4.554051288270602460e-02 7.568609864494453034e-03 3.848095647485608867e-02 5.099226179076696286e-03 5.546556304551530925e-03 4.796610722353232548e-03 4.859227000373824053e-04 4.831860326091799718e-03 8.099269292158703566e-04 3.803901535692277153e-03 1.528695464243102781e-03 2.641912565534065057e-03 2.654999626484479212e-04 2.636383052045083043e-03 4.448315077880646588e-04 2.102342920133002876e-03 1.150686007320623865e-03 2.281733288652016713e-04 2.268977419279576916e-03 3.822233533980821225e-04 1.811451702972046839e-03 1.153571321360703793e-05 2.282367462584305269e-04 3.823719757781824866e-05 1.839000348161537012e-04 1.133836889753125823e-03 3.819212424726136745e-04 1.844434551640287750e-03 3.232740139220855119e-05 3.095951022686916905e-04 7.317088388106943739e-04 9.952676912390459596e-02 5.330508275881350871e-02 4.556927889295651207e-02 4.546958603369349525e-03 4.554051288270602460e-02 7.568609864494453034e-03 3.848095647485608867e-02 1.019845235815339257e-02 5.546556304551530925e-03 4.796610722353232548e-03 4.859227000373824053e-04 4.831860326091799718e-03 8.099269292158703566e-04 3.803901535692277153e-03 3.057390928486205563e-03 2.641912565534065057e-03 2.654999626484479212e-04 2.636383052045083043e-03 4.448315077880646588e-04 2.102342920133002876e-03 2.301372014641247729e-03 2.281733288652016713e-04 2.268977419279576916e-03 3.822233533980821225e-04 1.811451702972046839e-03 2.307142642721407585e-05 2.282367462584305269e-04 3.823719757781824866e-05 1.839000348161537012e-04 2.267673779506251645e-03 3.819212424726136745e-04 1.844434551640287750e-03 6.465480278441710239e-05 3.095951022686916905e-04 1.463417677621388748e-03
