# __s0 __s1 __s2 __s3 __s4 __s5 __s6 __s7 __s8 __s9 __s10 __s11 __s12 __s13 __s14 __s15 __s16 __s17 __s18 __s19 __s20 __s21 __s22 __s23 __s24 __s25 __s26 __s27 __s28 __s29 __s30 __s31 __s32 __s33 __s34 oT4 oT8 oNK oDC oM14 oM16 oB oT4_T4 oT4_T8 oT4_NK oT4_DC oT4_M14 oT4_M16 oT4_B oT8_T8 oT8_NK oT8_DC oT8_M14 oT8_M16 oT8_B oNK_NK oNK_DC oNK_M14 oNK_M16 oNK_B oDC_DC oDC_M14 oDC_M16 oDC_B oM14_M14 oM14_M16 oM14_B oM16_M16 oM16_B oB_B
1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.251394826915719349e-01 6.737755219137350760e-02 5.775001456543940592e-02 5.774820375716791833e-03 5.774946254481402169e-02 9.624529319426729582e-03 4.813434772844818466e-02 8.178632569453838600e-04 8.818589582151646709e-04 7.566541190845527077e-04 7.577449176515238614e-05 7.572570680568622330e-04 1.262964360769728428e-04 6.269497213386009560e-04 2.380530408822881206e-04 4.084714898870650903e-04 4.087101372438411919e-05 4.083886304332079507e-04 6.815853662640457451e-05 3.385930979757227925e-04 1.753705439477192744e-04 3.504469671766141322e-05 3.502245243850645590e-04 5.844111367550124103e-05 2.904084029152979429e-04 1.754384012979131665e-06 3.504636295437448478e-05 5.844713250705932208e-06 2.908957784497539297e-05 1.751048734369421939e-04 5.843731984802338865e-05 2.909738026345696821e-04 4.878138647019583448e-06 4.853628380162033115e-05 1.205506925205140814e-04 1.251394826915719349e-01 6.737755219137350760e-02 5.775001456543940592e-02 5.774820375716791833e-03 5.774946254481402169e-02 9.624529319426729582e-03 4.813434772844818466e-02 1.635726513890767720e-03 8.818589582151646709e-04 7.566541190845527077e-04 7.577449176515238614e-05 7.572570680568622330e-04 1.262964360769728428e-04 6.269497213386009560e-04 4.761060817645762413e-04 4.084714898870650903e-04 4.087101372438411919e-05 4.083886304332079507e-04 6.815853662640457451e-05 3.385930979757227925e-04 3.507410878954385488e-04 3.504469671766141322e-05 3.502245243850645590e-04 5.844111367550124103e-05 2.904084029152979429e-04 3.508768025958263330e-06 3.504636295437448478e-05 5.844713250705932208e-06 2.908957784497539297e-05 3.502097468738843877e-04 5.843731984802338865e-05 2.909738026345696821e-04 9.756277294039166897e-06 4.853628380162033115e-05 2.411013850410281627e-04
1.207557689881908480e-01 6.500245226292407363e-02 5.570813185139416451e-02 5.570126013614838320e-03 5.570605077178891057e-02 9.282891366438153838e-03 4.645880181806623377e-02 1.554343882135161272e-03 1.677976520222843396e-03 1.441205083755715127e-03 1.445368713721088946e-04 1.443512637660540349e-03 2.409137111599182692e-04 1.187398423367695384e-03 4.541586027470967250e-04 7.800044979313539668e-04 7.809090191513493571e-05 7.796807450174700685e-04 1.303050317691638717e-04 6.431728347258035749e-04 3.354806146072623614e-04 6.698130903507311341e-05 6.689645358388230474e-04 1.117627171076348208e-04 5.519887757226949561e-04 3.357296932315758121e-06 6.698734265581963998e-05 1.117837821961499702e-05 5.538458932278165890e-05 3.344518252596113397e-04 1.117474171382267374e-04 5.541528993809967905e-04 9.344368200126528621e-06 9.251264176703041233e-05 2.282940088233847379e-04 1.207557689881908480e-01 6.500245226292407363e-02 5.570813185139416451e-02 5.570126013614838320e-03 5.570605077178891057e-02 9.282891366438153838e-03 4.645880181806623377e-02 3.108687764270322545e-03 1.677976520222843396e-03 1.441205083755715127e-03 1.445368713721088946e-04 1.443512637660540349e-03 2.409137111599182692e-04 1.187398423367695384e-03 9.083172054941934500e-04 7.800044979313539668e-04 7.809090191513493571e-05 7.796807450174700685e-04 1.303050317691638717e-04 6.431728347258035749e-04 6.709612292145247228e-04 6.698130903507311341e-05 6.689645358388230474e-04 1.117627171076348208e-04 5.519887757226949561e-04 6.714593864631516242e-06 6.698734265581963998e-05 1.117837821961499702e-05 5.538458932278165890e-05 6.689036505192226794e-04 1.117474171382267374e-04 5.541528993809967905e-04 1.868873640025305724e-05 9.251264176703041233e-05 4.565880176467694757e-04
1.167918388767898719e-01 6.284545378263532711e-02 5.384986242173206428e-02 5.383517262455199924e-03 5.384544321880248285e-02 8.971130891560763487e-03 4.495032901396353586e-02 2.219231483168828192e-03 2.398549008501961108e-03 2.062179344366944170e-03 2.071130208625189680e-04 2.067152535086308647e-03 3.452238872019501147e-04 1.689480360852793541e-03 6.508989417165238949e-04 1.118925789694613518e-03 1.120857505860419504e-04 1.118214492135758764e-03 1.871400164690083408e-04 9.178332765442688817e-04 4.821142062818669261e-04 9.617073373162388918e-05 9.598839465978289010e-04 1.605583689633611826e-04 7.881909823498141517e-04 4.826294553965627618e-06 9.618304691796194432e-05 1.605997528354868739e-05 7.921762105517677927e-05 4.798719740182802430e-04 1.605238049001050168e-04 7.928550075230121315e-04 1.344631545545406404e-05 1.324704247103524282e-04 3.248116565005248319e-04 1.167918388767898719e-01 6.284545378263532711e-02 5.384986242173206428e-02 5.383517262455199924e-03 5.384544321880248285e-02 8.971130891560763487e-03 4.495032901396353586e-02 4.438462966337656385e-03 2.398549008501961108e-03 2.062179344366944170e-03 2.071130208625189680e-04 2.067152535086308647e-03 3.452238872019501147e-04 1.689480360852793541e-03 1.301797883433047790e-03 1.118925789694613518e-03 1.120857505860419504e-04 1.118214492135758764e-03 1.871400164690083408e-04 9.178332765442688817e-04 9.642284125637338521e-04 9.617073373162388918e-05 9.598839465978289010e-04 1.605583689633611826e-04 7.881909823498141517e-04 9.652589107931255235e-06 9.618304691796194432e-05 1.605997528354868739e-05 7.921762105517677927e-05 9.597439480365604859e-04 1.605238049001050168e-04 7.928550075230121315e-04 2.689263091090812808e-05 1.324704247103524282e-04 6.496233130010496638e-04
1.131990825577741805e-01 6.088162044600888695e-02 5.215432579569236060e-02 5.212948081864533616e-03 5.214690184951307345e-02 8.685875562753868698e-03 4.358929967727602495e-02 2.820868920052479328e-03 3.052271701457332388e-03 2.626848007436743265e-03 2.642069160624926374e-04 2.635325384026443018e-03 4.403968277998527702e-04 2.140130765338014822e-03 8.304753976763369627e-04 1.428923908700095334e-03 1.432188551484185450e-04 1.427689471071143029e-03 2.392607091024765082e-04 1.166064113159005463e-03 6.167911769208785523e-04 1.229208224330755224e-04 1.226108409299046104e-03 2.053343281649327513e-04 1.001956374431979806e-03 6.176347383155402690e-06 1.229407103603323635e-04 2.053983764818858557e-05 1.008720817166513823e-04 6.129278203635030219e-04 2.052728403028165286e-04 1.009905694700154568e-03 1.722458882145874395e-05 1.688707165849444053e-04 4.114502883966168084e-04 1.131990825577741805e-01 6.088162044600888695e-02 5.215432579569236060e-02 5.212948081864533616e-03 5.214690184951307345e-02 8.685875562753868698e-03 4.358929967727602495e-02 5.641737840104958657e-03 3.052271701457332388e-03 2.626848007436743265e-03 2.642069160624926374e-04 2.635325384026443018e-03 4.403968277998527702e-04 2.140130765338014822e-03 1.660950795352673925e-03 1.428923908700095334e-03 1.432188551484185450e-04 1.427689471071143029e-03 2.392607091024765082e-04 1.166064113159005463e-03 1.233582353841757105e-03 1.229208224330755224e-04 1.226108409299046104e-03 2.053343281649327513e-04 1.001956374431979806e-03 1.235269476631080538e-05 1.229407103603323635e-04 2.053983764818858557e-05 1.008720817166513823e-04 1.225855640727006044e-03 2.052728403028165286e-04 1.009905694700154568e-03 3.444917764291748790e-05 1.688707165849444053e-04 8.229005767932336167e-04
1.099358508808052221e-01 5.908958270567841314e-02 5.060362779925754728e-02 5.056665011352039218e-03 5.059265370572718634e-02 8.424235340201716160e-03 4.235890145300593573e-02 3.366401976088485848e-03 3.646597371912013025e-03 3.141443196786669265e-03 3.164216870952642549e-04 3.154156226765458381e-03 5.274350897418444159e-04 2.545291594716561460e-03 9.947741851498081642e-04 1.713159431660476583e-03 1.718015615429867966e-04 1.711276875531866914e-03 2.871788630448472517e-04 1.390854820329809685e-03 7.408130048334485252e-04 1.474955248306125460e-04 1.470318052053295891e-03 2.465246090790652054e-04 1.195805376665425284e-03 7.420286867851659261e-06 1.475238013908590994e-04 2.466113946202394677e-05 1.205907005905149050e-04 7.349594795007327206e-04 2.464287388968638124e-04 1.207723640633002549e-03 2.071399027249548768e-05 2.021082390286437446e-04 4.893620875150691066e-04 1.099358508808052221e-01 5.908958270567841314e-02 5.060362779925754728e-02 5.056665011352039218e-03 5.059265370572718634e-02 8.424235340201716160e-03 4.235890145300593573e-02 6.732803952176971696e-03 3.646597371912013025e-03 3.141443196786669265e-03 3.164216870952642549e-04 3.154156226765458381e-03 5.274350897418444159e-04 2.545291594716561460e-03 1.989548370299616328e-03 1.713159431660476583e-03 1.718015615429867966e-04 1.711276875531866914e-03 2.871788630448472517e-04 1.390854820329809685e-03 1.481626009666897050e-03 1.474955248306125460e-04 1.470318052053295891e-03 2.465246090790652054e-04 1.195805376665425284e-03 1.484057373570331852e-05 1.475238013908590994e-04 2.466113946202394677e-05 1.205907005905149050e-04 1.469918959001465441e-03 2.464287388968638124e-04 1.207723640633002549e-03 4.142798054499097535e-05 2.021082390286437446e-04 9.787241750301382132e-04
1.069662114178233925e-01 5.745089978827689486e-02 4.918232615717733208e-02 4.913154786462281022e-03 4.916736018947086284e-02 8.183716105511815164e-03 4.124463616348086892e-02 3.861993537115009350e-03 4.187958189278462133e-03 3.611343757272950442e-03 3.642776901979554111e-04 3.628929832760496334e-03 6.072038700001301586e-04 2.910088168436583168e-03 1.145422849497843270e-03 1.974359587797460628e-03 1.981025716401104591e-04 1.971714041665740148e-03 3.313360856369407898e-04 1.594784036708738828e-03 8.553020448054516169e-04 1.701227393975581360e-04 1.694827104869169650e-03 2.845039081941603079e-04 1.371912655680454030e-03 8.569188509942404387e-06 1.701598428795353412e-04 2.846117403934954920e-05 1.385828183633294904e-04 8.471243855882481686e-04 2.843664685376592264e-04 1.388393748640042672e-03 2.394455589934967092e-05 2.325232762812418856e-04 5.595395662043852001e-04 1.069662114178233925e-01 5.745089978827689486e-02 4.918232615717733208e-02 4.913154786462281022e-03 4.916736018947086284e-02 8.183716105511815164e-03 4.124463616348086892e-02 7.723987074230018700e-03 4.187958189278462133e-03 3.611343757272950442e-03 3.642776901979554111e-04 3.628929832760496334e-03 6.072038700001301586e-04 2.910088168436583168e-03 2.290845698995686540e-03 1.974359587797460628e-03 1.981025716401104591e-04 1.971714041665740148e-03 3.313360856369407898e-04 1.594784036708738828e-03 1.710604089610903234e-03 1.701227393975581360e-04 1.694827104869169650e-03 2.845039081941603079e-04 1.371912655680454030e-03 1.713837701988480877e-05 1.701598428795353412e-04 2.846117403934954920e-05 1.385828183633294904e-04 1.694248771176496337e-03 2.843664685376592264e-04 1.388393748640042672e-03 4.788911179869934185e-05 2.325232762812418856e-04 1.119079132408770400e-03
1.042590182181671182e-01 5.594958296484950355e-02 4.787703130470127161e-02 4.781105222659757722e-03 4.785772068391883072e-02 7.962155177857959537e-03 4.023394326563413392e-02 4.312983751092014373e-03 4.681931652779216385e-03 4.041214057922051274e-03 4.082260033186627590e-04 4.064227630010053792e-03 6.804533742630903799e-04 3.238961561355767262e-03 1.283832425024446786e-03 2.214888891549214155e-03 2.223548891844902720e-04 2.211375052763418433e-03 3.721152696040628269e-04 1.780086429221233594e-03 9.612308007716267259e-04 1.910001746415371877e-04 1.901643364945637465e-03 3.195972523799615168e-04 1.532163352317068546e-03 9.632657705467442230e-06 1.910462516855746711e-04 3.197230824188320824e-05 1.550298348571635669e-04 9.504269492016963932e-04 3.194113753221212233e-04 1.553721742950990321e-03 2.694233195218116703e-05 2.604105784265559292e-04 6.228416176185536937e-04 1.042590182181671182e-01 5.594958296484950355e-02 4.787703130470127161e-02 4.781105222659757722e-03 4.785772068391883072e-02 7.962155177857959537e-03 4.023394326563413392e-02 8.625967502184028746e-03 4.681931652779216385e-03 4.041214057922051274e-03 4.082260033186627590e-04 4.064227630010053792e-03 6.804533742630903799e-04 3.238961561355767262e-03 2.567664850048893572e-03 2.214888891549214155e-03 2.223548891844902720e-04 2.211375052763418433e-03 3.721152696040628269e-04 1.780086429221233594e-03 1.922461601543253452e-03 1.910001746415371877e-04 1.901643364945637465e-03 3.195972523799615168e-04 1.532163352317068546e-03 1.926531541093488446e-05 1.910462516855746711e-04 3.197230824188320824e-05 1.550298348571635669e-04 1.900853898403392786e-03 3.194113753221212233e-04 1.553721742950990321e-03 5.388466390436233406e-05 2.604105784265559292e-04 1.245683235237107387e-03
1.017871688535771785e-01 5.457171437407478537e-02 4.667608703229266659e-02 4.659373907102561108e-03 4.665215539777801956e-02 7.757669687635644629e-03 3.931589945146112680e-02 4.724017850795607203e-03 5.133373180026700247e-03 4.435114960996953438e-03 4.486592203368570107e-04 4.464037192624925252e-03 7.478367130602744418e-04 3.535774177785896023e-03 1.411231158685187590e-03 2.436805676326839806e-03 2.447613820887805064e-04 2.432327260970169706e-03 4.098497498399508178e-04 1.948706059302412292e-03 1.059445369368764095e-03 2.103000454628482373e-04 2.092515828098519097e-03 3.520877317275892247e-04 1.678197986357039210e-03 1.061905889463783346e-05 2.103550184333758527e-04 3.522274776792834309e-05 1.700895610183771848e-04 1.045742317065490945e-03 3.518468998726786566e-04 1.705277768091377662e-03 2.972999732408795166e-05 2.860264754477587885e-04 6.800142602680012138e-04 1.017871688535771785e-01 5.457171437407478537e-02 4.667608703229266659e-02 4.659373907102561108e-03 4.665215539777801956e-02 7.757669687635644629e-03 3.931589945146112680e-02 9.448035701591214405e-03 5.133373180026700247e-03 4.435114960996953438e-03 4.486592203368570107e-04 4.464037192624925252e-03 7.478367130602744418e-04 3.535774177785896023e-03 2.822462317370375180e-03 2.436805676326839806e-03 2.447613820887805064e-04 2.432327260970169706e-03 4.098497498399508178e-04 1.948706059302412292e-03 2.118890738737528191e-03 2.103000454628482373e-04 2.092515828098519097e-03 3.520877317275892247e-04 1.678197986357039210e-03 2.123811778927566692e-05 2.103550184333758527e-04 3.522274776792834309e-05 1.700895610183771848e-04 2.091484634130981891e-03 3.518468998726786566e-04 1.705277768091377662e-03 5.945999464817590331e-05 2.860264754477587885e-04 1.360028520536002428e-03
9.952695414302641097e-02 5.330511378047296522e-02 4.556929144591703035e-02 4.546960856374221600e-03 4.554052829713814421e-02 7.568611501847395499e-03 3.848095541654560775e-02 5.099158058528311006e-03 5.546532126548486819e-03 4.796600864157652376e-03 4.859208812658587727e-04 4.831847931045322661e-03 8.099255376364149564e-04 3.803902399263239288e-03 1.528693969627044911e-03 2.641911453654246806e-03 2.654996375016884695e-04 2.636380647966195690e-03 4.448312929402484716e-04 2.102343121662064978e-03 1.150685883273796367e-03 2.281731721454824651e-04 2.268976277909162936e-03 3.822232463545703184e-04 1.811451773314223367e-03 1.153571540411456366e-05 2.282367921760184283e-04 3.823720493487373133e-05 1.839000247936315282e-04 1.133837120037332457e-03 3.819213105547328269e-04 1.844434503135856376e-03 3.232740609435739808e-05 3.095950935430588982e-04 7.317088338711192578e-04 9.952695414302641097e-02 5.330511378047296522e-02 4.556929144591703035e-02 4.546960856374221600e-03 4.554052829713814421e-02 7.568611501847395499e-03 3.848095541654560775e-02 1.019831611705662201e-02 5.546532126548486819e-03 4.796600864157652376e-03 4.859208812658587727e-04 4.831847931045322661e-03 8.099255376364149564e-04 3.803902399263239288e-03 3.057387939254089821e-03 2.641911453654246806e-03 2.654996375016884695e-04 2.636380647966195690e-03 4.448312929402484716e-04 2.102343121662064978e-03 2.301371766547592734e-03 2.281731721454824651e-04 2.268976277909162936e-03 3.822232463545703184e-04 1.811451773314223367e-03 2.307143080822912732e-05 2.282367921760184283e-04 3.823720493487373133e-05 1.839000247936315282e-04 2.267674240074664914e-03 3.819213105547328269e-04 1.844434503135856376e-03 6.465481218871479616e-05 3.095950935430588982e-04 1.463417667742238516e-03
