# __s0 __s1 __s2 __s3 __s4 __s5 __s6 __s7 __s8 __s9 __s10 __s11 __s12 __s13 __s14 __s15 __s16 __s17 __s18 __s19 __s20 __s21 __s22 __s23 __s24 __s25 __s26 __s27 __s28 __s29 __s30 __s31 __s32 __s33 __s34 oT4 oT8 oNK oDC oM14 oM16 oB oT4_T4 oT4_T8 oT4_NK oT4_DC oT4_M14 oT4_M16 oT4_B oT8_T8 oT8_NK oT8_DC oT8_M14 oT8_M16 oT8_B oNK_NK oNK_DC oNK_M14 oNK_M16 oNK_B oDC_DC oDC_M14 oDC_M16 oDC_B oM14_M14 oM14_M16 oM14_B oM16_M16 oM16_B oB_B
1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.251394832619689146e-01 6.737755258210172127e-02 5.775001744467750386e-02 5.774820414146417634e-03 5.774946349897788073e-02 9.624529381956639651e-03 4.813434967858200297e-02 8.178639423630006209e-04 8.818590527872931196e-04 7.566529104725979414e-04 7.577449623724310688e-05 7.572566977475643588e-04 1.262964154169581553e-04 6.269492806434505535e-04 2.380530316423137480e-04 4.084712638089554610e-04 4.087101326964946024e-05 4.083885603172728116e-04 6.815853349192925632e-05 3.385929309385486067e-04 1.753703552032888162e-04 3.504467981067960365e-05 3.502243983486043192e-04 5.844110607344670964e-05 2.904074864016138236e-04 1.754383773051006199e-06 3.504635499448395270e-05 5.844712613229501922e-06 2.908956138219600428e-05 1.751048757657160050e-04 5.843732033779288205e-05 2.909734177449848518e-04 4.878138668124255515e-06 4.853625277375670313e-05 1.205506957667335638e-04 1.251394832619689146e-01 6.737755258210172127e-02 5.775001744467750386e-02 5.774820414146417634e-03 5.774946349897788073e-02 9.624529381956639651e-03 4.813434967858200297e-02 1.635727884726001242e-03 8.818590527872931196e-04 7.566529104725979414e-04 7.577449623724310688e-05 7.572566977475643588e-04 1.262964154169581553e-04 6.269492806434505535e-04 4.761060632846274960e-04 4.084712638089554610e-04 4.087101326964946024e-05 4.083885603172728116e-04 6.815853349192925632e-05 3.385929309385486067e-04 3.507407104065776325e-04 3.504467981067960365e-05 3.502243983486043192e-04 5.844110607344670964e-05 2.904074864016138236e-04 3.508767546102012397e-06 3.504635499448395270e-05 5.844712613229501922e-06 2.908956138219600428e-05 3.502097515314320101e-04 5.843732033779288205e-05 2.909734177449848518e-04 9.756277336248511030e-06 4.853625277375670313e-05 2.411013915334671276e-04
1.207557710537886103e-01 6.500245369168375364e-02 5.570814272852298715e-02 5.570126155032771240e-03 5.570605434731174671e-02 9.282891596174095913e-03 4.645880915056745109e-02 1.554346513983563896e-03 1.677976893044230439e-03 1.441200492045065836e-03 1.445368895303610047e-04 1.443511232879488666e-03 2.409136332524485955e-04 1.187396777492683800e-03 4.541585703024323111e-04 7.800036536623222196e-04 7.809090073668904504e-05 7.796804855033692130e-04 1.303050206197310136e-04 6.431722141450483881e-04 3.354799063397948997e-04 6.698124614300062277e-05 6.689640774127075112e-04 1.117626916202374312e-04 5.519852979140761748e-04 3.357296031785862056e-06 6.698731288919362696e-05 1.117837584551453856e-05 5.538452775889959455e-05 3.344518409714261641e-04 1.117474205807873186e-04 5.541514414798672178e-04 9.344368353319970643e-06 9.251252520054437513e-05 2.282940327207237609e-04 1.207557710537886103e-01 6.500245369168375364e-02 5.570814272852298715e-02 5.570126155032771240e-03 5.570605434731174671e-02 9.282891596174095913e-03 4.645880915056745109e-02 3.108693027967127792e-03 1.677976893044230439e-03 1.441200492045065836e-03 1.445368895303610047e-04 1.443511232879488666e-03 2.409136332524485955e-04 1.187396777492683800e-03 9.083171406048646222e-04 7.800036536623222196e-04 7.809090073668904504e-05 7.796804855033692130e-04 1.303050206197310136e-04 6.431722141450483881e-04 6.709598126795897994e-04 6.698124614300062277e-05 6.689640774127075112e-04 1.117626916202374312e-04 5.519852979140761748e-04 6.714592063571724112e-06 6.698731288919362696e-05 1.117837584551453856e-05 5.538452775889959455e-05 6.689036819428523283e-04 1.117474205807873186e-04 5.541514414798672178e-04 1.868873670663994129e-05 9.251252520054437513e-05 4.565880654414475217e-04
1.167918430968357679e-01 6.284545672990229925e-02 5.384988557630396300e-02 5.383517556032667815e-03 5.384545077240159711e-02 8.971131367685864638e-03 4.495034455076275109e-02 2.219237170575942032e-03 2.398549832877874995e-03 2.062169516934033754e-03 2.071130620292617800e-04 2.067149531911782311e-03 3.452237214920356829e-04 1.689476896767354687e-03 6.508988774231647383e-04 1.118924012131490564e-03 1.120857491402690463e-04 1.118213950254748866e-03 1.871399940740528219e-04 9.178319767729455417e-04 4.821127079350905217e-04 9.617060181688581798e-05 9.598830068513525184e-04 1.605583213115264476e-04 7.881835487805466389e-04 4.826292646522781605e-06 9.618298413069620127e-05 1.605997029214108074e-05 7.921749126503331638e-05 4.798720215417715700e-04 1.605238154498783926e-04 7.928518959164081344e-04 1.344631592755770278e-05 1.324701778393850204e-04 3.248117309478007041e-04 1.167918430968357679e-01 6.284545672990229925e-02 5.384988557630396300e-02 5.383517556032667815e-03 5.384545077240159711e-02 8.971131367685864638e-03 4.495034455076275109e-02 4.438474341151884064e-03 2.398549832877874995e-03 2.062169516934033754e-03 2.071130620292617800e-04 2.067149531911782311e-03 3.452237214920356829e-04 1.689476896767354687e-03 1.301797754846329477e-03 1.118924012131490564e-03 1.120857491402690463e-04 1.118213950254748866e-03 1.871399940740528219e-04 9.178319767729455417e-04 9.642254158701810433e-04 9.617060181688581798e-05 9.598830068513525184e-04 1.605583213115264476e-04 7.881835487805466389e-04 9.652585293045563210e-06 9.618298413069620127e-05 1.605997029214108074e-05 7.921749126503331638e-05 9.597440430835431401e-04 1.605238154498783926e-04 7.928518959164081344e-04 2.689263185511540555e-05 1.324701778393850204e-04 6.496234618956014083e-04
1.131990893894429251e-01 6.088162526298569049e-02 5.215436480353778659e-02 5.212948564736982239e-03 5.214691448423318387e-02 8.685876344520166228e-03 4.358932573270831584e-02 2.820878635705432926e-03 3.052273138239760229e-03 2.626831365668112154e-03 2.642069893621645793e-04 2.635320302549040532e-03 4.403965485840766734e-04 2.140124994743049409e-03 8.304752966446520999e-04 1.428920945335581706e-03 1.432188543653613593e-04 1.427688574567344748e-03 2.392606734142382007e-04 1.166061957802730278e-03 6.167886672745052402e-04 1.229206033276700454e-04 1.226106884529526474e-03 2.053342585838069238e-04 1.001943804468489151e-03 6.176344181037588485e-06 1.229406054468249029e-04 2.053982932780129870e-05 1.008718650711206029e-04 6.129279231305374874e-04 2.052728632357852579e-04 1.009900439177221056e-03 1.722458984604890262e-05 1.688703026420275964e-04 4.114504516935372819e-04 1.131990893894429251e-01 6.088162526298569049e-02 5.215436480353778659e-02 5.212948564736982239e-03 5.214691448423318387e-02 8.685876344520166228e-03 4.358932573270831584e-02 5.641757271410865852e-03 3.052273138239760229e-03 2.626831365668112154e-03 2.642069893621645793e-04 2.635320302549040532e-03 4.403965485840766734e-04 2.140124994743049409e-03 1.660950593289304200e-03 1.428920945335581706e-03 1.432188543653613593e-04 1.427688574567344748e-03 2.392606734142382007e-04 1.166061957802730278e-03 1.233577334549010480e-03 1.229206033276700454e-04 1.226106884529526474e-03 2.053342585838069238e-04 1.001943804468489151e-03 1.235268836207517697e-05 1.229406054468249029e-04 2.053982932780129870e-05 1.008718650711206029e-04 1.225855846261074975e-03 2.052728632357852579e-04 1.009900439177221056e-03 3.444917969209780525e-05 1.688703026420275964e-04 8.229009033870745638e-04
1.099358606265558314e-01 5.908958964269674097e-02 5.060368564257377438e-02 5.056665711171351961e-03 5.059267231577761759e-02 8.424236471167623891e-03 4.235893991686404125e-02 3.366416570435828894e-03 3.646599568631029784e-03 3.141418396692457083e-03 3.164218012691478728e-04 3.154148658125239483e-03 5.274346752787357259e-04 2.545283132575888816e-03 9.947740451440017367e-04 1.713155081187128694e-03 1.718015626523908420e-04 1.711275568602812569e-03 2.871788128666834901e-04 1.390851673075226653e-03 7.408093033072792911e-04 1.474952043139367644e-04 1.470315874275280460e-03 2.465245211791027772e-04 1.195786673163746431e-03 7.420282130049473607e-06 1.475236469499874141e-04 2.466112723348119019e-05 1.205903821496051554e-04 7.349596642087915729e-04 2.464287802004121218e-04 1.207715827651060364e-03 2.071399210988723766e-05 2.021076278541827421e-04 4.893623833331359804e-04 1.099358606265558314e-01 5.908958964269674097e-02 5.060368564257377438e-02 5.056665711171351961e-03 5.059267231577761759e-02 8.424236471167623891e-03 4.235893991686404125e-02 6.732833140871657789e-03 3.646599568631029784e-03 3.141418396692457083e-03 3.164218012691478728e-04 3.154148658125239483e-03 5.274346752787357259e-04 2.545283132575888816e-03 1.989548090288003473e-03 1.713155081187128694e-03 1.718015626523908420e-04 1.711275568602812569e-03 2.871788128666834901e-04 1.390851673075226653e-03 1.481618606614558582e-03 1.474952043139367644e-04 1.470315874275280460e-03 2.465245211791027772e-04 1.195786673163746431e-03 1.484056426009894721e-05 1.475236469499874141e-04 2.466112723348119019e-05 1.205903821496051554e-04 1.469919328417583146e-03 2.464287802004121218e-04 1.207715827651060364e-03 4.142798421977447531e-05 2.021076278541827421e-04 9.787247666662719607e-04
1.069662242602332086e-01 5.745090901603191330e-02 4.918240531351859846e-02 4.913155723320029519e-03 4.916738549537552627e-02 8.183717616737279377e-03 4.124468856775186792e-02 3.862013751214492165e-03 4.187961280096480325e-03 3.611309657221621356e-03 3.642778535047303066e-04 3.628919428828491795e-03 6.072033018440134954e-04 2.910076715842459250e-03 1.145422670181228762e-03 1.974353691171941601e-03 1.981025760549099584e-04 1.971712281753979987e-03 3.313360203927257028e-04 1.594779794135609647e-03 8.552970045726939830e-04 1.701223064767512668e-04 1.694824234479656768e-03 2.845038081032115950e-04 1.371886979882821480e-03 8.569182033478206417e-06 1.701596329062947236e-04 2.846115742931576962e-05 1.385823862410120425e-04 8.471246809549288267e-04 2.843665346224324595e-04 1.388383030123765439e-03 2.394455882327613917e-05 2.325224432244642452e-04 5.595400413990153730e-04 1.069662242602332086e-01 5.745090901603191330e-02 4.918240531351859846e-02 4.913155723320029519e-03 4.916738549537552627e-02 8.183717616737279377e-03 4.124468856775186792e-02 7.724027502428984331e-03 4.187961280096480325e-03 3.611309657221621356e-03 3.642778535047303066e-04 3.628919428828491795e-03 6.072033018440134954e-04 2.910076715842459250e-03 2.290845340362457523e-03 1.974353691171941601e-03 1.981025760549099584e-04 1.971712281753979987e-03 3.313360203927257028e-04 1.594779794135609647e-03 1.710594009145387966e-03 1.701223064767512668e-04 1.694824234479656768e-03 2.845038081032115950e-04 1.371886979882821480e-03 1.713836406695641283e-05 1.701596329062947236e-04 2.846115742931576962e-05 1.385823862410120425e-04 1.694249361909857653e-03 2.843665346224324595e-04 1.388383030123765439e-03 4.788911764655227833e-05 2.325224432244642452e-04 1.119080082798030746e-03
1.042590342492958760e-01 5.594959459225773424e-02 4.787713382167301662e-02 4.781106410702228547e-03 4.785775326202738184e-02 7.962157090587174135e-03 4.023401084047528720e-02 4.313010227657394606e-03 4.681935758365196945e-03 4.041169691251750122e-03 4.082262234431655317e-04 4.064214094528228148e-03 6.804526366769438148e-04 3.238946891124032997e-03 1.283832207291906672e-03 2.214881324593569612e-03 2.223548983987767510e-04 2.211372807844135847e-03 3.721151891366753536e-04 1.780081014820112349e-03 9.612243030920913532e-04 1.909996209578416701e-04 1.901639784743079436e-03 3.195971480506546586e-04 1.532130002545891703e-03 9.632649317831638088e-06 1.910459813103816793e-04 3.197228685974357840e-05 1.550292796921989489e-04 9.504273849558804313e-04 3.194114727840243004e-04 1.553707826851016350e-03 2.694233623828390332e-05 2.604095034282121151e-04 6.228423205316417806e-04 1.042590342492958760e-01 5.594959459225773424e-02 4.787713382167301662e-02 4.781106410702228547e-03 4.785775326202738184e-02 7.962157090587174135e-03 4.023401084047528720e-02 8.626020455314789212e-03 4.681935758365196945e-03 4.041169691251750122e-03 4.082262234431655317e-04 4.064214094528228148e-03 6.804526366769438148e-04 3.238946891124032997e-03 2.567664414583813344e-03 2.214881324593569612e-03 2.223548983987767510e-04 2.211372807844135847e-03 3.721151891366753536e-04 1.780081014820112349e-03 1.922448606184182706e-03 1.909996209578416701e-04 1.901639784743079436e-03 3.195971480506546586e-04 1.532130002545891703e-03 1.926529863566327618e-05 1.910459813103816793e-04 3.197228685974357840e-05 1.550292796921989489e-04 1.900854769911760863e-03 3.194114727840243004e-04 1.553707826851016350e-03 5.388467247656780664e-05 2.604095034282121151e-04 1.245684641063283561e-03
1.017871880961906811e-01 5.457172846150055295e-02 4.667621458939952284e-02 4.659375355740531105e-03 4.665219570370857105e-02 7.757672015307806417e-03 3.931598317121802466e-02 4.724051144472080077e-03 5.133378408065760942e-03 4.435059513042029743e-03 4.486595043624352951e-04 4.464020274075007448e-03 7.478357925864366658e-04 3.535756122733477169e-03 1.411230904243340658e-03 2.436796343818007238e-03 2.447613976166652570e-04 2.432324507524248787e-03 4.098496542813196059e-04 1.948699418706770128e-03 1.059437318989341981e-03 2.102993648203638601e-04 2.092511538595514999e-03 3.520876324125570608e-04 1.678156379933306696e-03 1.061904844835709626e-05 2.103546837233931138e-04 3.522272128952104675e-05 1.700888755503762208e-04 1.045742923245141258e-03 3.518470353343917381e-04 1.705260410548618648e-03 2.973000324313813749e-05 2.860251423016919414e-04 6.800152395038857591e-04 1.017871880961906811e-01 5.457172846150055295e-02 4.667621458939952284e-02 4.659375355740531105e-03 4.665219570370857105e-02 7.757672015307806417e-03 3.931598317121802466e-02 9.448102288944160154e-03 5.133378408065760942e-03 4.435059513042029743e-03 4.486595043624352951e-04 4.464020274075007448e-03 7.478357925864366658e-04 3.535756122733477169e-03 2.822461808486681316e-03 2.436796343818007238e-03 2.447613976166652570e-04 2.432324507524248787e-03 4.098496542813196059e-04 1.948699418706770128e-03 2.118874637978683962e-03 2.102993648203638601e-04 2.092511538595514999e-03 3.520876324125570608e-04 1.678156379933306696e-03 2.123809689671419252e-05 2.103546837233931138e-04 3.522272128952104675e-05 1.700888755503762208e-04 2.091485846490282515e-03 3.518470353343917381e-04 1.705260410548618648e-03 5.946000648627627498e-05 2.860251423016919414e-04 1.360030479007771518e-03
9.952697656752078348e-02 5.330513035037202224e-02 4.556944540623022316e-02 4.546962571260677530e-03 4.554057668510381324e-02 7.568614251722467073e-03 3.848105603803439467e-02 5.099198644931315916e-03 5.546538572290465180e-03 4.796533652808910621e-03 4.859212356596641445e-04 4.831827416635930961e-03 8.099244227373722949e-04 3.803880842484249833e-03 1.528693680659698982e-03 2.641900284497619017e-03 2.654996608297930001e-04 2.636377369332448383e-03 4.448311826075447236e-04 2.102335218750696691e-03 1.150676204671770633e-03 2.281723601284527580e-04 2.268971293583240019e-03 3.822231621959062313e-04 1.811401431212097089e-03 1.153570277227653068e-05 2.282363899724048880e-04 3.823717308918249972e-05 1.838992035152719996e-04 1.133837926457717136e-03 3.819214905451596325e-04 1.844413501911647485e-03 3.232741390706254535e-05 3.095934892882517219e-04 7.317101374017202092e-04 9.952697656752078348e-02 5.330513035037202224e-02 4.556944540623022316e-02 4.546962571260677530e-03 4.554057668510381324e-02 7.568614251722467073e-03 3.848105603803439467e-02 1.019839728986263183e-02 5.546538572290465180e-03 4.796533652808910621e-03 4.859212356596641445e-04 4.831827416635930961e-03 8.099244227373722949e-04 3.803880842484249833e-03 3.057387361319397964e-03 2.641900284497619017e-03 2.654996608297930001e-04 2.636377369332448383e-03 4.448311826075447236e-04 2.102335218750696691e-03 2.301352409343541267e-03 2.281723601284527580e-04 2.268971293583240019e-03 3.822231621959062313e-04 1.811401431212097089e-03 2.307140554455306135e-05 2.282363899724048880e-04 3.823717308918249972e-05 1.838992035152719996e-04 2.267675852915434272e-03 3.819214905451596325e-04 1.844413501911647485e-03 6.465482781412509069e-05 3.095934892882517219e-04 1.463420274803440418e-03
