# __s0 __s1 __s2 __s3 __s4 __s5 __s6 __s7 __s8 __s9 __s10 __s11 __s12 __s13 __s14 __s15 __s16 __s17 __s18 __s19 __s20 __s21 __s22 __s23 __s24 __s25 __s26 __s27 __s28 __s29 __s30 __s31 __s32 __s33 __s34 oT4 oT8 oNK oDC oM14 oM16 oB oT4_T4 oT4_T8 oT4_NK oT4_DC oT4_M14 oT4_M16 oT4_B oT8_T8 oT8_NK oT8_DC oT8_M14 oT8_M16 oT8_B oNK_NK oNK_DC oNK_M14 oNK_M16 oNK_B oDC_DC oDC_M14 oDC_M16 oDC_B oM14_M14 oM14_M16 oM14_B oM16_M16 oM16_B oB_B
1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.251405898408684825e-01 6.737799851235495852e-02 5.775028558359812658e-02 5.774832843848008539e-03 5.774947420917109914e-02 9.624532864211455749e-03 4.813573811513366385e-02 8.177721624177539724e-04 8.817801309069465011e-04 7.566107548796006770e-04 7.576881062312130490e-05 7.572515303163897780e-04 1.262946526535317442e-04 6.261599549164891367e-04 2.380403113734552766e-04 4.084581420325038661e-04 4.086889135960673970e-05 4.083862470924583678e-04 6.815796255356291555e-05 3.382694909530080483e-04 1.753681879468313486e-04 3.504324362879825025e-05 3.502230299082526705e-04 5.844083748240898627e-05 2.902020325766329440e-04 1.754332396977944082e-06 3.504616478584886215e-05 5.844653006291333720e-06 2.908672795436990531e-05 1.751046079795064029e-04 5.843728428141124677e-05 2.909723184855492585e-04 4.878139944477762144e-06 4.853546592238466688e-05 1.205179470289526115e-04 1.251405898408684825e-01 6.737799851235495852e-02 5.775028558359812658e-02 5.774832843848008539e-03 5.774947420917109914e-02 9.624532864211455749e-03 4.813573811513366385e-02 1.635544324835507945e-03 8.817801309069465011e-04 7.566107548796006770e-04 7.576881062312130490e-05 7.572515303163897780e-04 1.262946526535317442e-04 6.261599549164891367e-04 4.760806227469105531e-04 4.084581420325038661e-04 4.086889135960673970e-05 4.083862470924583678e-04 6.815796255356291555e-05 3.382694909530080483e-04 3.507363758936626972e-04 3.504324362879825025e-05 3.502230299082526705e-04 5.844083748240898627e-05 2.902020325766329440e-04 3.508664793955888165e-06 3.504616478584886215e-05 5.844653006291333720e-06 2.908672795436990531e-05 3.502092159590128057e-04 5.843728428141124677e-05 2.909723184855492585e-04 9.756279888955524289e-06 4.853546592238466688e-05 2.410358940579052230e-04
1.207598923113163969e-01 6.500411385598764413e-02 5.570913523843350895e-02 5.570171170755144896e-03 5.570607275703996081e-02 9.282901122850607811e-03 4.646402193627755667e-02 1.554012028692957530e-03 1.677690129916304188e-03 1.441050435144532746e-03 1.445159761900520056e-04 1.443499158546864220e-03 2.409081763571030660e-04 1.184419755142905378e-03 4.541132709919603922e-04 7.799583969292816273e-04 7.808312979632648255e-05 7.796747165624704412e-04 1.303033553866879760e-04 6.419498734373193811e-04 3.354733986994121674e-04 6.697597628000325257e-05 6.689606810355507808e-04 1.117619800168033483e-04 5.512104947614782091e-04 3.357105896578155690e-06 6.698666437286471828e-05 1.117816115113589476e-05 5.537470966131624530e-05 3.344508257060898443e-04 1.117472992578389404e-04 5.541570717722846219e-04 9.344375802174071993e-06 9.251115337547557798e-05 2.281775027858316124e-04 1.207598923113163969e-01 6.500411385598764413e-02 5.570913523843350895e-02 5.570171170755144896e-03 5.570607275703996081e-02 9.282901122850607811e-03 4.646402193627755667e-02 3.108024057385915060e-03 1.677690129916304188e-03 1.441050435144532746e-03 1.445159761900520056e-04 1.443499158546864220e-03 2.409081763571030660e-04 1.184419755142905378e-03 9.082265419839207843e-04 7.799583969292816273e-04 7.808312979632648255e-05 7.796747165624704412e-04 1.303033553866879760e-04 6.419498734373193811e-04 6.709467973988243348e-04 6.697597628000325257e-05 6.689606810355507808e-04 1.117619800168033483e-04 5.512104947614782091e-04 6.714211793156311381e-06 6.698666437286471828e-05 1.117816115113589476e-05 5.537470966131624530e-05 6.689016514121796887e-04 1.117472992578389404e-04 5.541570717722846219e-04 1.868875160434814399e-05 9.251115337547557798e-05 4.563550055716632248e-04
1.168004954028819542e-01 6.284894165352679363e-02 5.385195755358534314e-02 5.383609558555986323e-03 5.384544632782032464e-02 8.971144467264161732e-03 4.496137239998761886e-02 2.218549662877856120e-03 2.397962159954269458e-03 2.061868420707065226e-03 2.070696482599797055e-04 2.067138546719906374e-03 3.452144792120399419e-04 1.683152016509144788e-03 6.508079506603685598e-04 1.118836276563617933e-03 1.120696835471876298e-04 1.118207512559145919e-03 1.871374166859602933e-04 9.152293958422399968e-04 4.821022032283935727e-04 9.615968115381884026e-05 9.598792035069506198e-04 1.605573935060626155e-04 7.865370645203379873e-04 4.825894923108814234e-06 9.618172635237771917e-05 1.605953122818339399e-05 7.919838105624846822e-05 4.798697399757257233e-04 1.605235503599896859e-04 7.928836527298687223e-04 1.344633409280379098e-05 1.324704935579980845e-04 3.245782978982668268e-04 1.168004954028819542e-01 6.284894165352679363e-02 5.385195755358534314e-02 5.383609558555986323e-03 5.384544632782032464e-02 8.971144467264161732e-03 4.496137239998761886e-02 4.437099325755712240e-03 2.397962159954269458e-03 2.061868420707065226e-03 2.070696482599797055e-04 2.067138546719906374e-03 3.452144792120399419e-04 1.683152016509144788e-03 1.301615901320737120e-03 1.118836276563617933e-03 1.120696835471876298e-04 1.118207512559145919e-03 1.871374166859602933e-04 9.152293958422399968e-04 9.642044064567871454e-04 9.615968115381884026e-05 9.598792035069506198e-04 1.605573935060626155e-04 7.865370645203379873e-04 9.651789846217628468e-06 9.618172635237771917e-05 1.605953122818339399e-05 7.919838105624846822e-05 9.597394799514514466e-04 1.605235503599896859e-04 7.928836527298687223e-04 2.689266818560758195e-05 1.324704935579980845e-04 6.491565957965336536e-04
1.132134704446432910e-01 6.088741811575106022e-02 5.215779099103247385e-02 5.213097605433101960e-03 5.214683874890251730e-02 8.685887182598415329e-03 4.360778849301694821e-02 2.819759321986668472e-03 3.051319148999574651e-03 2.626353040977232132e-03 2.641355559183520738e-04 2.635324783640634674e-03 4.403846819559844032e-04 2.129493699891661217e-03 8.303308162638898138e-04 1.428786716118909212e-03 1.431925199680131658e-04 1.427686805647865320e-03 2.392578346373556649e-04 1.161677226349395889e-03 6.167762502894741285e-04 1.229026521876599803e-04 1.226105689485757887e-03 2.053335909432937368e-04 9.991748186757186054e-04 6.175683731433761731e-06 1.229386502984229201e-04 2.053911280888955345e-05 1.008425359226920964e-04 6.129236905356307647e-04 2.052723417115929366e-04 1.009985599241960443e-03 1.722461895062386744e-05 1.688760174432232851e-04 4.110808047292018692e-04 1.132134704446432910e-01 6.088741811575106022e-02 5.215779099103247385e-02 5.213097605433101960e-03 5.214683874890251730e-02 8.685887182598415329e-03 4.360778849301694821e-02 5.639518643973336944e-03 3.051319148999574651e-03 2.626353040977232132e-03 2.641355559183520738e-04 2.635324783640634674e-03 4.403846819559844032e-04 2.129493699891661217e-03 1.660661632527779628e-03 1.428786716118909212e-03 1.431925199680131658e-04 1.427686805647865320e-03 2.392578346373556649e-04 1.161677226349395889e-03 1.233552500578948257e-03 1.229026521876599803e-04 1.226105689485757887e-03 2.053335909432937368e-04 9.991748186757186054e-04 1.235136746286752346e-05 1.229386502984229201e-04 2.053911280888955345e-05 1.008425359226920964e-04 1.225847381071261529e-03 2.052723417115929366e-04 1.009985599241960443e-03 3.444923790124773487e-05 1.688760174432232851e-04 8.221616094584037384e-04
1.099569073260818347e-01 5.909807005750649517e-02 5.060867647152232640e-02 5.056878539684672713e-03 5.059246578627550617e-02 8.424237039881885339e-03 4.238614709950413312e-02 3.364811259980836442e-03 3.645235294929861057e-03 3.140749374449426298e-03 3.163181939241803734e-04 3.154186992124205068e-03 5.274221773216169638e-04 2.529558121207262870e-03 9.945719455867817020e-04 1.712974952744694690e-03 1.717635012508619591e-04 1.711285399914014771e-03 2.871766663366209066e-04 1.384350236143831606e-03 7.407982447205937017e-04 1.474691764165898399e-04 1.470321104588032590e-03 2.465247373794674087e-04 1.191687693458264854e-03 7.419314101112517807e-06 1.475209360574000999e-04 2.466009004366395948e-05 1.205509344204056920e-04 7.349525783568073038e-04 2.464278160945829882e-04 1.207886808232644252e-03 2.071402625413719896e-05 2.021234204338879159e-04 4.888478432997914788e-04 1.099569073260818347e-01 5.909807005750649517e-02 5.060867647152232640e-02 5.056878539684672713e-03 5.059246578627550617e-02 8.424237039881885339e-03 4.238614709950413312e-02 6.729622519961672884e-03 3.645235294929861057e-03 3.140749374449426298e-03 3.163181939241803734e-04 3.154186992124205068e-03 5.274221773216169638e-04 2.529558121207262870e-03 1.989143891173563404e-03 1.712974952744694690e-03 1.717635012508619591e-04 1.711285399914014771e-03 2.871766663366209066e-04 1.384350236143831606e-03 1.481596489441187403e-03 1.474691764165898399e-04 1.470321104588032590e-03 2.465247373794674087e-04 1.191687693458264854e-03 1.483862820222503561e-05 1.475209360574000999e-04 2.466009004366395948e-05 1.205509344204056920e-04 1.469905156713614608e-03 2.464278160945829882e-04 1.207886808232644252e-03 4.142805250827439793e-05 2.021234204338879159e-04 9.776956865995829575e-04
1.069946582516227707e-01 5.746237162284448252e-02 4.918911919959999962e-02 4.913436559291304434e-03 4.916698229283732180e-02 8.183698563117009286e-03 4.128168834120309050e-02 3.859887592195384524e-03 4.186159511284493102e-03 3.610446068444118223e-03 3.641389933614798944e-04 3.629012375096551946e-03 6.071927032319805653e-04 2.888616912567907626e-03 1.145161814958723127e-03 1.974131621267777737e-03 1.980517313662194631e-04 1.971741591587264798e-03 3.313357092091527610e-04 1.585884582523114893e-03 8.552913699059022353e-04 1.700874139872478297e-04 1.694840126136345918e-03 2.845056123125090739e-04 1.366287218440181191e-03 8.567869502607549910e-06 1.701561188309905139e-04 2.845976240950380518e-05 1.385336817480383766e-04 8.471136165922318407e-04 2.843648648027458027e-04 1.388675397524324895e-03 2.394458553502542368e-05 2.325536138470481510e-04 5.588801260731544006e-04 1.069946582516227707e-01 5.746237162284448252e-02 4.918911919959999962e-02 4.913436559291304434e-03 4.916698229283732180e-02 8.183698563117009286e-03 4.128168834120309050e-02 7.719775184390769047e-03 4.186159511284493102e-03 3.610446068444118223e-03 3.641389933614798944e-04 3.629012375096551946e-03 6.071927032319805653e-04 2.888616912567907626e-03 2.290323629917446254e-03 1.974131621267777737e-03 1.980517313662194631e-04 1.971741591587264798e-03 3.313357092091527610e-04 1.585884582523114893e-03 1.710582739811804471e-03 1.700874139872478297e-04 1.694840126136345918e-03 2.845056123125090739e-04 1.366287218440181191e-03 1.713573900521509982e-05 1.701561188309905139e-04 2.845976240950380518e-05 1.385336817480383766e-04 1.694227233184463681e-03 2.843648648027458027e-04 1.388675397524324895e-03 4.788917107005084736e-05 2.325536138470481510e-04 1.117760252146308801e-03
1.042954000485962346e-01 5.596426451632689758e-02 4.788568743414148982e-02 4.781457586028096084e-03 4.785708502113183299e-02 7.962108402489027209e-03 4.028163103544760149e-02 4.310343385567921674e-03 4.679682178798726805e-03 4.040114696398099808e-03 4.080498647425575176e-04 4.064383426364304511e-03 6.804467613976247688e-04 3.211236252566680369e-03 1.283513619683379929e-03 2.214623602318976578e-03 2.222905196845459809e-04 2.211429869188828116e-03 3.721179495179795303e-04 1.768564124797243967e-03 9.612286269994556711e-04 1.909552701720943629e-04 1.901670653581015316e-03 3.196012662683418259e-04 1.524889823121058485e-03 9.630961193213029563e-06 1.910416086364036487e-04 3.197049920975197375e-05 1.549727291401241120e-04 9.504109685504351151e-04 3.194087478400442601e-04 1.554158736156714508e-03 2.694233561249060525e-05 2.604617020522518624e-04 6.220427983591698485e-04 1.042954000485962346e-01 5.596426451632689758e-02 4.788568743414148982e-02 4.781457586028096084e-03 4.785708502113183299e-02 7.962108402489027209e-03 4.028163103544760149e-02 8.620686771135843349e-03 4.679682178798726805e-03 4.040114696398099808e-03 4.080498647425575176e-04 4.064383426364304511e-03 6.804467613976247688e-04 3.211236252566680369e-03 2.567027239366759857e-03 2.214623602318976578e-03 2.222905196845459809e-04 2.211429869188828116e-03 3.721179495179795303e-04 1.768564124797243967e-03 1.922457253998911342e-03 1.909552701720943629e-04 1.901670653581015316e-03 3.196012662683418259e-04 1.524889823121058485e-03 1.926192238642605913e-05 1.910416086364036487e-04 3.197049920975197375e-05 1.549727291401241120e-04 1.900821937100870230e-03 3.194087478400442601e-04 1.554158736156714508e-03 5.388467122498121051e-05 2.604617020522518624e-04 1.244085596718339697e-03
1.018318835807847517e-01 5.458977352129482097e-02 4.668669075832048571e-02 4.659797779462872963e-03 4.665119406382831763e-02 7.757583470326710057e-03 3.937486530762804998e-02 4.720835510157677002e-03 5.130668690282093325e-03 4.433821426632510686e-03 4.484440557522211901e-04 4.464287903223910538e-03 7.478375962357520709e-04 3.501385726773477858e-03 1.410857206131274546e-03 2.436510862058543711e-03 2.446829708214247963e-04 2.432417649247073290e-03 4.098567551421812083e-04 1.934375138891277065e-03 1.059456388043851678e-03 2.102451117996409870e-04 2.092561593475174980e-03 3.520947793704639521e-04 1.669162692255464400e-03 1.061695814117545762e-05 2.103493817690927400e-04 3.522050687517590397e-05 1.700262772372186572e-04 1.045719552082325461e-03 3.518428251646277586e-04 1.705907479127187791e-03 2.972994832769323487e-05 2.861041702297094217e-04 6.790866039288067811e-04 1.018318835807847517e-01 5.458977352129482097e-02 4.668669075832048571e-02 4.659797779462872963e-03 4.665119406382831763e-02 7.757583470326710057e-03 3.937486530762804998e-02 9.441671020315354004e-03 5.130668690282093325e-03 4.433821426632510686e-03 4.484440557522211901e-04 4.464287903223910538e-03 7.478375962357520709e-04 3.501385726773477858e-03 2.821714412262549092e-03 2.436510862058543711e-03 2.446829708214247963e-04 2.432417649247073290e-03 4.098567551421812083e-04 1.934375138891277065e-03 2.118912776087703356e-03 2.102451117996409870e-04 2.092561593475174980e-03 3.520947793704639521e-04 1.669162692255464400e-03 2.123391628235091525e-05 2.103493817690927400e-04 3.522050687517590397e-05 1.700262772372186572e-04 2.091439104164650922e-03 3.518428251646277586e-04 1.705907479127187791e-03 5.945989665538646974e-05 2.861041702297094217e-04 1.358173207857613562e-03
9.958027805466730664e-02 5.332667104019271631e-02 4.558189954069595540e-02 4.547456097503205230e-03 4.553917515249343573e-02 7.568475756285688444e-03 3.855168366346922032e-02 5.095435214858589842e-03 5.543376066421270426e-03 4.795124472273693678e-03 4.856656172007188976e-04 4.832214737436693781e-03 8.099368697295772357e-04 3.762533752553652404e-03 1.528268650558745273e-03 2.641595972310073655e-03 2.654068534341918464e-04 2.636514718530870178e-03 4.448438792552024965e-04 2.085054168738165181e-03 1.150714890174575492e-03 2.281078750425923572e-04 2.269044494040722403e-03 3.822340160402101891e-04 1.800563849247576158e-03 1.153318711511526331e-05 2.282300669911183023e-04 3.823449707582890993e-05 1.838326185221094637e-04 1.133805783009941923e-03 3.819152886473306790e-04 1.845293975840033799e-03 3.232727100368501885e-05 3.097051509588081880e-04 7.306664103351893707e-04 9.958027805466730664e-02 5.332667104019271631e-02 4.558189954069595540e-02 4.547456097503205230e-03 4.553917515249343573e-02 7.568475756285688444e-03 3.855168366346922032e-02 1.019087042971717968e-02 5.543376066421270426e-03 4.795124472273693678e-03 4.856656172007188976e-04 4.832214737436693781e-03 8.099368697295772357e-04 3.762533752553652404e-03 3.056537301117490547e-03 2.641595972310073655e-03 2.654068534341918464e-04 2.636514718530870178e-03 4.448438792552024965e-04 2.085054168738165181e-03 2.301429780349150984e-03 2.281078750425923572e-04 2.269044494040722403e-03 3.822340160402101891e-04 1.800563849247576158e-03 2.306637423023052662e-05 2.282300669911183023e-04 3.823449707582890993e-05 1.838326185221094637e-04 2.267611566019883847e-03 3.819152886473306790e-04 1.845293975840033799e-03 6.465454200737003770e-05 3.097051509588081880e-04 1.461332820670378741e-03
