# __s0 __s1 __s2 __s3 __s4 __s5 __s6 __s7 __s8 __s9 __s10 __s11 __s12 __s13 __s14 __s15 __s16 __s17 __s18 __s19 __s20 __s21 __s22 __s23 __s24 __s25 __s26 __s27 __s28 __s29 __s30 __s31 __s32 __s33 __s34 oT4 oT8 oNK oDC oM14 oM16 oB oT4_T4 oT4_T8 oT4_NK oT4_DC oT4_M14 oT4_M16 oT4_B oT8_T8 oT8_NK oT8_DC oT8_M14 oT8_M16 oT8_B oNK_NK oNK_DC oNK_M14 oNK_M16 oNK_B oDC_DC oDC_M14 oDC_M16 oDC_B oM14_M14 oM14_M16 oM14_B oM16_M16 oM16_B oB_B
1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.251395171253291971e-01 6.737757724958508276e-02 5.775004876671637616e-02 5.774823533657073502e-03 5.774949125352622781e-02 9.624532310910784844e-03 4.813437013831799172e-02 8.178594471981381030e-04 8.818523881066694416e-04 7.566474270653408222e-04 7.577393399972790866e-05 7.572516287439598004e-04 1.262958451692092318e-04 6.269427571896231920e-04 2.380510289055193371e-04 4.084671772385518830e-04 4.087054380773454067e-05 4.083837800412126761e-04 6.815804519409119299e-05 3.385887582156655098e-04 1.753683889521282283e-04 3.504360075565469854e-05 3.502129092392836638e-04 5.843974196313876982e-05 2.904035991173842886e-04 1.754354579826575589e-06 3.504582210271494481e-05 5.844653007956890180e-06 2.908920350948316624e-05 1.751032146508412304e-04 5.843709049797066554e-05 2.909710865469434431e-04 4.878137294230198047e-06 4.853603866838483678e-05 1.205492092172676566e-04 1.251395171253291971e-01 6.737757724958508276e-02 5.775004876671637616e-02 5.774823533657073502e-03 5.774949125352622781e-02 9.624532310910784844e-03 4.813437013831799172e-02 1.635718894396276206e-03 8.818523881066694416e-04 7.566474270653408222e-04 7.577393399972790866e-05 7.572516287439598004e-04 1.262958451692092318e-04 6.269427571896231920e-04 4.761020578110386741e-04 4.084671772385518830e-04 4.087054380773454067e-05 4.083837800412126761e-04 6.815804519409119299e-05 3.385887582156655098e-04 3.507367779042564566e-04 3.504360075565469854e-05 3.502129092392836638e-04 5.843974196313876982e-05 2.904035991173842886e-04 3.508709159653151179e-06 3.504582210271494481e-05 5.844653007956890180e-06 2.908920350948316624e-05 3.502064293016824608e-04 5.843709049797066554e-05 2.909710865469434431e-04 9.756274588460396094e-06 4.853603866838483678e-05 2.410984184345353132e-04
1.207558970329161013e-01 6.500254615398401437e-02 5.570826084127337291e-02 5.570137929129632785e-03 5.570615892085428039e-02 9.282902587036786363e-03 4.645888554361436024e-02 1.554329820794602768e-03 1.677951994680970628e-03 1.441180160326398230e-03 1.445347987104228147e-04 1.443492415824407238e-03 2.409115239396954601e-04 1.187372432012801090e-03 4.541510680021023445e-04 7.799883454486187260e-04 7.808913418943464672e-05 7.796624799824815799e-04 1.303031897921000208e-04 6.431565659182049638e-04 3.354725368403486127e-04 6.697712867631684089e-05 6.689202209795704025e-04 1.117574839670622207e-04 5.519707456479476179e-04 3.357185469574525861e-06 6.698529931390319466e-05 1.117815151136222003e-05 5.538318752977760358e-05 3.344456370512464993e-04 1.117465870785517174e-04 5.541428018643045376e-04 9.344366491477979367e-06 9.251174369148495004e-05 2.282884898605641610e-04 1.207558970329161013e-01 6.500254615398401437e-02 5.570826084127337291e-02 5.570137929129632785e-03 5.570615892085428039e-02 9.282902587036786363e-03 4.645888554361436024e-02 3.108659641589205536e-03 1.677951994680970628e-03 1.441180160326398230e-03 1.445347987104228147e-04 1.443492415824407238e-03 2.409115239396954601e-04 1.187372432012801090e-03 9.083021360042046891e-04 7.799883454486187260e-04 7.808913418943464672e-05 7.796624799824815799e-04 1.303031897921000208e-04 6.431565659182049638e-04 6.709450736806972255e-04 6.697712867631684089e-05 6.689202209795704025e-04 1.117574839670622207e-04 5.519707456479476179e-04 6.714370939149051721e-06 6.698529931390319466e-05 1.117815151136222003e-05 5.538318752977760358e-05 6.688912741024929986e-04 1.117465870785517174e-04 5.541428018643045376e-04 1.868873298295595873e-05 9.251174369148495004e-05 4.565769797211283220e-04
1.167921073412930832e-01 6.284565211406750729e-02 5.385013661895151488e-02 5.383542604121983183e-03 5.384567286720101653e-02 8.971154622605269705e-03 4.495050532959381229e-02 2.219202211803402488e-03 2.398497390825927913e-03 2.062127013439829515e-03 2.071086781107145630e-04 2.067110145250359958e-03 3.452193209856155450e-04 1.689425686487664282e-03 6.508830322229992209e-04 1.118891682786793797e-03 1.120820018724502762e-04 1.118175720988951165e-03 1.871361232814101644e-04 9.177989017310054544e-04 4.820971352846239056e-04 9.616175040616311447e-05 9.597886991418455929e-04 1.605471203227366709e-04 7.881528443818517369e-04 4.826056641633933853e-06 9.617869581701015671e-05 1.605949431205382370e-05 7.921466207635671514e-05 4.798589586481520706e-04 1.605221117470444442e-04 7.928338425574602737e-04 1.344631876626041520e-05 1.324685692133481746e-04 3.248000819792566424e-04 1.167921073412930832e-01 6.284565211406750729e-02 5.385013661895151488e-02 5.383542604121983183e-03 5.384567286720101653e-02 8.971154622605269705e-03 4.495050532959381229e-02 4.438404423606804976e-03 2.398497390825927913e-03 2.062127013439829515e-03 2.071086781107145630e-04 2.067110145250359958e-03 3.452193209856155450e-04 1.689425686487664282e-03 1.301766064445998442e-03 1.118891682786793797e-03 1.120820018724502762e-04 1.118175720988951165e-03 1.871361232814101644e-04 9.177989017310054544e-04 9.641942705692478112e-04 9.616175040616311447e-05 9.597886991418455929e-04 1.605471203227366709e-04 7.881528443818517369e-04 9.652113283267867706e-06 9.617869581701015671e-05 1.605949431205382370e-05 7.921466207635671514e-05 9.597179172963041412e-04 1.605221117470444442e-04 7.928338425574602737e-04 2.689263753252083041e-05 1.324685692133481746e-04 6.496001639585132848e-04
1.131995282775444117e-01 6.088195215099039687e-02 5.215478718381895418e-02 5.212990746867500816e-03 5.214728789280489302e-02 8.685915308120985973e-03 4.358959360541359018e-02 2.820820652670248500e-03 3.052185678620619996e-03 2.626761009919089014e-03 2.641997106667421519e-04 2.635255017624326887e-03 4.403892766165205569e-04 2.140039723667776141e-03 8.304487974918304009e-04 1.428866885712991655e-03 1.432125612292419641e-04 1.427624317033284991e-03 2.392541924580532614e-04 1.166006618971788134e-03 6.167626112912824327e-04 1.229055474535069282e-04 1.225946432292359138e-03 2.053151949271878030e-04 1.001892523293320889e-03 6.175945407373303188e-06 1.229333761367255634e-04 2.053902974483320142e-05 1.008671370867022144e-04 6.129061452135041747e-04 2.052701065847951803e-04 1.009870567096590559e-03 1.722460564144810143e-05 1.688676802647265829e-04 4.114310721027640517e-04 1.131995282775444117e-01 6.088195215099039687e-02 5.215478718381895418e-02 5.212990746867500816e-03 5.214728789280489302e-02 8.685915308120985973e-03 4.358959360541359018e-02 5.641641305340497001e-03 3.052185678620619996e-03 2.626761009919089014e-03 2.641997106667421519e-04 2.635255017624326887e-03 4.403892766165205569e-04 2.140039723667776141e-03 1.660897594983660802e-03 1.428866885712991655e-03 1.432125612292419641e-04 1.427624317033284991e-03 2.392541924580532614e-04 1.166006618971788134e-03 1.233525222582564865e-03 1.229055474535069282e-04 1.225946432292359138e-03 2.053151949271878030e-04 1.001892523293320889e-03 1.235189081474660638e-05 1.229333761367255634e-04 2.053902974483320142e-05 1.008671370867022144e-04 1.225812290427008349e-03 2.052701065847951803e-04 1.009870567096590559e-03 3.444921128289620286e-05 1.688676802647265829e-04 8.228621442055281034e-04
1.099365025890197273e-01 5.909007122147947461e-02 5.060431131444455277e-02 5.056728252978885153e-03 5.059322507801804897e-02 8.424293966434086636e-03 4.235933286176062074e-02 3.366331860629358762e-03 3.646471121763582811e-03 3.141315839570947045e-03 3.164111584567650196e-04 3.154053354910653362e-03 5.274240889941576079e-04 2.545158126025458354e-03 9.947350179447581563e-04 1.713075478723447920e-03 1.717922567349154564e-04 1.711180471306888128e-03 2.871692556678954794e-04 1.390770158434300342e-03 7.407709106972796024e-04 1.474726666148605883e-04 1.470075642512542243e-03 2.464959658381741451e-04 1.195711270900882582e-03 7.419688921812076982e-06 1.475129173834782172e-04 2.465994447784509693e-05 1.205834255096255482e-04 7.349276921242376076e-04 2.464248535875566189e-04 1.207672298032339388e-03 2.071403127406411696e-05 2.021038624521575959e-04 4.893339984423264281e-04 1.099365025890197273e-01 5.909007122147947461e-02 5.060431131444455277e-02 5.056728252978885153e-03 5.059322507801804897e-02 8.424293966434086636e-03 4.235933286176062074e-02 6.732663721258717524e-03 3.646471121763582811e-03 3.141315839570947045e-03 3.164111584567650196e-04 3.154053354910653362e-03 5.274240889941576079e-04 2.545158126025458354e-03 1.989470035889516313e-03 1.713075478723447920e-03 1.717922567349154564e-04 1.711180471306888128e-03 2.871692556678954794e-04 1.390770158434300342e-03 1.481541821394559205e-03 1.474726666148605883e-04 1.470075642512542243e-03 2.464959658381741451e-04 1.195711270900882582e-03 1.483937784362415396e-05 1.475129173834782172e-04 2.465994447784509693e-05 1.205834255096255482e-04 1.469855384248475215e-03 2.464248535875566189e-04 1.207672298032339388e-03 4.142806254812823392e-05 2.021038624521575959e-04 9.786679968846528563e-04
1.069670911959312853e-01 5.745156398032397888e-02 4.918326079244164650e-02 4.913241315291944945e-03 4.916814081471110320e-02 8.183795950817099318e-03 4.124522063429871682e-02 3.861899474201015928e-03 4.187787121715886608e-03 3.611171639251483604e-03 3.642634859067900429e-04 3.628790976103918407e-03 6.071890695620459598e-04 2.909907563126565982e-03 1.145369603356175599e-03 1.974245477921941945e-03 1.980898726997596326e-04 1.971582367302735471e-03 3.313230070431456473e-04 1.594668966280226230e-03 8.552447760752535533e-04 1.700911767255909026e-04 1.694492373789178562e-03 2.844643397498928844e-04 1.371784647969722824e-03 8.568367517753497429e-06 1.701449342470913396e-04 2.845954229274832111e-05 1.385729378005669938e-04 8.470813472750316105e-04 2.843613730391860318e-04 1.388324466256711000e-03 2.394463326297160185e-05 2.325174509699392991e-04 5.595016666487928180e-04 1.069670911959312853e-01 5.745156398032397888e-02 4.918326079244164650e-02 4.913241315291944945e-03 4.916814081471110320e-02 8.183795950817099318e-03 4.124522063429871682e-02 7.723798948402031857e-03 4.187787121715886608e-03 3.611171639251483604e-03 3.642634859067900429e-04 3.628790976103918407e-03 6.071890695620459598e-04 2.909907563126565982e-03 2.290739206712351199e-03 1.974245477921941945e-03 1.980898726997596326e-04 1.971582367302735471e-03 3.313230070431456473e-04 1.594668966280226230e-03 1.710489552150507107e-03 1.700911767255909026e-04 1.694492373789178562e-03 2.844643397498928844e-04 1.371784647969722824e-03 1.713673503550699486e-05 1.701449342470913396e-04 2.845954229274832111e-05 1.385729378005669938e-04 1.694162694550063221e-03 2.843613730391860318e-04 1.388324466256711000e-03 4.788926652594320370e-05 2.325174509699392991e-04 1.119003333297585636e-03
1.042601427155642885e-01 5.595043790292181934e-02 4.787824103693452682e-02 4.781217291497627184e-03 4.785873027458369816e-02 7.962258143606076519e-03 4.023469282199307329e-02 4.312864241098103742e-03 4.681712191490366298e-03 4.040993841001531972e-03 4.082078593239452840e-04 4.064050166288486927e-03 6.804345158615233632e-04 3.238730228273652145e-03 1.283763889339806057e-03 2.214742050404991391e-03 2.223384818344678712e-04 2.211204799515901001e-03 3.720984108377891502e-04 1.779938384315077815e-03 9.611570329816550859e-04 1.909589339891986683e-04 1.901205999394958495e-03 3.195455253309138245e-04 1.531998546980535211e-03 9.631590687923207494e-06 1.910269212473597394e-04 3.197019879841984480e-05 1.550171319331348509e-04 9.503717796774184242e-04 3.194050518737809145e-04 1.553633227740969540e-03 2.694245881097267106e-05 2.604032360695510400e-04 6.227932113470212219e-04 1.042601427155642885e-01 5.595043790292181934e-02 4.787824103693452682e-02 4.781217291497627184e-03 4.785873027458369816e-02 7.962258143606076519e-03 4.023469282199307329e-02 8.625728482196207483e-03 4.681712191490366298e-03 4.040993841001531972e-03 4.082078593239452840e-04 4.064050166288486927e-03 6.804345158615233632e-04 3.238730228273652145e-03 2.567527778679612113e-03 2.214742050404991391e-03 2.223384818344678712e-04 2.211204799515901001e-03 3.720984108377891502e-04 1.779938384315077815e-03 1.922314065963310172e-03 1.909589339891986683e-04 1.901205999394958495e-03 3.195455253309138245e-04 1.531998546980535211e-03 1.926318137584641499e-05 1.910269212473597394e-04 3.197019879841984480e-05 1.550171319331348509e-04 1.900743559354836848e-03 3.194050518737809145e-04 1.553633227740969540e-03 5.388491762194534213e-05 2.604032360695510400e-04 1.245586422694042444e-03
1.017885502416230326e-01 5.457277194906069023e-02 4.667759157393260028e-02 4.659513379599336882e-03 4.665341009769487929e-02 7.757797310203945300e-03 3.931682314469223116e-02 4.723871877724691686e-03 5.133102591213150982e-03 4.434844188911746775e-03 4.486369454240575418e-04 4.463819206177270515e-03 7.478136130700591870e-04 3.535489458131310832e-03 1.411146374395283280e-03 2.436624075328875164e-03 2.447410102328333864e-04 2.432115722008509721e-03 4.098288615534669086e-04 1.948523041811952737e-03 1.059354046780670248e-03 2.102482820859393885e-04 2.091966891976135539e-03 3.520227709570994965e-04 1.677994123246255792e-03 1.061772637252149823e-05 2.103309351814969122e-04 3.522012706858750254e-05 1.700738676627057313e-04 1.045674350609364367e-03 3.518393627387238817e-04 1.705169083004267174e-03 2.973018737334090473e-05 2.860175796614309522e-04 6.799548508949312042e-04 1.017885502416230326e-01 5.457277194906069023e-02 4.667759157393260028e-02 4.659513379599336882e-03 4.665341009769487929e-02 7.757797310203945300e-03 3.931682314469223116e-02 9.447743755449383371e-03 5.133102591213150982e-03 4.434844188911746775e-03 4.486369454240575418e-04 4.463819206177270515e-03 7.478136130700591870e-04 3.535489458131310832e-03 2.822292748790566561e-03 2.436624075328875164e-03 2.447410102328333864e-04 2.432115722008509721e-03 4.098288615534669086e-04 1.948523041811952737e-03 2.118708093561340496e-03 2.102482820859393885e-04 2.091966891976135539e-03 3.520227709570994965e-04 1.677994123246255792e-03 2.123545274504299647e-05 2.103309351814969122e-04 3.522012706858750254e-05 1.700738676627057313e-04 2.091348701218728734e-03 3.518393627387238817e-04 1.705169083004267174e-03 5.946037474668180946e-05 2.860175796614309522e-04 1.359909701789862408e-03
9.952860089808272803e-02 5.330638321337891061e-02 4.557110686926296034e-02 4.547129263966621579e-03 4.554204121428448437e-02 7.568765011722273194e-03 3.848205981021063371e-02 5.098984995445210618e-03 5.546208377782516595e-03 4.796277813793171571e-03 4.858943443738840710e-04 4.831588089710034915e-03 8.098980730622256253e-04 3.803562412305056331e-03 1.528592188251463955e-03 2.641693522100921603e-03 2.654750943183032644e-04 2.636125627840916856e-03 4.448061755967058599e-04 2.102123612478876222e-03 1.150576175539278585e-03 2.281101541015228119e-04 2.268308043156541404e-03 3.821441151959062595e-04 1.811207131310465113e-03 1.153410090253754777e-05 2.282076817340569753e-04 3.823404566297336878e-05 1.838812140375641719e-04 1.133755869530777855e-03 3.819125989450963040e-04 1.844305005267384478e-03 3.232767328725140855e-05 3.095846332403033563e-04 7.316380905748398958e-04 9.952860089808272803e-02 5.330638321337891061e-02 4.557110686926296034e-02 4.547129263966621579e-03 4.554204121428448437e-02 7.568765011722273194e-03 3.848205981021063371e-02 1.019796999089042124e-02 5.546208377782516595e-03 4.796277813793171571e-03 4.858943443738840710e-04 4.831588089710034915e-03 8.098980730622256253e-04 3.803562412305056331e-03 3.057184376502927910e-03 2.641693522100921603e-03 2.654750943183032644e-04 2.636125627840916856e-03 4.448061755967058599e-04 2.102123612478876222e-03 2.301152351078557170e-03 2.281101541015228119e-04 2.268308043156541404e-03 3.821441151959062595e-04 1.811207131310465113e-03 2.306820180507509555e-05 2.282076817340569753e-04 3.823404566297336878e-05 1.838812140375641719e-04 2.267511739061555710e-03 3.819125989450963040e-04 1.844305005267384478e-03 6.465534657450281711e-05 3.095846332403033563e-04 1.463276181149679792e-03
