# __s0 __s1 __s2 __s3 __s4 __s5 __s6 __s7 __s8 __s9 __s10 __s11 __s12 __s13 __s14 __s15 __s16 __s17 __s18 __s19 __s20 __s21 __s22 __s23 __s24 __s25 __s26 __s27 __s28 __s29 __s30 __s31 __s32 __s33 __s34 oT4 oT8 oNK oDC oM14 oM16 oB oT4_T4 oT4_T8 oT4_NK oT4_DC oT4_M14 oT4_M16 oT4_B oT8_T8 oT8_NK oT8_DC oT8_M14 oT8_M16 oT8_B oNK_NK oNK_DC oNK_M14 oNK_M16 oNK_B oDC_DC oDC_M14 oDC_M16 oDC_B oM14_M14 oM14_M16 oM14_B oM16_M16 oM16_B oB_B
1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.251424264161925815e-01 6.737854258922967854e-02 5.775071925640955922e-02 5.775128480030767772e-03 5.775471558357420099e-02 9.624683044067522397e-03 4.813544961160925312e-02 8.176930158605539515e-04 8.817624676436330378e-04 7.566000868153174809e-04 7.566229092852190942e-05 7.550667061007388433e-04 1.262448336484634588e-04 6.268511669497021021e-04 2.380465466229638837e-04 4.084677441456637404e-04 4.083107892281486671e-05 4.075752419070778924e-04 6.814334428402572818e-05 3.385844406212118896e-04 1.753713242625170774e-04 3.501384933654420206e-05 3.496169572092303578e-04 5.842969176652681193e-05 2.904097657921308161e-04 1.752218535323664560e-06 3.498717912928067219e-05 5.840176966104103831e-06 2.903250761532393299e-05 1.747993928808518527e-04 5.838822084663771405e-05 2.900513254711183098e-04 4.876953711309222474e-06 4.851678099810054971e-05 1.205522004715787841e-04 1.251424264161925815e-01 6.737854258922967854e-02 5.775071925640955922e-02 5.775128480030767772e-03 5.775471558357420099e-02 9.624683044067522397e-03 4.813544961160925312e-02 1.635386031721107903e-03 8.817624676436330378e-04 7.566000868153174809e-04 7.566229092852190942e-05 7.550667061007388433e-04 1.262448336484634588e-04 6.268511669497021021e-04 4.760930932459277675e-04 4.084677441456637404e-04 4.083107892281486671e-05 4.075752419070778924e-04 6.814334428402572818e-05 3.385844406212118896e-04 3.507426485250341548e-04 3.501384933654420206e-05 3.496169572092303578e-04 5.842969176652681193e-05 2.904097657921308161e-04 3.504437070647329119e-06 3.498717912928067219e-05 5.840176966104103831e-06 2.903250761532393299e-05 3.495987857617037053e-04 5.838822084663771405e-05 2.900513254711183098e-04 9.753907422618444948e-06 4.851678099810054971e-05 2.411044009431575683e-04
1.207667483097332878e-01 6.500612194673363597e-02 5.571073204520858579e-02 5.571288682647007259e-03 5.572590002428289002e-02 9.283463117731352923e-03 4.646290362444610578e-02 1.553737080789456418e-03 1.677645598995624546e-03 1.441028841211572419e-03 1.441125311744948293e-04 1.435212665038102225e-03 2.407210266462033387e-04 1.187056865621857965e-03 4.541416440279957834e-04 7.800026274467777116e-04 7.794029124300681896e-05 7.766029829389519551e-04 1.302488221132300759e-04 6.431544424728135451e-04 3.354884955572544629e-04 6.686507904257579305e-05 6.666681446769334458e-04 1.117205178986277182e-04 5.520057534004357315e-04 3.349157232274382267e-06 6.676525421352427010e-05 1.116134786879730595e-05 5.516849934604930956e-05 3.333135098059650334e-04 1.115653419933313253e-04 5.506585672443235465e-04 9.339963825762402394e-06 9.243989809693032059e-05 2.283061746857375065e-04 1.207667483097332878e-01 6.500612194673363597e-02 5.571073204520858579e-02 5.571288682647007259e-03 5.572590002428289002e-02 9.283463117731352923e-03 4.646290362444610578e-02 3.107474161578912836e-03 1.677645598995624546e-03 1.441028841211572419e-03 1.441125311744948293e-04 1.435212665038102225e-03 2.407210266462033387e-04 1.187056865621857965e-03 9.082832880559915667e-04 7.800026274467777116e-04 7.794029124300681896e-05 7.766029829389519551e-04 1.302488221132300759e-04 6.431544424728135451e-04 6.709769911145089258e-04 6.686507904257579305e-05 6.666681446769334458e-04 1.117205178986277182e-04 5.520057534004357315e-04 6.698314464548764533e-06 6.676525421352427010e-05 1.116134786879730595e-05 5.516849934604930956e-05 6.666270196119300669e-04 1.115653419933313253e-04 5.506585672443235465e-04 1.867992765152480479e-05 9.243989809693032059e-05 4.566123493714750129e-04
1.168149271145218909e-01 6.285312293622059843e-02 5.385527461096400320e-02 5.385989965679396571e-03 5.388770603097896295e-02 8.972330280001066319e-03 4.495893811208299951e-02 2.218012879856169801e-03 2.397911901621703045e-03 2.061859980523872687e-03 2.062086601452829899e-04 2.049433327729559880e-03 3.448181110005005029e-04 1.688815144744910913e-03 6.508779786827907426e-04 1.118946326506149161e-03 1.117655711790561989e-04 1.111651883363656270e-03 1.870226552063871512e-04 9.178227685369109729e-04 4.821408309114882029e-04 9.592385572234181845e-05 9.549924236974786798e-04 1.604703731611094753e-04 7.882507676020782507e-04 4.809046401686230631e-06 9.571327595420353563e-05 1.602392780117113577e-05 7.875665071517915785e-05 4.774808958208539818e-04 1.601431001768191661e-04 7.853981664576035375e-04 1.343707691483262700e-05 1.323173988232772332e-04 3.248504955185160933e-04 1.168149271145218909e-01 6.285312293622059843e-02 5.385527461096400320e-02 5.385989965679396571e-03 5.388770603097896295e-02 8.972330280001066319e-03 4.495893811208299951e-02 4.436025759712339603e-03 2.397911901621703045e-03 2.061859980523872687e-03 2.062086601452829899e-04 2.049433327729559880e-03 3.448181110005005029e-04 1.688815144744910913e-03 1.301755957365581485e-03 1.118946326506149161e-03 1.117655711790561989e-04 1.111651883363656270e-03 1.870226552063871512e-04 9.178227685369109729e-04 9.642816618229764058e-04 9.592385572234181845e-05 9.549924236974786798e-04 1.604703731611094753e-04 7.882507676020782507e-04 9.618092803372461263e-06 9.571327595420353563e-05 1.602392780117113577e-05 7.875665071517915785e-05 9.549617916417079636e-04 1.601431001768191661e-04 7.853981664576035375e-04 2.687415382966525400e-05 1.323173988232772332e-04 6.497009910370321866e-04
1.132375278089668147e-01 6.089431648145909176e-02 5.216325077269933636e-02 5.217110526515806278e-03 5.221811500464861033e-02 8.687868535446008345e-03 4.360360782312756173e-02 2.818932456540295273e-03 3.051305159712281844e-03 2.626398364958033686e-03 2.626815121495272294e-04 2.605393662634602689e-03 4.397199822219064391e-04 2.139108596276300279e-03 8.304640050276351510e-04 1.428997215818277522e-03 1.426800099834469671e-04 1.416614863514563958e-03 2.390664968386492333e-04 1.166091762618471587e-03 6.168515758824030370e-04 1.225056680831316158e-04 1.217861476296503527e-03 2.051888738217841921e-04 1.002094476558131964e-03 6.147410497142157610e-06 1.221540636317837306e-04 2.047942177461102030e-05 1.000939768674126906e-04 6.089516126203265833e-04 2.046424936260199661e-04 9.973152104072466675e-04 1.720923008766069999e-05 1.686157360956926164e-04 4.115362090245890852e-04 1.132375278089668147e-01 6.089431648145909176e-02 5.216325077269933636e-02 5.217110526515806278e-03 5.221811500464861033e-02 8.687868535446008345e-03 4.360360782312756173e-02 5.637864913080590547e-03 3.051305159712281844e-03 2.626398364958033686e-03 2.626815121495272294e-04 2.605393662634602689e-03 4.397199822219064391e-04 2.139108596276300279e-03 1.660928010055270302e-03 1.428997215818277522e-03 1.426800099834469671e-04 1.416614863514563958e-03 2.390664968386492333e-04 1.166091762618471587e-03 1.233703151764806074e-03 1.225056680831316158e-04 1.217861476296503527e-03 2.051888738217841921e-04 1.002094476558131964e-03 1.229482099428431522e-05 1.221540636317837306e-04 2.047942177461102030e-05 1.000939768674126906e-04 1.217903225240653167e-03 2.046424936260199661e-04 9.973152104072466675e-04 3.441846017532139998e-05 1.686157360956926164e-04 8.230724180491781703e-04
1.099922274044925485e-01 5.910809860147581141e-02 5.061659536705939016e-02 5.062833389207193474e-03 5.069827296726240468e-02 8.427152691535761200e-03 4.237984344258613478e-02 3.363694322164454808e-03 3.645313649480124915e-03 3.140900045083180533e-03 3.141568764174087038e-04 3.109658493827139290e-03 5.264405758693273566e-04 2.543914310501415796e-03 9.947906967956692947e-04 1.713322138745084844e-03 1.710031157009870694e-04 1.694826278087051838e-03 2.868955937726909108e-04 1.390959229146985013e-03 7.409242554615962225e-04 1.468808072632436139e-04 1.458078111576627083e-03 2.463126626848006931e-04 1.196062356664478023e-03 7.377538874382124803e-06 1.463639813258683518e-04 2.457196817486053669e-05 1.194347841616772376e-04 7.291374924046981065e-04 2.455095593605505916e-04 1.189015623750937049e-03 2.069148544525133463e-05 2.017339777114980810e-04 4.895181377384380441e-04 1.099922274044925485e-01 5.910809860147581141e-02 5.061659536705939016e-02 5.062833389207193474e-03 5.069827296726240468e-02 8.427152691535761200e-03 4.237984344258613478e-02 6.727388644328909616e-03 3.645313649480124915e-03 3.140900045083180533e-03 3.141568764174087038e-04 3.109658493827139290e-03 5.264405758693273566e-04 2.543914310501415796e-03 1.989581393591338589e-03 1.713322138745084844e-03 1.710031157009870694e-04 1.694826278087051838e-03 2.868955937726909108e-04 1.390959229146985013e-03 1.481848510923192445e-03 1.468808072632436139e-04 1.458078111576627083e-03 2.463126626848006931e-04 1.196062356664478023e-03 1.475507774876424961e-05 1.463639813258683518e-04 2.457196817486053669e-05 1.194347841616772376e-04 1.458274984809396213e-03 2.455095593605505916e-04 1.189015623750937049e-03 4.138297089050266926e-05 2.017339777114980810e-04 9.790362754768760882e-04
1.070425377478161771e-01 5.747583873201561611e-02 4.919972908393899225e-02 4.921591583042578093e-03 4.931192187812722533e-02 8.187660020262636437e-03 4.127293549469673861e-02 3.858501815157766232e-03 4.186395567858164010e-03 3.610760722056537142e-03 3.611743876733433732e-04 3.567889791957370646e-03 6.058544251069231503e-04 2.908383727216009261e-03 1.145488706596315591e-03 1.974652126338613534e-03 1.970104564330984152e-04 1.949162274659391745e-03 3.309543426769376100e-04 1.595009086825610383e-03 8.554823566532450971e-04 1.692824887932533055e-04 1.678060478672740649e-03 2.842185232043199111e-04 1.372331863689059362e-03 8.510888883186433352e-06 1.685813084789123946e-04 2.833966140987663335e-05 1.369983364025690415e-04 8.392551459644288173e-04 2.831288839312241725e-04 1.362745092244251359e-03 2.391408770374662762e-05 2.320159680005810798e-04 5.597902154625903747e-04 1.070425377478161771e-01 5.747583873201561611e-02 4.919972908393899225e-02 4.921591583042578093e-03 4.931192187812722533e-02 8.187660020262636437e-03 4.127293549469673861e-02 7.717003630315532464e-03 4.186395567858164010e-03 3.610760722056537142e-03 3.611743876733433732e-04 3.567889791957370646e-03 6.058544251069231503e-04 2.908383727216009261e-03 2.290977413192631183e-03 1.974652126338613534e-03 1.970104564330984152e-04 1.949162274659391745e-03 3.309543426769376100e-04 1.595009086825610383e-03 1.710964713306490194e-03 1.692824887932533055e-04 1.678060478672740649e-03 2.842185232043199111e-04 1.372331863689059362e-03 1.702177776637286670e-05 1.685813084789123946e-04 2.833966140987663335e-05 1.369983364025690415e-04 1.678510291928857635e-03 2.831288839312241725e-04 1.362745092244251359e-03 4.782817540749325524e-05 2.320159680005810798e-04 1.119580430925180749e-03
1.043568560401546969e-01 5.598139566355173069e-02 4.789915367152924874e-02 4.792027433457663778e-03 4.804497710278873152e-02 7.967204694433707018e-03 4.027015037987787677e-02 4.308725376864696796e-03 4.680146572418246095e-03 4.040655752547206610e-03 4.042015573905954591e-04 3.984993376225682594e-03 6.787193526038181506e-04 3.236976594930409973e-03 1.283970792508995007e-03 2.215353423389553652e-03 2.209408175028581959e-04 2.182115339181694112e-03 3.716278310802744486e-04 1.780478767857721035e-03 9.614987435142554554e-04 1.899128816033478944e-04 1.879904611094629276e-03 3.192331107569079695e-04 1.532789062050615193e-03 9.557384812745330264e-06 1.890124516012225216e-04 3.181553367485524971e-05 1.529745551439700758e-04 9.403578731123705525e-04 3.178336257329755841e-04 1.520447747150298085e-03 2.690324839246371875e-05 2.597593549325279529e-04 6.232117690282932285e-04 1.043568560401546969e-01 5.598139566355173069e-02 4.789915367152924874e-02 4.792027433457663778e-03 4.804497710278873152e-02 7.967204694433707018e-03 4.027015037987787677e-02 8.617450753729393592e-03 4.680146572418246095e-03 4.040655752547206610e-03 4.042015573905954591e-04 3.984993376225682594e-03 6.787193526038181506e-04 3.236976594930409973e-03 2.567941585017990015e-03 2.215353423389553652e-03 2.209408175028581959e-04 2.182115339181694112e-03 3.716278310802744486e-04 1.780478767857721035e-03 1.922997487028510911e-03 1.899128816033478944e-04 1.879904611094629276e-03 3.192331107569079695e-04 1.532789062050615193e-03 1.911476962549066053e-05 1.890124516012225216e-04 3.181553367485524971e-05 1.529745551439700758e-04 1.880715746224741105e-03 3.178336257329755841e-04 1.520447747150298085e-03 5.380649678492743749e-05 2.597593549325279529e-04 1.246423538056586457e-03
1.019077004490066274e-01 5.461072736001116451e-02 4.670312545659388581e-02 4.672959733599576018e-03 4.688518697143461561e-02 7.763884872359676226e-03 3.936042159566143644e-02 4.719033111928276625e-03 5.131434754449350905e-03 4.434653002733713635e-03 4.436450823102120302e-04 4.365237054733558074e-03 7.456947743068929966e-04 3.533568658603147231e-03 1.411466040299526412e-03 2.437484814211153105e-03 2.430019772752151932e-04 2.395854401149230366e-03 4.092511588496612509e-04 1.949313453455220032e-03 1.059819413478374191e-03 2.089479763603627205e-04 2.065434885401346097e-03 3.516408171450590976e-04 1.679074220597777910e-03 1.052565925501431314e-05 2.078369548615412968e-04 3.502834827021810218e-05 1.675286088128498916e-04 1.033361378972628237e-03 3.499136062987822661e-04 1.663813368175669520e-03 2.968178009056757447e-05 2.852228625885721994e-04 6.805286160526611552e-04 1.019077004490066274e-01 5.461072736001116451e-02 4.670312545659388581e-02 4.672959733599576018e-03 4.688518697143461561e-02 7.763884872359676226e-03 3.936042159566143644e-02 9.438066223856553250e-03 5.131434754449350905e-03 4.434653002733713635e-03 4.436450823102120302e-04 4.365237054733558074e-03 7.456947743068929966e-04 3.533568658603147231e-03 2.822932080599052825e-03 2.437484814211153105e-03 2.430019772752151932e-04 2.395854401149230366e-03 4.092511588496612509e-04 1.949313453455220032e-03 2.119638826956748382e-03 2.089479763603627205e-04 2.065434885401346097e-03 3.516408171450590976e-04 1.679074220597777910e-03 2.105131851002862628e-05 2.078369548615412968e-04 3.502834827021810218e-05 1.675286088128498916e-04 2.066722757945256474e-03 3.499136062987822661e-04 1.663813368175669520e-03 5.936356018113514893e-05 2.852228625885721994e-04 1.361057232105322310e-03
9.967104731154317887e-02 5.335155309650368993e-02 4.560137281984442958e-02 4.563355331662854140e-03 4.582183785120394481e-02 7.576036940958328150e-03 3.853408167125058070e-02 5.093503993933119062e-03 5.544517605557774606e-03 4.796310581084356657e-03 4.798606368705744286e-04 4.712353071413736758e-03 8.073575396217454831e-04 3.801545266042464458e-03 1.529049466479692971e-03 2.642847182655800459e-03 2.633757019312016855e-04 2.592276872513185528e-03 4.441174926110379021e-04 2.103213115267907676e-03 1.151184008798692435e-03 2.265417949125335005e-04 2.236247690477686546e-03 3.816905656717952257e-04 1.812621347756114857e-03 1.142326163057223715e-05 2.252118334400212438e-04 3.800328529019557632e-05 1.808048926314771829e-04 1.119066020553557712e-03 3.796223025399490174e-04 1.794318337304418596e-03 3.226964381741545545e-05 3.086325856721248203e-04 7.323913920374451386e-04 9.967104731154317887e-02 5.335155309650368993e-02 4.560137281984442958e-02 4.563355331662854140e-03 4.582183785120394481e-02 7.576036940958328150e-03 3.853408167125058070e-02 1.018700798786623812e-02 5.544517605557774606e-03 4.796310581084356657e-03 4.798606368705744286e-04 4.712353071413736758e-03 8.073575396217454831e-04 3.801545266042464458e-03 3.058098932959385941e-03 2.642847182655800459e-03 2.633757019312016855e-04 2.592276872513185528e-03 4.441174926110379021e-04 2.103213115267907676e-03 2.302368017597384870e-03 2.265417949125335005e-04 2.236247690477686546e-03 3.816905656717952257e-04 1.812621347756114857e-03 2.284652326114447430e-05 2.252118334400212438e-04 3.800328529019557632e-05 1.808048926314771829e-04 2.238132041107115423e-03 3.796223025399490174e-04 1.794318337304418596e-03 6.453928763483091091e-05 3.086325856721248203e-04 1.464782784074890277e-03
