# __s0 __s1 __s2 __s3 __s4 __s5 __s6 __s7 __s8 __s9 __s10 __s11 __s12 __s13 __s14 __s15 __s16 __s17 __s18 __s19 __s20 __s21 __s22 __s23 __s24 __s25 __s26 __s27 __s28 __s29 __s30 __s31 __s32 __s33 __s34 oT4 oT8 oNK oDC oM14 oM16 oB oT4_T4 oT4_T8 oT4_NK oT4_DC oT4_M14 oT4_M16 oT4_B oT8_T8 oT8_NK oT8_DC oT8_M14 oT8_M16 oT8_B oNK_NK oNK_DC oNK_M14 oNK_M16 oNK_B oDC_DC oDC_M14 oDC_M16 oDC_B oM14_M14 oM14_M16 oM14_B oM16_M16 oM16_B oB_B
1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.300000000000000044e-01 6.999999999999999278e-02 5.999999999999999778e-02 6.000000000000000125e-03 5.999999999999999778e-02 1.000000000000000021e-02 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.251423653580128192e-01 6.737886092829939444e-02 5.775144955316083295e-02 5.774922691516279176e-03 5.775096538706779581e-02 9.624773535469121830e-03 4.813555549058399358e-02 8.174924943004344179e-04 8.814410419229543178e-04 7.561243687562464039e-04 7.573638126550632978e-05 7.566028885676544507e-04 1.261875552182404323e-04 6.265574176557512634e-04 2.379672789838578324e-04 4.082719698744635998e-04 4.085496100512383204e-05 4.081074255298324546e-04 6.811850634177299478e-05 3.384106090586816700e-04 1.752896619724099339e-04 3.502838490454195222e-05 3.499726793023815331e-04 5.840092700773673697e-05 2.901727930489699176e-04 1.753905793627594238e-06 3.503482517778317654e-05 5.842533765600437885e-06 2.907241077791244350e-05 1.750667577294067877e-04 5.842070432864016294e-05 2.907625745670877745e-04 4.876892065616290336e-06 4.850245373765368201e-05 1.204831252849691581e-04 1.251423653580128192e-01 6.737886092829939444e-02 5.775144955316083295e-02 5.774922691516279176e-03 5.775096538706779581e-02 9.624773535469121830e-03 4.813555549058399358e-02 1.634984988600868836e-03 8.814410419229543178e-04 7.561243687562464039e-04 7.573638126550632978e-05 7.566028885676544507e-04 1.261875552182404323e-04 6.265574176557512634e-04 4.759345579677156648e-04 4.082719698744635998e-04 4.085496100512383204e-05 4.081074255298324546e-04 6.811850634177299478e-05 3.384106090586816700e-04 3.505793239448198677e-04 3.502838490454195222e-05 3.499726793023815331e-04 5.840092700773673697e-05 2.901727930489699176e-04 3.507811587255188477e-06 3.503482517778317654e-05 5.842533765600437885e-06 2.907241077791244350e-05 3.501335154588135754e-04 5.842070432864016294e-05 2.907625745670877745e-04 9.753784131232580673e-06 4.850245373765368201e-05 2.409662505699383163e-04
1.207665496712348324e-01 6.500734795164531121e-02 5.571352048267746992e-02 5.570509009671435925e-03 5.571169904241168175e-02 9.283810161617391324e-03 4.646331028247904782e-02 1.552969140742388844e-03 1.676418411100684142e-03 1.439214533195946021e-03 1.443939174179182294e-04 1.441043271122173031e-03 2.405022460715471131e-04 1.185939668372149080e-03 4.538394649344608205e-04 7.792572060701053122e-04 7.803079275030330578e-05 7.786198904297032038e-04 1.301541994767871943e-04 6.424926186581179401e-04 3.351785491943963893e-04 6.692014872880264632e-05 6.680152349695560668e-04 1.116110911360600286e-04 5.511042048332634837e-04 3.355521805940546764e-06 6.694463342266538134e-05 1.117025972898765570e-05 5.532019466800826778e-05 3.343156178061161749e-04 1.116868075117431698e-04 5.533598845202335453e-04 9.339835503523782794e-06 9.238556345043106481e-05 2.280437915093690181e-04 1.207665496712348324e-01 6.500734795164531121e-02 5.571352048267746992e-02 5.570509009671435925e-03 5.571169904241168175e-02 9.283810161617391324e-03 4.646331028247904782e-02 3.105938281484777689e-03 1.676418411100684142e-03 1.439214533195946021e-03 1.443939174179182294e-04 1.441043271122173031e-03 2.405022460715471131e-04 1.185939668372149080e-03 9.076789298689216410e-04 7.792572060701053122e-04 7.803079275030330578e-05 7.786198904297032038e-04 1.301541994767871943e-04 6.424926186581179401e-04 6.703570983887927786e-04 6.692014872880264632e-05 6.680152349695560668e-04 1.116110911360600286e-04 5.511042048332634837e-04 6.711043611881093528e-06 6.694463342266538134e-05 1.117025972898765570e-05 5.532019466800826778e-05 6.686312356122323499e-04 1.116868075117431698e-04 5.533598845202335453e-04 1.867967100704756559e-05 9.238556345043106481e-05 4.560875830187380363e-04
1.168145673291169501e-01 6.285577911998435630e-02 5.386126947266866444e-02 5.384325638313418316e-03 5.385740981758666696e-02 8.973079518228949461e-03 4.495981571545683980e-02 2.216357505678934452e-03 2.395273880701024108e-03 2.057963401284791747e-03 2.068106929652685348e-04 2.061899185558364964e-03 3.443475451273406759e-04 1.686422953888406118e-03 6.502292162672441284e-04 1.117347616876773492e-03 1.119588249129286700e-04 1.115958598068922305e-03 1.868196107936349773e-04 9.164039161278128131e-04 4.814780250322627485e-04 9.604143026948328866e-05 9.578668974550593037e-04 1.602358672684640482e-04 7.863192641122331190e-04 4.822577663253774639e-06 9.609388548102978434e-05 1.604292102937955388e-05 7.908145170198709072e-05 4.795978444973832740e-04 1.603991551462815440e-04 7.911767717089023899e-04 1.343702373435223713e-05 1.322013349372369118e-04 3.242892960332881182e-04 1.168145673291169501e-01 6.285577911998435630e-02 5.386126947266866444e-02 5.384325638313418316e-03 5.385740981758666696e-02 8.973079518228949461e-03 4.495981571545683980e-02 4.432715011357868905e-03 2.395273880701024108e-03 2.057963401284791747e-03 2.068106929652685348e-04 2.061899185558364964e-03 3.443475451273406759e-04 1.686422953888406118e-03 1.300458432534488257e-03 1.117347616876773492e-03 1.119588249129286700e-04 1.115958598068922305e-03 1.868196107936349773e-04 9.164039161278128131e-04 9.629560500645254970e-04 9.604143026948328866e-05 9.578668974550593037e-04 1.602358672684640482e-04 7.863192641122331190e-04 9.645155326507549279e-06 9.609388548102978434e-05 1.604292102937955388e-05 7.908145170198709072e-05 9.591956889947665481e-04 1.603991551462815440e-04 7.911767717089023899e-04 2.687404746870447427e-05 1.322013349372369118e-04 6.485785920665762365e-04
1.132370196672366214e-01 6.089886376445468458e-02 5.217344330239181288e-02 5.214299206914834589e-03 5.216697324044063805e-02 8.689147474990130057e-03 4.360510276804287905e-02 2.816111404584980150e-03 3.046820671332958405e-03 2.619779360800282477e-03 2.637006399693531318e-04 2.626479271048708358e-03 4.389194997061229061e-04 2.135058080736011634e-03 8.293622680046225555e-04 1.426284697841368344e-03 1.430065945068571473e-04 1.423891854321039305e-03 2.387218164209072588e-04 1.163686065112895475e-03 6.157300104437315883e-04 1.227043420608321157e-04 1.222715518016557687e-03 2.047912598132330597e-04 9.988214981884464393e-04 6.170181781120227540e-06 1.227932808474395984e-04 2.051146361368024631e-05 1.006441085247652316e-04 6.124914783301299006e-04 2.050698582825345598e-04 1.007094020382818741e-03 1.720950772206847329e-05 1.684196117292434338e-04 4.105869236414694625e-04 1.132370196672366214e-01 6.089886376445468458e-02 5.217344330239181288e-02 5.214299206914834589e-03 5.216697324044063805e-02 8.689147474990130057e-03 4.360510276804287905e-02 5.632222809169960299e-03 3.046820671332958405e-03 2.619779360800282477e-03 2.637006399693531318e-04 2.626479271048708358e-03 4.389194997061229061e-04 2.135058080736011634e-03 1.658724536009245111e-03 1.426284697841368344e-03 1.430065945068571473e-04 1.423891854321039305e-03 2.387218164209072588e-04 1.163686065112895475e-03 1.231460020887463177e-03 1.227043420608321157e-04 1.222715518016557687e-03 2.047912598132330597e-04 9.988214981884464393e-04 1.234036356224045508e-05 1.227932808474395984e-04 2.051146361368024631e-05 1.006441085247652316e-04 1.224982956660259801e-03 2.050698582825345598e-04 1.007094020382818741e-03 3.441901544413694658e-05 1.684196117292434338e-04 8.211738472829389250e-04
1.099916084809675343e-01 5.911494178296646668e-02 5.063183941642444841e-02 5.058653888736880724e-03 5.062229604124208332e-02 8.429072756682830236e-03 4.238208002448907996e-02 3.359466450913921841e-03 3.638607897693915596e-03 3.131008579978472161e-03 3.156750783106507317e-04 3.141042752838814432e-03 5.252426558318856352e-04 2.537881652550895775e-03 9.931445662962863977e-04 1.709272410501102256e-03 1.714889083150996437e-04 1.705648139450020254e-03 2.863807342243027002e-04 1.387370994256506302e-03 7.392539005586505922e-04 1.471763253799363480e-04 1.465292979168435986e-03 2.457193837197372828e-04 1.191183103710564397e-03 7.411275910634429108e-06 1.473090649530098576e-04 2.461955760316727565e-05 1.202546248799889710e-04 7.343486475371235412e-04 2.461376684677276283e-04 1.203576058805663719e-03 2.069243655340563922e-05 2.014423703635239479e-04 4.881055854718952653e-04 1.099916084809675343e-01 5.911494178296646668e-02 5.063183941642444841e-02 5.058653888736880724e-03 5.062229604124208332e-02 8.429072756682830236e-03 4.238208002448907996e-02 6.718932901827843682e-03 3.638607897693915596e-03 3.131008579978472161e-03 3.156750783106507317e-04 3.141042752838814432e-03 5.252426558318856352e-04 2.537881652550895775e-03 1.986289132592572795e-03 1.709272410501102256e-03 1.714889083150996437e-04 1.705648139450020254e-03 2.863807342243027002e-04 1.387370994256506302e-03 1.478507801117301184e-03 1.471763253799363480e-04 1.465292979168435986e-03 2.457193837197372828e-04 1.191183103710564397e-03 1.482255182126885822e-05 1.473090649530098576e-04 2.461955760316727565e-05 1.202546248799889710e-04 1.468697295074247082e-03 2.461376684677276283e-04 1.203576058805663719e-03 4.138487310681127844e-05 2.014423703635239479e-04 9.762111709437905306e-04
1.070418623583329204e-01 5.748533177931972743e-02 4.922075796900660105e-02 4.915857923976982638e-03 4.920777158919299038e-02 8.190318352109137237e-03 4.127601787145508683e-02 3.852658930117758111e-03 4.177147194057149668e-03 3.597125521675005773e-03 3.632611709831336613e-04 3.610987937365730573e-03 6.042008465195580595e-04 2.900097110830991871e-03 1.143219787188208937e-03 1.969073898419962994e-03 1.976773235412585884e-04 1.964013023187800768e-03 3.302448037831919600e-04 1.590072403314475667e-03 8.531867470722955460e-04 1.696881700071448964e-04 1.687956988889269521e-03 2.834017354902837135e-04 1.365622222367142641e-03 8.557024762662455381e-06 1.698710083898135161e-04 2.840490192482744735e-05 1.381254516515165436e-04 8.463361244651271655e-04 2.839811577267579144e-04 1.382746046317376168e-03 2.391612063077458124e-05 2.316159611846810935e-04 5.578514664393663478e-04 1.070418623583329204e-01 5.748533177931972743e-02 4.922075796900660105e-02 4.915857923976982638e-03 4.920777158919299038e-02 8.190318352109137237e-03 4.127601787145508683e-02 7.705317860235516222e-03 4.177147194057149668e-03 3.597125521675005773e-03 3.632611709831336613e-04 3.610987937365730573e-03 6.042008465195580595e-04 2.900097110830991871e-03 2.286439574376417875e-03 1.969073898419962994e-03 1.976773235412585884e-04 1.964013023187800768e-03 3.302448037831919600e-04 1.590072403314475667e-03 1.706373494144591092e-03 1.696881700071448964e-04 1.687956988889269521e-03 2.834017354902837135e-04 1.365622222367142641e-03 1.711404952532491076e-05 1.698710083898135161e-04 2.840490192482744735e-05 1.381254516515165436e-04 1.692672248930254331e-03 2.839811577267579144e-04 1.382746046317376168e-03 4.783224126154916249e-05 2.316159611846810935e-04 1.115702932878732696e-03
1.043561883481840952e-01 5.599384609461519752e-02 4.792659427942343175e-02 4.784583862048579460e-03 4.790987491971362977e-02 7.970685656499304494e-03 4.027416413489210562e-02 4.301088733409686067e-03 4.668081433524807339e-03 4.022874735532902882e-03 4.069156463084686471e-04 4.040992437755679123e-03 6.765600942858412742e-04 3.226209837588839714e-03 1.281012097605891244e-03 2.208083368004126312e-03 2.218071936696382413e-04 2.201401231737569637e-03 3.707026369363861096e-04 1.774053846300470720e-03 9.585130871674364932e-04 1.904399755133904550e-04 1.892751904436373259e-03 3.181690561079947516e-04 1.524060506646908713e-03 9.617105418826628522e-06 1.906783379710227564e-04 3.190019407966697255e-05 1.544405795715813657e-04 9.494654759625892511e-04 3.189285123197165505e-04 1.546441704140821133e-03 2.690682092027771511e-05 2.592402079305209371e-04 6.206945914643774518e-04 1.043561883481840952e-01 5.599384609461519752e-02 4.792659427942343175e-02 4.784583862048579460e-03 4.790987491971362977e-02 7.970685656499304494e-03 4.027416413489210562e-02 8.602177466819372134e-03 4.668081433524807339e-03 4.022874735532902882e-03 4.069156463084686471e-04 4.040992437755679123e-03 6.765600942858412742e-04 3.226209837588839714e-03 2.562024195211782488e-03 2.208083368004126312e-03 2.218071936696382413e-04 2.201401231737569637e-03 3.707026369363861096e-04 1.774053846300470720e-03 1.917026174334872986e-03 1.904399755133904550e-04 1.892751904436373259e-03 3.181690561079947516e-04 1.524060506646908713e-03 1.923421083765325704e-05 1.906783379710227564e-04 3.190019407966697255e-05 1.544405795715813657e-04 1.898930951925178502e-03 3.189285123197165505e-04 1.546441704140821133e-03 5.381364184055543022e-05 2.592402079305209371e-04 1.241389182928754904e-03
1.019071105896254270e-01 5.462640099055116744e-02 4.673751109230545042e-02 4.663676570596121847e-03 4.671683702061854571e-02 7.768261471120977563e-03 3.936543584214328290e-02 4.709450075425087624e-03 5.116320257048177604e-03 4.412384808617181992e-03 4.470358318489780786e-04 4.435125879263090119e-03 7.429870300295779656e-04 3.520135452717417998e-03 1.407760544416028405e-03 2.428383924230299168e-03 2.440833411284036559e-04 2.419914643114333495e-03 4.080923991697649861e-04 1.941283355925731407e-03 1.056088956368180561e-03 2.096059530558303506e-04 2.081457703530201642e-03 3.503092768181415798e-04 1.668169328706535027e-03 1.059994059983343503e-05 2.099045149447202618e-04 3.513391188386409052e-05 1.693599953424147742e-04 1.044617342230443925e-03 3.512654240971044587e-04 1.696260129971100721e-03 2.968738531449841242e-05 2.845757162515648048e-04 6.773900894709570554e-04 1.019071105896254270e-01 5.462640099055116744e-02 4.673751109230545042e-02 4.663676570596121847e-03 4.671683702061854571e-02 7.768261471120977563e-03 3.936543584214328290e-02 9.418900150850175249e-03 5.116320257048177604e-03 4.412384808617181992e-03 4.470358318489780786e-04 4.435125879263090119e-03 7.429870300295779656e-04 3.520135452717417998e-03 2.815521088832056811e-03 2.428383924230299168e-03 2.440833411284036559e-04 2.419914643114333495e-03 4.080923991697649861e-04 1.941283355925731407e-03 2.112177912736361123e-03 2.096059530558303506e-04 2.081457703530201642e-03 3.503092768181415798e-04 1.668169328706535027e-03 2.119988119966687007e-05 2.099045149447202618e-04 3.513391188386409052e-05 1.693599953424147742e-04 2.089234684460887850e-03 3.512654240971044587e-04 1.696260129971100721e-03 5.937477062899682484e-05 2.845757162515648048e-04 1.354780178941914111e-03
9.967060726115550828e-02 5.337067761010209216e-02 4.564315367275108282e-02 4.552125443715440874e-03 4.561836173705778597e-02 7.581371967184117461e-03 3.854015044664733936e-02 5.081845349238420934e-03 5.526158059904001663e-03 4.769267517540145065e-03 4.839692440984469683e-04 4.796947920183767915e-03 8.040649065164791288e-04 3.785294392124876652e-03 1.524548936113250203e-03 2.631797800880843804e-03 2.646849823390176951e-04 2.621392677209499582e-03 4.427099523196361872e-04 2.093481045018238604e-03 1.146662715296530889e-03 2.273385941374520436e-04 2.255632524557117397e-03 3.800744157312680891e-04 1.799410043809024536e-03 1.151290098330297542e-05 2.277013829024674037e-04 3.813099190885231880e-05 1.830235589317136149e-04 1.132562520356173883e-03 3.812419383235184848e-04 1.833596779053465239e-03 3.227780014690436421e-05 3.078502277223255090e-04 7.285967533464526857e-04 9.967060726115550828e-02 5.337067761010209216e-02 4.564315367275108282e-02 4.552125443715440874e-03 4.561836173705778597e-02 7.581371967184117461e-03 3.854015044664733936e-02 1.016369069847684187e-02 5.526158059904001663e-03 4.769267517540145065e-03 4.839692440984469683e-04 4.796947920183767915e-03 8.040649065164791288e-04 3.785294392124876652e-03 3.049097872226500406e-03 2.631797800880843804e-03 2.646849823390176951e-04 2.621392677209499582e-03 4.427099523196361872e-04 2.093481045018238604e-03 2.293325430593061778e-03 2.273385941374520436e-04 2.255632524557117397e-03 3.800744157312680891e-04 1.799410043809024536e-03 2.302580196660595084e-05 2.277013829024674037e-04 3.813099190885231880e-05 1.830235589317136149e-04 2.265125040712347767e-03 3.812419383235184848e-04 1.833596779053465239e-03 6.455560029380872842e-05 3.078502277223255090e-04 1.457193506692905371e-03
