prey_number,Symbol1,Symbol2,purification_plate,purification_row,purification_col,source_plate,source_row,source_col,conc_ngul,MW,unedit_bait_ul,unedit_prey_ul,ul_bait,ul_prey,ic50_calc,sat_calc,bait_protein_ul_withdouble,bait_protein_ic50,bait_BSA_total,bait_BSA_source1,prey_protein_ul_phase1,prey_protein_sat_phase1,prey_BSA1_phase1,prey_SAV_phase1,prey_BSA2_phase1,prey_protein_ul_phase2,prey_protein_sat_phase2,prey_BSA1_phase2,prey_SAV_phase2,prey_BSA2_phase2,total_vol_consumed,notes
630,TMEM9,,I,A,1,I,A,1,124.3097307,43548.38,0.017516078,0.008808085,0.035032157,0.008808085,2854.520207,202.7358102,23.17377184,11.58688592,33051.82623,1961.326228,3.672090713,3.672090713,740.792195,297.7857143,19802.75,2.431912319,2.431912319,490.603802,197.2142857,13114.75,29.27777487,ml BSA needed for phase I plates
629,CD83,,I,A,2,I,A,2,124.8848573,49083.825,0.019651632,0.009881963,0.039303264,0.009881963,2544.317956,180.7044003,25.99910905,12.99955453,33049.00089,1958.500891,4.119790578,4.119790578,740.3444951,297.7857143,19802.75,2.728410119,2.728410119,490.3073042,197.2142857,13114.75,32.84730975,737.3937888
628,ACVR1,,I,A,3,I,A,3,114.4798417,43216.685,0.018875238,0.009491548,0.037750476,0.009491548,2648.973232,188.1373034,24.97193977,12.48596988,33050.02806,1959.52806,3.95702645,3.95702645,740.5072593,297.7857143,19802.75,2.620616461,2.620616461,490.4150978,197.2142857,13114.75,31.54958268,
627,ALCAM,,I,A,4,I,A,4,86.72380125,96912.14,0.055874015,0.028096648,0.111748031,0.028096648,894.8703563,63.55613326,73.92132227,36.96066114,33001.07868,1910.578678,11.71349243,11.71349243,732.7507933,297.7857143,19802.75,7.757484431,7.757484431,485.2782299,197.2142857,13114.75,93.39229913,
626,LYAM2,,I,A,5,I,A,5,74.98335162,101234.1,0.067504385,0.033945062,0.135008769,0.033945062,740.6926285,52.60601055,89.30830071,44.65415035,32985.6917,1895.191699,14.15169632,14.15169632,730.3125894,297.7857143,19802.75,9.372231598,9.372231598,483.6634827,197.2142857,13114.75,112.8322286,
625,CLM9,,I,A,6,I,A,6,208.1793564,82081.37,0.019714099,0.009913376,0.039428199,0.009913376,2536.255869,180.1318089,26.08175334,13.04087667,33048.91825,1958.418247,4.132886303,4.132886303,740.3313994,297.7857143,19802.75,2.737083013,2.737083013,490.2986313,197.2142857,13114.75,32.95172266,
624,GFRA2,,I,A,7,I,A,7,77.45746918,74938.365,0.048373879,0.024325151,0.096747758,0.024325151,1033.615681,73.41020462,63.99864206,31.99932103,33011.00136,1920.501358,10.1411553,10.1411553,734.3231304,297.7857143,19802.75,6.716174091,6.716174091,486.3195402,197.2142857,13114.75,80.85597145,
623,TNFRSF13B,,I,A,8,I,A,8,89.97310667,40478.203,0.022494612,0.011311576,0.044989225,0.011311576,2222.75447,157.8660845,29.76037204,14.88018602,33045.23963,1954.739628,4.715796226,4.715796226,739.7484895,297.7857143,19802.75,3.12312626,3.12312626,489.912588,197.2142857,13114.75,37.59929453,
622,IL6ST,,I,A,9,I,A,9,83.00837767,103943.5,0.062610247,0.03148401,0.125220493,0.03148401,798.5913277,56.71813407,82.83335632,41.41667816,32992.16664,1901.666644,13.12568366,13.12568366,731.3386021,297.7857143,19802.75,8.69273509,8.69273509,484.3429792,197.2142857,13114.75,104.6517751,
242,TLR1,,V,A,10,I,A,10,51.301486,105293.5,0.102622271,0.051604342,0.205244542,0.051604342,487.2236747,34.60395417,135.7692646,67.88463228,32939.23074,1848.730735,21.51385018,21.51385018,722.9504355,297.7857143,19802.75,14.24795883,14.24795883,478.7877555,197.2142857,13114.75,171.5310736,
620,TYROBP,,I,A,11,I,A,11,125.9780727,34701.154,0.013772696,0.006925699,0.027545392,0.006925699,3630.371274,257.8388689,18.22127683,9.110638417,33056.77872,1966.278723,2.887323734,2.887323734,741.576962,297.7857143,19802.75,1.912185375,1.912185375,491.1235289,197.2142857,13114.75,23.02078594,
619,PGFRA,,I,A,12,I,A,12,88.79943487,97603.7,0.054957388,0.027635715,0.109914776,0.027635715,909.7957851,64.61617792,72.70862438,36.35431219,33002.29138,1911.791376,11.52132964,11.52132964,732.9429561,297.7857143,19802.75,7.630220947,7.630220947,485.4054933,197.2142857,13114.75,91.86017496,
618,CD244,,VII,D,9,I,B,1,75.92848782,165395.2,0.108915115,0.054768744,0.21783023,0.054768744,459.0731038,32.60462385,138.7704761,72.04734872,32936.22952,1845.729524,22.83308923,22.83308923,721.6311965,297.7857143,19802.75,15.12165012,15.12165012,477.9140642,197.2142857,13114.75,176.7252154,decrease conc due to band discrepancy
617,FCRL2,,I,B,2,I,B,2,22.26820323,81343.52,0.182645001,0.091844343,0.365290002,0.091844343,273.7550973,19.44283361,114.2449669,120.8196681,32960.75503,1870.255033,38.28990674,38.28990674,706.174379,297.7857143,19802.75,25.3582232,25.3582232,467.6774911,197.2142857,13114.75,177.8930968,
237,DLL1,,V,B,3,I,B,3,74.74046698,77803.382,0.052049034,0.026173228,0.104098068,0.026173228,960.6326237,68.22674884,68.86087186,34.43043593,33006.13913,1915.639128,10.91161895,10.91161895,733.5526668,297.7857143,19802.75,7.226428383,7.226428383,485.8092859,197.2142857,13114.75,86.99891919,
615,CD99L2,,I,B,4,I,B,4,107.0054195,56698.994,0.026493515,0.013322453,0.05298703,0.013322453,1887.254288,134.0379466,35.0509205,17.52546025,33039.94908,1949.44908,5.554130787,5.554130787,738.9101549,297.7857143,19802.75,3.67832936,3.67832936,489.3573849,197.2142857,13114.75,44.28338065,
235,FGFR4,,V,B,5,I,B,5,150.8263981,73159.91,0.024253019,0.012195804,0.048506038,0.012195804,2061.599011,146.4203843,32.08674415,16.04337208,33042.91326,1952.413256,5.084430623,5.084430623,739.3798551,297.7857143,19802.75,3.367261442,3.367261442,489.6684528,197.2142857,13114.75,40.53843622,
613,CLEC2B,,I,B,6,I,B,6,23.08751417,53379.83,0.115603243,0.058131916,0.231206485,0.058131916,432.5138198,30.71831107,136.5457374,76.47154492,32938.45426,1847.954263,24.23519588,24.23519588,720.2290898,297.7857143,19802.75,16.05022207,16.05022207,476.9854922,197.2142857,13114.75,176.8311554,
612,TNFSF13,,I,B,7,I,B,7,147.2787092,44917.537,0.015249162,0.00766815,0.030498323,0.00766815,3278.868769,232.8742023,20.17464091,10.08732046,33054.82536,1964.325359,3.196851683,3.196851683,741.267434,297.7857143,19802.75,2.117176181,2.117176181,490.9185381,197.2142857,13114.75,25.48866877,
